name_of_community,layout_of_house,price_of_house,area_of_house,floor_of_house,time_of_construction
新安苑 实用两房 地铁口物业 下沙学位,单价13514元/平米,100,| 3室1厅 | 74平米 | 北 | 简装,高楼层(共9层)  1998年建塔楼  -,
港湾五村 两房 带怡园学位,单价17308元/平米,90,| 2室1厅 | 52平米 | 南 | 简装,中楼层(共6层)  1999年建塔楼  -,
文冲商贸大厦 地铁物业 中层大三房,单价12167元/平米,146,| 3室2厅 | 120平米 | 暂无数据 | 其他,中楼层(共8层)  塔楼  -,
祥辉广场 中层两房 证足两年 13号地铁,单价12754元/平米,88,| 2室2厅 | 69平米 | 暂无数据 | 简装,低楼层(共9层)  塔楼  -,
装修保养好,单价14881元/平米,125,| 2室2厅 | 84平米 | 南 | 简装,中楼层(共9层)  塔楼  -,
祥辉广场 地铁十三号线上盖 南北对流,单价13381元/平米,95,| 2室1厅 | 71平米 | 南 | 其他,高楼层(共13层)  塔楼  -,
荔香花园 省级学位 中层两房 装修保养好,单价16250元/平米,130,| 2室2厅 | 80平米 | 南 | 精装,中楼层(共9层)  塔楼  -,
东北向的大三房，精装，两房朝北，主卧朝南,单价23077元/平米,300,| 3室2厅 | 130平米 | 东北 | 简装,低楼层(共20层)  2006年建塔楼  -,
石化生活区 地铁上盖 南北对流三房,单价12196元/平米,100,| 3室2厅 | 82平米 | 暂无数据 | 其他,高楼层(共6层)  1985年建塔楼  -,
实用温馨单位 配套完善,单价29671元/平米,270,| 3室2厅 | 91平米 | 北 | 精装,高楼层(共30层)  2011年建塔楼  -,
港前路小区 交通方便 实用小2房,单价12038元/平米,65,| 2室1厅 | 54平米 | 南 | 简装,高楼层(共6层)  塔楼  -,
石化大院 精装一房一厅修改房评,单价13587元/平米,50,| 1室1厅 | 36.8平米 | 南 | 其他,高楼层(共6层)  1976年建塔楼  -,
实用温馨单位 配套完善,单价22754元/平米,157,| 2室2厅 | 69平米 | 南 | 简装,高楼层(共32层)  2004年建塔楼  -,
金碧领秀精装3房 带省一级学位,单价25000元/平米,275,| 3室2厅 | 110平米 | 北 | 精装,中楼层(共33层)  2007年建塔楼  -,
金碧世纪花园 温馨二房 保养好,单价21528元/平米,155,| 2室2厅 | 72平米 | 北 | 简装,低楼层(共17层)  2004年建塔楼  -,
辉广场 中层两房 13号地铁,单价12516元/平米,100,| 2室2厅 | 79.9平米 | 北 | 其他,中楼层(共9层)  塔楼  -,
悦时代花园 地铁上盖 豪华装修 南北对流,单价22015元/平米,295,| 4室2厅 | 134平米 | 南 | 精装,低楼层(共33层)  2013年建塔楼  -,
金碧大三房 望泳池 豪华装修 拎包入住,单价27605元/平米,265,| 3室1厅 | 96平米 | 南 | 其他,低楼层(共32层)  2004年建塔楼  -,
天虹花园 电梯房 采光好 近地铁 业主自,单价16965元/平米,95,| 2室1厅 | 56平米 | 东南 | 简装,低楼层(共9层)  1998年建塔楼  -,
怡港花园 南向三房 精致装修修 格局方正,单价16311元/平米,168,| 3室2厅 | 103平米 | 南 | 简装,高楼层(共9层)  1999年建塔楼  -,
银丰花园 精装修实用大两房 临近地铁,单价18988元/平米,150,| 2室2厅 | 79平米 | 北 | 简装,中楼层(共9层)  1999年建塔楼  -,
石化生活区 中间楼层 单边位 地铁上盖,单价15385元/平米,100,| 2室1厅 | 65平米 | 南 | 精装,中楼层(共8层)  1987年建塔楼  -,
BRT出行 怡园省级学位,单价17205元/平米,160,| 2室2厅 | 93平米 | 东北 | 精装,中楼层(共30层)  塔楼  -,
丰逸尚居 温馨小两房视野非常好 紧凑实用,单价21429元/平米,120,| 2室1厅 | 56平米 | 北 | 精装,高楼层(共29层)  塔楼  -,
新安苑 省级下沙学位 近地铁 业主诚心出,单价13560元/平米,120,| 2室2厅 | 88.5平米 | 西 | 其他,中楼层(共9层)  1998年建塔楼  -,
丰逸尚居 交通便利 光线充足 精致装修,单价18838元/平米,81,| 1室1厅 | 43平米 | 北 | 精装,低楼层(共29层)  塔楼  -,
悦时代花园 B座高楼层,单价23530元/平米,200,| 2室2厅 | 85平米 | 东南 | 精装,中楼层(共33层)  2013年建塔楼  -,
港前路小区 交通方便 实用1房,单价10500元/平米,31.5,| 1室0厅 | 30平米 | 西南 | 其他,高楼层(共6层)  塔楼  -,
天虹花园 精装三房 楼层好 南北通透,单价16092元/平米,140,| 3室2厅 | 87平米 | 南 | 其他,低楼层(共9层)  1998年建塔楼  -,
金碧世纪花园 南北向两房 保养好,单价25363元/平米,175,| 2室2厅 | 69平米 | 南 | 其他,低楼层(共17层)  2004年建塔楼  -,
东城国际大厦 商住公寓 新装修 看房方便,单价18000元/平米,117,| 1室0厅 | 65平米 | 东南 | 精装,中楼层(共30层)  塔楼  -,
怡园小区 简约两房 随时入住 交通便捷,单价18948元/平米,144,| 2室2厅 | 76平米 | 南 | 精装,中楼层(共8层)  1992年建塔楼  -,
石化安置房 靠近地铁口 设施完善,单价13514元/平米,50,| 1室0厅 | 37平米 | 东 | 精装,高楼层(共34层)  2006年建塔楼  -,
实用温馨单位 配套完善 带大平台,单价25363元/平米,175,| 2室2厅 | 69平米 | 北 | 简装,低楼层(共32层)  2004年建塔楼  -,
省电力一局地铁口在旁 生活方便 免税,单价11941元/平米,80,| 3室2厅 | 67平米 | 南 | 其他,中楼层(共9层)  塔楼  -,
海校航专宿舍红山三路 3室2厅 115万,单价15132元/平米,115,| 3室2厅 | 76平米 | 南 | 其他,中楼层(共6层)  塔楼  -,
墩美小区 装修保养好，实用2房,单价10000元/平米,70,| 2室2厅 | 70平米 | 南 | 其他,高楼层(共9层)  塔楼  -,
户型方正 朝南向 采光好,单价29000元/平米,290,| 3室2厅 | 100平米 | 南 | 其他,低楼层(共31层)  塔楼  -,
丰乐小区 少有放盘 省一级学位 采光好,单价14517元/平米,90,| 2室1厅 | 62平米 | 南 | 其他,高楼层(共8层)  1990年建塔楼  -,
省机施大院 地铁5号线 配套成熟,单价17544元/平米,100,| 2室1厅 | 57平米 | 南 | 其他,低楼层(共6层)  1997年建塔楼  -,
刚需三房 未来地铁沿线物业 省级一小,单价11364元/平米,100,| 3室2厅 | 88平米 | 北 | 其他,低楼层(共9层)  塔楼  -,
金碧世纪花园 最大两房 中高层 看花园,单价22667元/平米,170,| 2室2厅 | 75平米 | 北 | 精装,中楼层(共17层)  2004年建塔楼  -,
实用温馨单位 配套完善,单价25073元/平米,173,| 2室1厅 | 69平米 | 南 | 其他,中楼层(共32层)  2004年建塔楼  -,
金碧领秀精装三房出售 交通方便,单价27273元/平米,300,| 3室2厅 | 110平米 | 北 | 简装,中楼层(共33层)  2007年建塔楼  -,
天虹花园 生活配套成熟 交通便利 中楼层,单价17000元/平米,90.08,| 1室1厅 | 52.99平米 | 西南 | 其他,中楼层(共9层)  塔楼  -,
海关大院 精装修电梯三房楼层好 采光好,单价23656元/平米,220,| 3室2厅 | 93平米 | 西南 | 精装,中楼层(共30层)  塔楼  -,
石化大院 地铁五号线 投资盘 学位房,单价14387元/平米,55,| 1室1厅 | 38.23平米 | 南 | 简装,中楼层(共5层)  1976年建塔楼  -,
金碧世纪花园精装三房 中高楼层 采光通风,单价22000元/平米,220,| 3室2厅 | 100平米 | 北 | 其他,中楼层(共17层)  2004年建塔楼  -,
港前路小区 交通方便 实用大单间,单价10500元/平米,31.5,| 1室0厅 | 30平米 | 西北 | 其他,高楼层(共6层)  塔楼  -,
锦田花园 周边配套成熟 交通便利 框架房,单价18422元/平米,175,| 1室1厅 | 95平米 | 东南 | 其他,低楼层(共7层)  塔楼  -,
商住两用可注册办公 双地铁+BRT,单价16667元/平米,75,| 1室0厅 | 45平米 | 南 | 其他,低楼层(共30层)  塔楼  -,
丰乐小区 精装修3房 近地铁口 交通方便,单价15000元/平米,162,| 3室2厅 | 108平米 | 西南 | 其他,中楼层(共9层)  1990年建塔楼  -,
新世纪花园 安静不吵 采光好,单价13429元/平米,130,| 3室2厅 | 96.81平米 | 东南 | 其他,高楼层(共9层)  塔楼  -,
港前路小区 交通方便 实用2房,单价10500元/平米,65.1,| 2室1厅 | 62平米 | 南 | 其他,高楼层(共6层)  塔楼  -,
港前路小区 交通方便 实用1房,单价10500元/平米,44.1,| 1室1厅 | 42平米 | 西 | 其他,高楼层(共6层)  塔楼  -,
港湾一村 实用2房 交通方便 港湾小,单价15821元/平米,106,| 2室2厅 | 67平米 | 南 | 简装,中楼层(共7层)  1995年建塔楼  -,
火电厂宿舍 小区管理严格 安静舒适,单价13572元/平米,95,| 2室1厅 | 70平米 | 南 | 简装,中楼层(共8层)  塔楼  -,
菠萝庙船厂宿舍 黄金楼层 精装修 安静,单价12667元/平米,95,| 2室1厅 | 75平米 | 南 | 其他,中楼层(共9层)  塔楼  -,
四海生活区未来地铁沿线生活配套完善,单价8696元/平米,40,| 2室1厅 | 46平米 | 南 | 其他,低楼层(共7层)  塔楼  -,
北向一房一厅 投资事务自住 采光好,单价17778元/平米,80,| 1室1厅 | 45平米 | 北 | 其他,低楼层(共30层)  塔楼  -,
实用两房南北对流采光好交通方便格局方正,单价15715元/平米,110,| 2室1厅 | 70平米 | 南 | 简装,高楼层(共8层)  塔楼  -,
金碧世纪花园 南向精装两房 望游泳池,单价21740元/平米,150,| 2室2厅 | 69平米 | 南 | 简装,中楼层(共32层)  2004年建塔楼  -,
新港生活区 南北向两房 中间楼层,单价12136元/平米,75,| 2室1厅 | 61.8平米 | 南 | 其他,中楼层(共6层)  塔楼  -,
海校航专宿舍 低楼层小两房,单价14926元/平米,100,| 2室1厅 | 67平米 | 南 | 其他,中楼层(共6层)  1999年建塔楼  -,
天虹花园 精装三房 楼层好 南北通透修改,单价17533元/平米,135,| 3室1厅 | 77平米 | 西南 | 精装,中楼层(共9层)  塔楼  -,
怡园小区 交通便利 证足五年 省级学位房,单价20702元/平米,160,| 2室2厅 | 77.29平米 | 南 | 精装,高楼层(共8层)  1992年建塔楼  -,
金碧领秀国际精装南向3房 望江美景,单价29915元/平米,350,| 3室2厅 | 117平米 | 南 | 精装,高楼层(共33层)  2007年建塔楼  -,
天虹花园  户型方正 采光通风好 稀缺房,单价14323元/平米,110,| 2室2厅 | 76.8平米 | 东 | 简装,中楼层(共9层)  塔楼  -,
金碧世纪花园 稀缺户型 复式两房 急卖,单价18841元/平米,260,| 3室1厅 | 138平米 | 南 | 其他,低楼层(共32层)  2004年建塔楼  -,
金碧领秀国际，别墅出售，精装修,单价33596元/平米,550,| 4室3厅 | 163.71平米 | 南 | 精装,低楼层(共1层)  2007年建  -,
大沙地东路精装 两房出售,单价13334元/平米,80,| 2室1厅 | 60平米 | 南 | 其他,低楼层(共8层)  塔楼  -,
金碧世纪花园 北向稀缺2房 装修保养好,单价24243元/平米,160,| 2室2厅 | 66平米 | 北 | 其他,低楼层(共32层)  2004年建塔楼  -,
万科金色悦府 地铁上盖 楼龄新 送精装,单价23000元/平米,230,| 3室2厅 | 100平米 | 暂无数据 | 其他,低楼层(共31层)  塔楼  -,
红山花园 南北对流 采光通风好 环境优美,单价9017元/平米,55,| 2室1厅 | 61平米 | 南 | 简装,高楼层(共7层)  塔楼  -,
锦田花园 一房一厅 使用率高,单价20000元/平米,90,| 1室1厅 | 45平米 | 南 | 其他,中楼层(共7层)  塔楼  -,
南屏苑 南北通透户型 格局方正实用,单价10310元/平米,100,| 3室2厅 | 97平米 | 北 | 其他,高楼层(共9层)  塔楼  -,
墩美小区 居家小两房 安静不吵,单价10000元/平米,65,| 2室1厅 | 65平米 | 南 | 简装,高楼层(共9层)  塔楼  -,
万科城市花园 精装实用中层2房 近地铁,单价28170元/平米,200,| 2室2厅 | 71平米 | 西北 | 精装,低楼层(共18层)  2003年建塔楼  -,
乙烯大院 精装两房 地铁五号线 学位,单价15715元/平米,110,| 2室2厅 | 70平米 | 南 | 简装,高楼层(共8层)  1998年建塔楼  -,
港前路小区 交通方便 实用1房,单价10500元/平米,27.3,| 1室0厅 | 26平米 | 西南 | 其他,高楼层(共6层)  塔楼  -,
金碧世纪花园 装修保养好 看房约业主,单价29167元/平米,70,| 1室0厅 | 24平米 | 南 | 简装,中楼层(共17层)  2004年建塔楼  -,
三村远洋宿舍 够五年唯一 无按揭,单价16112元/平米,145,| 2室2厅 | 90平米 | 南 | 其他,高楼层(共8层)  塔楼  -,
万科城市花园 地铁上盖 配套完善,单价17813元/平米,285,| 4室2厅 | 160平米 | 南 | 精装,高楼层(共18层)  2003年建塔楼  -,
金碧世纪花园 南北对流 精装修,单价24638元/平米,170,| 2室1厅 | 69平米 | 南 | 毛坯,高楼层(共17层)  2004年建塔楼  -,
黄埔雅苑 南向 精装三房 地铁五号线,单价22773元/平米,230,| 3室2厅 | 101平米 | 南 | 精装,高楼层(共17层)  1970年建塔楼  -,
港前路 大院封闭式管理，环境优雅,单价12890元/平米,62,| 2室1厅 | 48.1平米 | 西南 | 简装,低楼层(共6层)  塔楼  -,
地铁沿线物业 中间楼层 生活配套齐,单价14717元/平米,128,| 3室1厅 | 86.98平米 | 暂无数据 | 其他,中楼层(共8层)  塔楼  -,
东城国际大厦 1室1厅 80万,单价18605元/平米,80,| 1室1厅 | 43平米 | 暂无数据 | 简装,中楼层(共30层)  塔楼  -,
石化生活区 1室1厅 50万,单价11364元/平米,50,| 1室1厅 | 44平米 | 南 | 其他,高楼层(共5层)  1976年建塔楼  -,
文船生活区 未来13号线地铁口 低总价,单价12821元/平米,50,| 1室1厅 | 39平米 | 南 | 其他,高楼层(共5层)  1999年建塔楼  -,
怡园小区 精装三房 南向少有 怡园学位,单价28572元/平米,280,| 3室2厅 | 98平米 | 南 | 其他,中楼层(共8层)  1992年建塔楼  -,
悦时代花园 地铁上盖 豪华新房 南北对流,单价25000元/平米,300,| 3室2厅 | 120平米 | 南 | 其他,中楼层(共33层)  2013年建塔楼  -,
天虹花园 电梯房 采光好 近地铁 业主自,单价16965元/平米,95,| 2室1厅 | 56平米 | 东南 | 简装,低楼层(共9层)  1998年建塔楼  -,
金碧领秀国际 漂亮三房 位置安静,单价27778元/平米,300,| 3室2厅 | 108平米 | 北 | 其他,中楼层(共33层)  2007年建塔楼  -,
梅园小区 2房1厅 装修保养好 南北对流,单价8600元/平米,43,| 2室1厅 | 50平米 | 南 | 其他,高楼层(共5层)  2000年建塔楼  -,
石化生活区 地铁五号线 投资盘修改房评,单价12955元/平米,57,| 1室1厅 | 44平米 | 南 | 简装,中楼层(共5层)  1976年建塔楼  -,
港湾路  方正大三房  南北对流,单价13236元/平米,135,| 3室2厅 | 102平米 | 暂无数据 | 简装,高楼层(共8层)  塔楼  -,
泰景花园实用三房 教育配套齐,单价13000元/平米,148.2,| 3室2厅 | 114平米 | 东北 | 简装,高楼层(共8层)  2006年建塔楼  -,
万科城市花园 户型方正 带省一级双学位,单价22536元/平米,160,| 2室2厅 | 71平米 | 西北 | 其他,中楼层(共18层)  2003年建塔楼  -,
港前路小区 交通方便 实用1房,单价10500元/平米,31.5,| 1室0厅 | 30平米 | 西南 | 其他,高楼层(共6层)  塔楼  -,
天虹花园 精装三房 楼层好 南北通透,单价16092元/平米,140,| 3室2厅 | 87平米 | 南 | 其他,低楼层(共9层)  1998年建塔楼  -,
金碧世纪花园 南北向两房 保养好,单价25363元/平米,175,| 2室2厅 | 69平米 | 南 | 其他,低楼层(共17层)  2004年建塔楼  -,
东城国际大厦 商住公寓 新装修 看房方便,单价18000元/平米,117,| 1室0厅 | 65平米 | 东南 | 精装,中楼层(共30层)  塔楼  -,
怡园小区 简约两房 随时入住 交通便捷,单价18948元/平米,144,| 2室2厅 | 76平米 | 南 | 精装,中楼层(共8层)  1992年建塔楼  -,
石化安置房 靠近地铁口 设施完善,单价13514元/平米,50,| 1室0厅 | 37平米 | 东 | 精装,高楼层(共34层)  2006年建塔楼  -,
实用温馨单位 配套完善 带大平台,单价25363元/平米,175,| 2室2厅 | 69平米 | 北 | 简装,低楼层(共32层)  2004年建塔楼  -,
户型方正 朝南向 采光好,单价29000元/平米,290,| 3室2厅 | 100平米 | 南 | 其他,低楼层(共31层)  塔楼  -,
东城华庭商住两用复式公寓 可注册,单价22550元/平米,115,| 1室1厅 | 51平米 | 南 | 其他,中楼层(共8层)  2006年建塔楼  -,
框架两房可用公积金贷 入读荔园学位 修改,单价12500元/平米,75,| 2室1厅 | 60平米 | 南 | 其他,高楼层(共6层)  塔楼  -,
东城华庭商住两用复式公寓 可注册,单价22550元/平米,115,| 1室1厅 | 51平米 | 南 | 其他,中楼层(共8层)  2006年建塔楼  -,
黄埔雅苑 交通便利 电梯温馨两房,单价20780元/平米,160,| 2室1厅 | 77平米 | 北 | 简装,高楼层(共17层)  1970年建塔楼  -,
金碧厅出两房 精装婚房 东北朝向,单价23014元/平米,168,| 2室2厅 | 73平米 | 北 | 精装,中楼层(共32层)  2004年建塔楼  -,
石化生活区 地铁五号线 投资盘 不靠路边,单价14167元/平米,51,| 1室1厅 | 36平米 | 南 | 简装,高楼层(共6层)  1976年建塔楼  -,
天虹花园 电梯房 采光好 近地铁,单价16965元/平米,95,| 2室1厅 | 56平米 | 北 | 其他,中楼层(共9层)  塔楼  -,
丰乐小区 少有放盘 省一级学位 采光好,单价14517元/平米,90,| 2室1厅 | 62平米 | 南 | 其他,高楼层(共8层)  1990年建塔楼  -,
省机施大院 地铁5号线 配套成熟,单价17544元/平米,100,| 2室1厅 | 57平米 | 南 | 其他,低楼层(共6层)  1997年建塔楼  -,
刚需三房 未来地铁沿线物业 省级一小,单价11364元/平米,100,| 3室2厅 | 88平米 | 北 | 其他,低楼层(共9层)  塔楼  -,
金碧世纪花园 最大两房 中高层 看花园,单价22667元/平米,170,| 2室2厅 | 75平米 | 北 | 精装,中楼层(共17层)  2004年建塔楼  -,
实用温馨单位 配套完善,单价25073元/平米,173,| 2室1厅 | 69平米 | 南 | 其他,中楼层(共32层)  2004年建塔楼  -,
金碧领秀精装三房出售 交通方便,单价27273元/平米,300,| 3室2厅 | 110平米 | 北 | 简装,中楼层(共33层)  2007年建塔楼  -,
港前路小区 交通方便 实用大单间,单价10500元/平米,31.5,| 1室0厅 | 30平米 | 西北 | 其他,高楼层(共6层)  塔楼  -,
航海学校宿舍 重新放卖 笋盘不容错过,单价11429元/平米,80,| 3室1厅 | 70平米 | 南 | 精装,高楼层(共6层)  1999年建塔楼  -,
丰乐小区 精装三房 地铁口 省级教育,单价16957元/平米,150,| 3室2厅 | 88.46平米 | 东 | 其他,中楼层(共7层)  1990年建塔楼  -,
怡港花园 温馨南向两房 楼层佳 价格笋,单价18073元/平米,150,| 2室2厅 | 83平米 | 南 | 其他,低楼层(共9层)  1999年建塔楼  -,
丰乐小区 房改房 中高层房 南北对流,单价18337元/平米,110,| 2室1厅 | 59.99平米 | 北 | 其他,中楼层(共8层)  1990年建塔楼  -,
夏园大厦 格局方正实用 南北对流,单价5938元/平米,38,| 2室1厅 | 64平米 | 北 | 其他,中楼层(共9层)  塔楼  -,
东城国际 公寓可注册办公 双地铁+BRT,单价20770元/平米,135,| 1室1厅 | 65平米 | 暂无数据 | 简装,高楼层(共30层)  塔楼  -,
锦田花园 周边配套成熟 交通便利 框架房,单价18422元/平米,175,| 1室1厅 | 95平米 | 东南 | 其他,低楼层(共7层)  塔楼  -,
商住两用可注册办公 双地铁+BRT,单价16667元/平米,75,| 1室0厅 | 45平米 | 南 | 其他,低楼层(共30层)  塔楼  -,
丰乐小区 精装修3房 近地铁口 交通方便,单价15000元/平米,162,| 3室2厅 | 108平米 | 西南 | 其他,中楼层(共9层)  1990年建塔楼  -,
新世纪花园 安静不吵 采光好,单价13429元/平米,130,| 3室2厅 | 96.81平米 | 东南 | 其他,高楼层(共9层)  塔楼  -,
港前路小区 交通方便 实用2房,单价10500元/平米,65.1,| 2室1厅 | 62平米 | 南 | 其他,高楼层(共6层)  塔楼  -,
港前路小区 交通方便 实用1房,单价10500元/平米,44.1,| 1室1厅 | 42平米 | 西 | 其他,高楼层(共6层)  塔楼  -,
港湾一村 实用2房 交通方便 港湾小,单价15821元/平米,106,| 2室2厅 | 67平米 | 南 | 简装,中楼层(共7层)  1995年建塔楼  -,
南屏苑 实用两房 公交车站旁,单价12836元/平米,86,| 2室1厅 | 67平米 | 南 | 简装,中楼层(共9层)  塔楼  -,
东城国际公寓 商住两用可注册办公 手快有,单价23077元/平米,120,| 1室1厅 | 52平米 | 南 | 精装,中楼层(共30层)  塔楼  -,
广机床研究所宿舍 中层安静两房 少有放卖,单价16000元/平米,128,| 3室2厅 | 80平米 | 东南 | 简装,中楼层(共6层)  塔楼  -,
莺岗小区 实用3房 小区环境好,单价10589元/平米,90,| 3室2厅 | 85平米 | 暂无数据 | 其他,低楼层(共8层)  塔楼  -,
金碧世纪花园 南向精装两房 望游泳池,单价21740元/平米,150,| 2室2厅 | 69平米 | 南 | 简装,中楼层(共32层)  2004年建塔楼  -,
新港生活区 南北向两房 中间楼层,单价12136元/平米,75,| 2室1厅 | 61.8平米 | 南 | 其他,中楼层(共6层)  塔楼  -,
海校航专宿舍 低楼层小两房,单价14926元/平米,100,| 2室1厅 | 67平米 | 南 | 其他,中楼层(共6层)  1999年建塔楼  -,
天虹花园 精装三房 楼层好 南北通透修改,单价17533元/平米,135,| 3室1厅 | 77平米 | 西南 | 精装,中楼层(共9层)  塔楼  -,
怡园小区 交通便利 证足五年 省级学位房,单价20702元/平米,160,| 2室2厅 | 77.29平米 | 南 | 精装,高楼层(共8层)  1992年建塔楼  -,
天虹花园 电梯房 采光好 近地铁 业主自,单价16965元/平米,95,| 2室1厅 | 56平米 | 东南 | 简装,低楼层(共9层)  1998年建塔楼  -,
港前路小区 交通方便 实用1房,单价10500元/平米,31.5,| 1室0厅 | 30平米 | 西南 | 其他,高楼层(共6层)  塔楼  -,
天虹花园 精装三房 楼层好 南北通透,单价16092元/平米,140,| 3室2厅 | 87平米 | 南 | 其他,低楼层(共9层)  1998年建塔楼  -,
金碧世纪花园 南北向两房 保养好,单价25363元/平米,175,| 2室2厅 | 69平米 | 南 | 其他,低楼层(共17层)  2004年建塔楼  -,
东城国际大厦 商住公寓 新装修 看房方便,单价18000元/平米,117,| 1室0厅 | 65平米 | 东南 | 精装,中楼层(共30层)  塔楼  -,
怡园小区 简约两房 随时入住 交通便捷,单价18948元/平米,144,| 2室2厅 | 76平米 | 南 | 精装,中楼层(共8层)  1992年建塔楼  -,
石化安置房 靠近地铁口 设施完善,单价13514元/平米,50,| 1室0厅 | 37平米 | 东 | 精装,高楼层(共34层)  2006年建塔楼  -,
实用温馨单位 配套完善 带大平台,单价25363元/平米,175,| 2室2厅 | 69平米 | 北 | 简装,低楼层(共32层)  2004年建塔楼  -,
户型方正 朝南向 采光好,单价29000元/平米,290,| 3室2厅 | 100平米 | 南 | 其他,低楼层(共31层)  塔楼  -,
丰乐小区 少有放盘 省一级学位 采光好,单价14517元/平米,90,| 2室1厅 | 62平米 | 南 | 其他,高楼层(共8层)  1990年建塔楼  -,
省机施大院 地铁5号线 配套成熟,单价17544元/平米,100,| 2室1厅 | 57平米 | 南 | 其他,低楼层(共6层)  1997年建塔楼  -,
刚需三房 未来地铁沿线物业 省级一小,单价11364元/平米,100,| 3室2厅 | 88平米 | 北 | 其他,低楼层(共9层)  塔楼  -,
金碧世纪花园 最大两房 中高层 看花园,单价22667元/平米,170,| 2室2厅 | 75平米 | 北 | 精装,中楼层(共17层)  2004年建塔楼  -,
实用温馨单位 配套完善,单价25073元/平米,173,| 2室1厅 | 69平米 | 南 | 其他,中楼层(共32层)  2004年建塔楼  -,
金碧领秀精装三房出售 交通方便,单价27273元/平米,300,| 3室2厅 | 110平米 | 北 | 简装,中楼层(共33层)  2007年建塔楼  -,
港前路小区 交通方便 实用大单间,单价10500元/平米,31.5,| 1室0厅 | 30平米 | 西北 | 其他,高楼层(共6层)  塔楼  -,
锦田花园 周边配套成熟 交通便利 框架房,单价18422元/平米,175,| 1室1厅 | 95平米 | 东南 | 其他,低楼层(共7层)  塔楼  -,
商住两用可注册办公 双地铁+BRT,单价16667元/平米,75,| 1室0厅 | 45平米 | 南 | 其他,低楼层(共30层)  塔楼  -,
丰乐小区 精装修3房 近地铁口 交通方便,单价15000元/平米,162,| 3室2厅 | 108平米 | 西南 | 其他,中楼层(共9层)  1990年建塔楼  -,
新世纪花园 安静不吵 采光好,单价13429元/平米,130,| 3室2厅 | 96.81平米 | 东南 | 其他,高楼层(共9层)  塔楼  -,
港前路小区 交通方便 实用2房,单价10500元/平米,65.1,| 2室1厅 | 62平米 | 南 | 其他,高楼层(共6层)  塔楼  -,
港前路小区 交通方便 实用1房,单价10500元/平米,44.1,| 1室1厅 | 42平米 | 西 | 其他,高楼层(共6层)  塔楼  -,
港湾一村 实用2房 交通方便 港湾小,单价15821元/平米,106,| 2室2厅 | 67平米 | 南 | 简装,中楼层(共7层)  1995年建塔楼  -,
金碧世纪花园 南向精装两房 望游泳池,单价21740元/平米,150,| 2室2厅 | 69平米 | 南 | 简装,中楼层(共32层)  2004年建塔楼  -,
天虹花园 电梯房 采光好 近地铁 业主自,单价16965元/平米,95,| 2室1厅 | 56平米 | 东南 | 简装,低楼层(共9层)  1998年建塔楼  -,
新港生活区 南北向两房 中间楼层,单价12136元/平米,75,| 2室1厅 | 61.8平米 | 南 | 其他,中楼层(共6层)  塔楼  -,
海校航专宿舍 低楼层小两房,单价14926元/平米,100,| 2室1厅 | 67平米 | 南 | 其他,中楼层(共6层)  1999年建塔楼  -,
天虹花园 精装三房 楼层好 南北通透修改,单价17533元/平米,135,| 3室1厅 | 77平米 | 西南 | 精装,中楼层(共9层)  塔楼  -,
怡园小区 交通便利 证足五年 省级学位房,单价20702元/平米,160,| 2室2厅 | 77.29平米 | 南 | 精装,高楼层(共8层)  1992年建塔楼  -,
港前路小区 交通方便 实用1房,单价10500元/平米,31.5,| 1室0厅 | 30平米 | 西南 | 其他,高楼层(共6层)  塔楼  -,
天虹花园 精装三房 楼层好 南北通透,单价16092元/平米,140,| 3室2厅 | 87平米 | 南 | 其他,低楼层(共9层)  1998年建塔楼  -,
金碧世纪花园 南北向两房 保养好,单价25363元/平米,175,| 2室2厅 | 69平米 | 南 | 其他,低楼层(共17层)  2004年建塔楼  -,
东城国际大厦 商住公寓 新装修 看房方便,单价18000元/平米,117,| 1室0厅 | 65平米 | 东南 | 精装,中楼层(共30层)  塔楼  -,
怡园小区 简约两房 随时入住 交通便捷,单价18948元/平米,144,| 2室2厅 | 76平米 | 南 | 精装,中楼层(共8层)  1992年建塔楼  -,
石化安置房 靠近地铁口 设施完善,单价13514元/平米,50,| 1室0厅 | 37平米 | 东 | 精装,高楼层(共34层)  2006年建塔楼  -,
实用温馨单位 配套完善 带大平台,单价25363元/平米,175,| 2室2厅 | 69平米 | 北 | 简装,低楼层(共32层)  2004年建塔楼  -,
户型方正 朝南向 采光好,单价29000元/平米,290,| 3室2厅 | 100平米 | 南 | 其他,低楼层(共31层)  塔楼  -,
丰乐小区 少有放盘 省一级学位 采光好,单价14517元/平米,90,| 2室1厅 | 62平米 | 南 | 其他,高楼层(共8层)  1990年建塔楼  -,
省机施大院 地铁5号线 配套成熟,单价17544元/平米,100,| 2室1厅 | 57平米 | 南 | 其他,低楼层(共6层)  1997年建塔楼  -,
刚需三房 未来地铁沿线物业 省级一小,单价11364元/平米,100,| 3室2厅 | 88平米 | 北 | 其他,低楼层(共9层)  塔楼  -,
金碧世纪花园 最大两房 中高层 看花园,单价22667元/平米,170,| 2室2厅 | 75平米 | 北 | 精装,中楼层(共17层)  2004年建塔楼  -,
实用温馨单位 配套完善,单价25073元/平米,173,| 2室1厅 | 69平米 | 南 | 其他,中楼层(共32层)  2004年建塔楼  -,
金碧领秀精装三房出售 交通方便,单价27273元/平米,300,| 3室2厅 | 110平米 | 北 | 简装,中楼层(共33层)  2007年建塔楼  -,
