name_of_community,layout_of_house,price_of_house,area_of_house,floor_of_house,time_of_construction
金宇花园 南北对流 格局方正 低楼层,单价15493元/平米,110,| 2室1厅 | 71平米 | 南 | 简装,低楼层(共9层)  1996年建塔楼  -,
龙锦大厦 新婚豪华一房 东向厅出阳台,单价31490元/平米,148,| 1室1厅 | 47平米 | 东 | 精装,低楼层(共31层)  2008年建塔楼  -,
幸福新村 全新装修 靓三房 靓地段,单价16437元/平米,143,| 3室1厅 | 87平米 | 东南 | 其他,低楼层(共4层)  1982年建塔楼  -,
荔港南湾 户型方正小三房 带省一级学位,单价26316元/平米,200,| 3室1厅 | 76平米 | 东北 | 精装,低楼层(共32层)  2008年建塔楼  -,
富力新居 小区管理 实用两房,单价18479元/平米,85,| 2室1厅 | 46平米 | 东 | 简装,高楼层(共9层)  1993年建塔楼  -,
荔港南湾 楼皇三房 南向园景 户型靓,单价27967元/平米,330,| 3室2厅 | 118平米 | 南 | 其他,中楼层(共32层)  2008年建塔楼  -,
金道花园 两房 格局方正 通风凉爽,单价16924元/平米,110,| 2室2厅 | 65平米 | 南 | 精装,高楼层(共9层)  2000年建塔楼  -,
荔港南湾 实用三房 华侨小学学位,单价23685元/平米,180,| 3室2厅 | 76平米 | 东北 | 其他,低楼层(共28层)  2008年建塔楼  -,
荔港南湾D区 3室2厅 310万,单价25410元/平米,310,| 3室2厅 | 122平米 | 南 | 其他,高楼层(共32层)  2008年建塔楼  -,
荔湾广场 3室1厅 165万,单价17369元/平米,165,| 3室1厅 | 95平米 | 东北 | 简装,低楼层(共30层)  2000年建塔楼  -,
宝华路小区 低层2房 间隔方正,单价15371元/平米,83,| 2室2厅 | 54平米 | 东 | 其他,中楼层(共5层)  2001年建塔楼  -,
龙津西 方正两房 黄金楼层,单价20723元/平米,70,| 1室1厅 | 33.78平米 | 东南 | 其他,中楼层(共9层)  1999年建塔楼  -,
锦龙北街 地铁上盖 证够两年,单价17969元/平米,115,| 2室1厅 | 64平米 | 东 | 简装,高楼层(共7层)  塔楼  -,
茶滘新村 交通方便 省级学位,单价14082元/平米,69,| 2室1厅 | 49平米 | 东南 | 其他,高楼层(共8层)  1999年建塔楼  -,
环翠园小区 环境好,单价19048元/平米,120,| 2室1厅 | 63平米 | 北 | 其他,中楼层(共9层)  1994年建塔楼  -,
华丽苑 双地铁 小区管理 升值在望,单价17165元/平米,115,| 2室2厅 | 67平米 | 西南 | 其他,低楼层(共9层)  1996年建塔楼  -,
荔港南湾 方正二房 采光好,单价21918元/平米,160,| 2室1厅 | 73平米 | 北 | 简装,高楼层(共25层)  1999年建塔楼  -,
逢源正街两房，中层,单价17143元/平米,96,| 2室1厅 | 56平米 | 西南 | 其他,中楼层(共9层)  塔楼  -,
芳村花园 大三房 带省一级学位,单价22223元/平米,240,| 3室2厅 | 108平米 | 东 | 简装,低楼层(共28层)  1999年建塔楼  -,
隆城大厦 高层电梯精致四房,单价19802元/平米,200,| 4室2厅 | 101平米 | 东北 | 简装,高楼层(共28层)  2000年建塔楼  -,
银建小区 精装两房 够两年,单价17963元/平米,97,| 2室1厅 | 54平米 | 北 | 其他,高楼层(共9层)  1998年建塔楼  -,
冼家庄 小区管理 低层1楼 送私家花园,单价22106元/平米,126,| 2室1厅 | 57平米 | 西南 | 其他,低楼层(共6层)  塔楼  -,
珠岛花园 精致靓向 实用一房 有匙即睇,单价17000元/平米,68,| 1室1厅 | 40平米 | 东 | 其他,高楼层(共9层)  1995年建塔楼  -,
南源花园 豪华南向两房 正望花园,单价24667元/平米,185,| 2室2厅 | 75平米 | 南 | 其他,低楼层(共18层)  1998年建塔楼  -,
耀华中东街 一层半私房 全新装修,单价23959元/平米,230,| 4室2厅 | 96平米 | 北 | 其他,低楼层(共1层)  塔楼  -,
旭日大厦 置换首选 旺中带静,单价25000元/平米,310,| 3室1厅 | 124平米 | 东 | 简装,高楼层(共31层)  2000年建塔楼  -,
金鹤苑 宁静小区 超新楼龄 底层放售,单价17425元/平米,115,| 2室1厅 | 66平米 | 东 | 其他,中楼层(共7层)  2000年建塔楼  -,
逸翠湾 228方大四房 豪华装修 正南,单价32174元/平米,740,| 5室2厅 | 230平米 | 南 | 精装,低楼层(共49层)  2009年建塔楼  -,
近地铁 交通方便 价钱实惠,单价22076元/平米,117,| 3室1厅 | 53平米 | 南 | 其他,低楼层(共8层)  塔楼  -,
隆城大厦 中层电梯两房 采光通风,单价23530元/平米,160,| 2室1厅 | 68平米 | 东北 | 简装,中楼层(共28层)  2000年建塔楼  -,
皇上皇大厦 精装3房 通风采光一流,单价32292元/平米,310,| 3室1厅 | 96平米 | 东 | 简装,低楼层(共18层)  2002年建塔楼  -,
银海花园 电梯两房 间隔方正 地铁沿线,单价10610元/平米,87,| 2室1厅 | 82平米 | 北 | 其他,中楼层(共28层)  2008年建塔楼  -,
瑞安花园 高层二房 邻近地铁5号线窖口站,单价20442元/平米,139,| 2室1厅 | 68平米 | 西 | 其他,高楼层(共31层)  2008年建塔楼  -,
金花苑 实用两房 间隔方正,单价30822元/平米,225,| 2室1厅 | 73平米 | 南 | 精装,高楼层(共25层)  1999年建塔楼  -,
王圣堂 间隔方正实用 采光通风一流,单价11880元/平米,55,| 1室1厅 | 46.3平米 | 南 | 其他,中楼层(共9层)  1995年建塔楼  -,
保利公园九里 中层主套精装三室,单价24602元/平米,278,| 3室2厅 | 113平米 | 南 | 其他,中楼层(共32层)  2014年建塔楼  -,
荔港南湾 精致两房 望江 保养好,单价28206元/平米,220,| 2室2厅 | 78平米 | 西北 | 其他,低楼层(共34层)  2008年建塔楼  -,
隽泷湾 东南靓向 正规实用2房 精装修,单价21843元/平米,180,| 2室2厅 | 82.41平米 | 东南 | 其他,低楼层(共31层)  塔楼  -,
荔港南湾 户型方正实用两房 厅出阳台,单价24055元/平米,178,| 2室2厅 | 74平米 | 东北 | 其他,低楼层(共34层)  2008年建塔楼  -,
保利公园九里 全新三室 厅出阳台望花园,单价27143元/平米,285,| 3室2厅 | 105平米 | 东南 | 其他,低楼层(共32层)  2014年建塔楼  -,
中山八路 实用三房 送天台花园,单价15910元/平米,140,| 3室2厅 | 88平米 | 东北 | 其他,高楼层(共9层)  塔楼  -,
广船鹤园小区 地铁上盖 广钢板块置业首选,单价16098元/平米,66,| 1室1厅 | 41平米 | 东 | 简装,中楼层(共6层)  1999年建塔楼  -,
环市西路 长宁街8号 0901,单价18750元/平米,135,| 3室1厅 | 72平米 | 南 | 其他,高楼层(共9层)  塔楼  -,
大岗元  入读协会小学  间隔方正,单价13969元/平米,88,| 2室1厅 | 63平米 | 南 | 其他,高楼层(共6层)  塔楼  -,
鹤松里 稀少1房 户型正气 总价低采光好,单价15000元/平米,60,| 2室1厅 | 40平米 | 东南 | 其他,高楼层(共7层)  塔楼  -,
文昌南路商业繁华路段中层实用两房,单价17858元/平米,100,| 2室1厅 | 56平米 | 北 | 其他,高楼层(共9层)  塔楼  -,
怡康苑 双地铁上盖 罕有电梯小两房 靓向,单价18868元/平米,100,| 2室1厅 | 53平米 | 东南 | 其他,低楼层(共30层)  2000年建塔楼  -,
光复大厦 间隔方正 眼镜城商圈 单价低,单价29167元/平米,280,| 3室1厅 | 96平米 | 东南 | 简装,中楼层(共28层)  2000年建塔楼  -,
保利公园九里 全新未住 精装四室两厅,单价22536元/平米,320,| 4室2厅 | 142平米 | 暂无数据 | 其他,中楼层(共38层)  2014年建塔楼  -,
路劲隽泷湾 实用户型 正望小区园林,单价20435元/平米,188,| 3室2厅 | 92平米 | 西北 | 其他,低楼层(共32层)  2013年建塔楼  -,
西关大厦交通便利该单位楼新装修新,价格低,单价17273元/平米,190,| 3室1厅 | 110平米 | 南 | 简装,中楼层(共20层)  2012年建塔楼  -,
芳园居 地铁沿线 入读名校 低层单位,单价13637元/平米,90,| 2室1厅 | 66平米 | 西南 | 简装,低楼层(共9层)  1998年建塔楼  -,
合兴苑 低层两房 省级学位 证够5年,单价19880元/平米,165,| 2室2厅 | 83平米 | 东北 | 简装,低楼层(共8层)  1997年建塔楼  -,
2楼两房 西南向双阳台 使用率高,单价12500元/平米,90,| 3室2厅 | 72平米 | 东 | 其他,中楼层(共5层)  塔楼  -,
知道园 格局方正 地铁一号线,单价16982元/平米,90,| 2室1厅 | 53平米 | 南 | 其他,中楼层(共6层)  1999年建塔楼  -,
龙津大厦 电梯三房 黄金地段,单价28000元/平米,299.6,| 3室1厅 | 107平米 | 东北 | 简装,高楼层(共15层)  1997年建塔楼  -,
荔港南湾 一线全江景豪宅出售,单价24127元/平米,380,| 3室2厅 | 157.5平米 | 西南 | 精装,中楼层(共34层)  2008年建塔楼  -,
东南向 大两房 高层视野开阔,单价12355元/平米,90,| 2室2厅 | 72.85平米 | 东南 | 其他,高楼层(共9层)  塔楼  -,
福州路 市一级学位实用2房 通风采光,单价18182元/平米,100,| 2室2厅 | 55平米 | 北 | 其他,低楼层(共8层)  塔楼  -,
珠岛花园 实用低层两房 老人首选物业,单价19118元/平米,130,| 2室1厅 | 68平米 | 东 | 其他,低楼层(共9层)  1995年建塔楼  -,
荔泰阁 采光通透 间隔实用,单价18230元/平米,175,| 3室1厅 | 96平米 | 东南 | 简装,中楼层(共30层)  2000年建塔楼  -,
超笋盘 低总价带省级学位,单价17143元/平米,48,| 1室1厅 | 28平米 | 南 | 其他,高楼层(共9层)  1997年建塔楼  -,
荔湾广场 繁华地段 生活所需一应俱全,单价17588元/平米,140,| 2室1厅 | 79.6平米 | 东 | 简装,高楼层(共30层)  2000年建塔楼  -,
富邦名寓 高层电梯 楼龄新净 地铁附近,单价34043元/平米,320,| 2室1厅 | 94平米 | 北 | 简装,高楼层(共26层)  2013年建塔楼  -,
光复中路 旺中带静 交通方便 间隔实用,单价16141元/平米,92,| 2室1厅 | 57平米 | 南 | 简装,中楼层(共5层)  塔楼  -,
芳园居 教师新村配套完善 精致装修,单价17606元/平米,125,| 2室2厅 | 71平米 | 南 | 简装,中楼层(共9层)  1998年建塔楼  -,
鹤翔路 邻近公交站 南北对流 布局方正,单价17969元/平米,115,| 2室1厅 | 64平米 | 南 | 其他,中楼层(共6层)  塔楼  -,
西湾东路间隔方正实用 采光好 近地铁,单价17593元/平米,95,| 2室1厅 | 54平米 | 北 | 其他,低楼层(共9层)  1980年建塔楼  -,
荔港南湾 最新区的G区大二房 厅出阳台,单价27565元/平米,215,| 2室1厅 | 78平米 | 东北 | 毛坯,低楼层(共34层)  2008年建塔楼  -,
鸿图苑 中层单位 交通便利,单价13069元/平米,115,| 3室2厅 | 88平米 | 北 | 简装,中楼层(共9层)  1995年建塔楼  -,
金宇花园 楼梯两房 黄金楼层 配套完善,单价13175元/平米,83,| 2室2厅 | 63平米 | 南 | 简装,中楼层(共9层)  1998年建塔楼  -,
140平大三房 西南向一线江景 还带豪装,单价35000元/平米,490,| 3室2厅 | 140平米 | 西南 | 精装,高楼层(共27层)  2009年建塔楼  -,
低层实用三房 采光通风非常好 证够二年,单价19278元/平米,160,| 3室2厅 | 83平米 | 暂无数据 | 简装,中楼层(共9层)  1998年建塔楼  -,
荔港南湾 温馨两房 南北通透 货真价实,单价27923元/平米,215,| 2室1厅 | 77平米 | 西南 | 简装,中楼层(共25层)  1999年建塔楼  -,
芦荻街 老城区 生活非常便利,单价21613元/平米,67,| 1室1厅 | 31平米 | 南 | 简装,中楼层(共9层)  2003年建塔楼  -,
周门小区 光猛一房,单价17980元/平米,68,| 1室0厅 | 37.82平米 | 西北 | 简装,中楼层(共9层)  1998年建塔楼  -,
芳村大道西 中层两房 交通方便 即可入住,单价14286元/平米,100,| 2室2厅 | 70平米 | 南 | 其他,中楼层(共8层)  1988年建塔楼  -,
鸿图苑 高层单位  证过五年 学位房,单价11682元/平米,89,| 2室2厅 | 76.19平米 | 南 | 精装,高楼层(共9层)  1995年建塔楼  -,
鹤洞路 中楼层 精致1房 采光通风好,单价14872元/平米,58,| 1室1厅 | 39平米 | 南 | 其他,高楼层(共5层)  塔楼  -,
荔港南湾 实用两房 采光好,单价24343元/平米,185,| 2室2厅 | 76平米 | 南 | 其他,低楼层(共33层)  2008年建塔楼  -,
世纪广场 中层采光充足 精装两房,单价27059元/平米,138,| 2室1厅 | 51平米 | 东 | 简装,中楼层(共9层)  1997年建塔楼  -,
荔港南湾 精装实用三房 南北对流户型方正,单价26548元/平米,265,| 3室2厅 | 99.82平米 | 南 | 其他,低楼层(共33层)  2008年建塔楼  -,
教师新村 高层两房 封闭社区 间隔方正,单价12858元/平米,90,| 2室1厅 | 70平米 | 东南 | 简装,高楼层(共9层)  1998年建塔楼  -,
芳华阁 精装修三房 地铁上盖,单价16854元/平米,150,| 3室1厅 | 89平米 | 西北 | 其他,中楼层(共9层)  1994年建塔楼  -,
实用精致一房一厅,单价28334元/平米,170,| 1室1厅 | 60平米 | 南 | 简装,高楼层(共17层)  2008年建塔楼  -,
龙津东路小区 厅大房大 厅出阳台,单价18182元/平米,200,| 3室2厅 | 110平米 | 东南 | 其他,中楼层(共9层)  1997年建塔楼  -,
环翠园 南北 实用二房 环境优美,单价16667元/平米,80,| 2室1厅 | 48平米 | 西南 | 简装,高楼层(共9层)  1994年建塔楼  -,
厚福苑 高层两房 投资自住两相宜,单价17693元/平米,115,| 2室1厅 | 65平米 | 南 | 其他,高楼层(共9层)  1998年建塔楼  -,
金兰苑 高层两房 光线充足 新婚首选,单价10615元/平米,82,| 2室1厅 | 77.25平米 | 西 | 其他,高楼层(共9层)  2001年建塔楼  -,
丛桂新街 临近地铁 实用两房 南北通透,单价20625元/平米,165,| 3室1厅 | 80平米 | 西南 | 精装,中楼层(共9层)  塔楼  -,
鸿图苑 楼梯中层 间隔方正 交通便利,单价16368元/平米,73,| 1室1厅 | 44.6平米 | 北 | 其他,中楼层(共9层)  1995年建塔楼  -,
实用三房 东南向,单价21349元/平米,190,| 3室2厅 | 89平米 | 东南 | 其他,中楼层(共32层)  2013年建塔楼  -,
鸿图苑 地铁沿线 低层单位 带私家大平台,单价16628元/平米,105,| 2室2厅 | 63.15平米 | 西 | 简装,低楼层(共9层)  1995年建塔楼  -,
纯正一房一厅,单价20834元/平米,100,| 1室1厅 | 48平米 | 南 | 简装,高楼层(共10层)  1999年建塔楼  -,
瑞安花园地铁5号线滘口站 东南靓向 够2,单价21324元/平米,145,| 2室1厅 | 68平米 | 东南 | 其他,低楼层(共31层)  2008年建塔楼  -,
康乃馨苑 地铁沿线 全南户型 精装2房,单价19566元/平米,135,| 2室1厅 | 69平米 | 北 | 其他,高楼层(共9层)  2000年建塔楼  -,
荔怡中心 精装三房 够五年北向,单价23585元/平米,250,| 3室1厅 | 106平米 | 西北 | 其他,高楼层(共20层)  2001年建塔楼  -,
近地铁 高层电梯2房 景观别致视野开阔,单价20596元/平米,173,| 2室2厅 | 84平米 | 东 | 其他,中楼层(共18层)  2002年建塔楼  -,
珠岛花园 近邻地铁 精装一房 环境安静,单价17308元/平米,45,| 1室0厅 | 26平米 | 西 | 其他,中楼层(共9层)  1995年建塔楼  -,
视野开阔 中层三房 一线望荔枝湾,单价27369元/平米,260,| 3室2厅 | 95平米 | 西北 | 其他,中楼层(共24层)  1998年建塔楼  -,
交通便利，而该单位楼新装修新,价格低，投,单价14616元/平米,95,| 2室1厅 | 65平米 | 东南 | 简装,高楼层(共9层)  1990年建塔楼  -,
封闭管理江景小区  低层实用 证够二年,单价26250元/平米,210,| 2室1厅 | 80平米 | 暂无数据 | 简装,低楼层(共13层)  塔楼  -,
低层超实用大两房，小区管理，配套齐全,单价14334元/平米,86,| 2室1厅 | 60平米 | 暂无数据 | 其他,低楼层(共8层)  1996年建塔楼  -,
富力新居 精致小两房 新婚首选,单价17273元/平米,95,| 2室2厅 | 55平米 | 暂无数据 | 其他,高楼层(共9层)  1993年建塔楼  -,
花地大道中 金道花园 电梯三房,单价17905元/平米,188,| 3室1厅 | 105平米 | 南 | 简装,高楼层(共22层)  2000年建塔楼  -,
东鹏花园 5分钟地铁生活圈 置业必选,单价18724元/平米,88,| 1室1厅 | 47平米 | 北 | 简装,中楼层(共6层)  塔楼  -,
耀华北约 黄金楼层 温馨两房,单价13889元/平米,100,| 2室1厅 | 72平米 | 东南 | 其他,中楼层(共4层)  2001年建塔楼  -,
高层三房 环境安静,单价29480元/平米,283,| 3室2厅 | 96平米 | 西北 | 精装,高楼层(共37层)  1998年建塔楼  -,
南北对流 采光好 厅出阳台,单价29897元/平米,290,| 3室2厅 | 97平米 | 东南 | 其他,中楼层(共18层)  2002年建塔楼  -,
兰兴苑85.15方毛胚房，投资居住首选,单价19965元/平米,170,| 1室1厅 | 85.15平米 | 东北 | 其他,中楼层(共9层)  1990年建塔楼  -,
南源花园 精装 好房子,单价28000元/平米,98,| 1室1厅 | 35平米 | 南 | 其他,中楼层(共17层)  1998年建塔楼  -,
西湾东一街 地铁上盖 光线好,单价21338元/平米,150,| 3室1厅 | 70.3平米 | 南 | 其他,高楼层(共9层)  塔楼  -,
珠岛花园 近邻地铁 东南靓向 方正三房,单价24097元/平米,200,| 3室2厅 | 83平米 | 东南 | 其他,中楼层(共23层)  1999年建塔楼  -,
恩宁路 实用一房一厅 地铁沿线上盖,单价20589元/平米,70,| 1室1厅 | 34平米 | 东南 | 其他,高楼层(共9层)  塔楼  -,
龙津大厦 电梯楼 大两房,单价26000元/平米,208,| 2室1厅 | 80平米 | 西 | 其他,中楼层(共32层)  1997年建塔楼  -,
龙津商贸大厦 简装两房一厅 间隔实用方正,单价20702元/平米,118,| 2室1厅 | 57平米 | 东南 | 简装,中楼层(共9层)  2000年建塔楼  -,
周门街实用两房修改房评,单价18728元/平米,103,| 2室1厅 | 55平米 | 南 | 其他,高楼层(共9层)  1998年建塔楼  -,
荔港南湾 3个大阳台 采光通风好,单价22170元/平米,235,| 3室2厅 | 106平米 | 南 | 其他,中楼层(共28层)  2008年建塔楼  -,
平西小区 新装修中楼层一房出售,单价12106元/平米,46,| 1室1厅 | 38平米 | 南 | 简装,中楼层(共5层)  1997年建塔楼  -,
地铁上盖 低层细积 交通便利,单价22790元/平米,75,| 1室1厅 | 32.91平米 | 东南 | 简装,低楼层(共8层)  1999年建塔楼  -,
多宝华厦 近地铁 采光好 位置佳,单价32674元/平米,330,| 3室2厅 | 101平米 | 南 | 简装,中楼层(共33层)  2000年建塔楼  -,
东浚荔景苑六座 东南向 新装修,单价28689元/平米,175,| 2室1厅 | 61平米 | 北 | 简装,中楼层(共43层)  1998年建塔楼  -,
康王阁 厅出阳台 方大厅大,单价35165元/平米,320,| 2室2厅 | 91平米 | 北 | 精装,高楼层(共20层)  2003年建塔楼  -,
荔湖明苑 方正70方精装修电梯楼两房,单价25000元/平米,175,| 2室1厅 | 70平米 | 南 | 简装,低楼层(共13层)  塔楼  -,
珠岛花园 简单实用两房 南北通透,单价16177元/平米,110,| 2室2厅 | 68平米 | 暂无数据 | 其他,低楼层(共9层)  1995年建塔楼  -,
府前阁 2000年小区房楼龄新 间隔好,单价14800元/平米,74,| 2室1厅 | 50平米 | 东南 | 其他,高楼层(共9层)  1998年建塔楼  -,
龙津东路 洞神坊 南向两房,单价16082元/平米,119,| 2室1厅 | 74平米 | 南 | 其他,高楼层(共9层)  塔楼  -,
西关尚品精装公寓配齐家电,单价18400元/平米,46,| 1室0厅 | 25平米 | 北 | 其他,中楼层(共18层)  2001年建塔楼  -,
东南靓向 视野开阔双阳台 近地铁,单价23196元/平米,225,| 1室0厅 | 97平米 | 东南 | 简装,中楼层(共35层)  2013年建塔楼  -,
世纪广场 中层单间 拎包入住,单价28261元/平米,65,| 1室0厅 | 23平米 | 西 | 简装,中楼层(共9层)  1997年建塔楼  -,
6层一房单位 封闭式小区楼龄新净,单价17500元/平米,70,| 1室1厅 | 40平米 | 东南 | 其他,中楼层(共9层)  2000年建塔楼  -,
珠岛花园 东南靓向 望花园望江,单价22500元/平米,180,| 2室1厅 | 80平米 | 东南 | 精装,高楼层(共17层)  1995年建塔楼  -,
银海花园 电梯两房 间隔方正 地铁沿线,单价11559元/平米,89,| 2室1厅 | 77平米 | 南 | 其他,中楼层(共28层)  2008年建塔楼  -,
万科柏悦湾 间隔方正 实用两室,单价31250元/平米,250,| 2室1厅 | 80平米 | 南 | 其他,中楼层(共34层)  2005年建塔楼  -,
华丽苑 刚需3房 近地铁 精装修,单价14943元/平米,130,| 3室2厅 | 87平米 | 暂无数据 | 其他,中楼层(共9层)  1996年建塔楼  -,
西华路 实用两房 临近地铁 旺中带静,单价20492元/平米,125,| 2室1厅 | 61平米 | 西北 | 简装,高楼层(共8层)  2003年建塔楼  -,
位置得天独厚 广佛地铁,单价12879元/平米,85,| 2室1厅 | 66平米 | 西北 | 其他,高楼层(共9层)  塔楼  -,
紫贵坊精装一房 5分钟到地铁 即买即可入,单价21427元/平米,70,| 1室1厅 | 32.67平米 | 北 | 简装,中楼层(共9层)  1999年建塔楼  -,
南岸路 低楼层 精装两房 户型正,单价17188元/平米,110,| 2室1厅 | 64平米 | 南 | 其他,低楼层(共9层)  塔楼  -,
荔港南湾 温馨两房 拎包入住,单价27273元/平米,210,| 2室1厅 | 77平米 | 北 | 精装,低楼层(共32层)  2008年建塔楼  -,
珠岛花园 一房一厅 单边位,单价17519元/平米,60,| 1室1厅 | 34.25平米 | 西 | 其他,低楼层(共9层)  1995年建塔楼  -,
楼龄新交 纯正两房两厅 户型超净,单价20386元/平米,148,| 2室2厅 | 72.6平米 | 南 | 其他,中楼层(共8层)  2000年建塔楼  -,
红棉苑 地铁上盖 实用三房 芳村中心地段,单价16892元/平米,125,| 3室1厅 | 74平米 | 南 | 简装,高楼层(共9层)  2000年建塔楼  -,
冼家庄 住家两房 够两年 唯一住房,单价17193元/平米,98,| 2室1厅 | 57平米 | 南 | 精装,高楼层(共7层)  塔楼  -,
永安居 电梯大2房 环市西路学位,单价24638元/平米,170,| 2室2厅 | 69平米 | 北 | 其他,中楼层(共13层)  塔楼  -,
方正实用一房一厅 装修保养好,单价18530元/平米,63,| 1室1厅 | 34平米 | 北 | 简装,高楼层(共9层)  1998年建塔楼  -,
中山七路 陈家祠地铁旁 实用两房,单价22223元/平米,100,| 2室1厅 | 45平米 | 东北 | 其他,高楼层(共6层)  塔楼  -,
牡丹阁 安静小区 原装两房 间隔方正,单价15874元/平米,100,| 2室1厅 | 63平米 | 南 | 简装,中楼层(共9层)  2000年建塔楼  -,
舒适三房精装 完美采光 视野开阔,单价27369元/平米,260,| 3室1厅 | 95平米 | 东北 | 其他,低楼层(共26层)  2003年建塔楼  -,
花园式小区 环境安静宜人 一流居住所,单价25074元/平米,170,| 2室1厅 | 67.8平米 | 东 | 简装,高楼层(共18层)  1998年建塔楼  -,
欧家园 东南向两房 厅出阳台 户型方正,单价20598元/平米,138,| 2室2厅 | 67平米 | 东南 | 简装,高楼层(共9层)  1997年建塔楼  -,
东鹏花园 地铁沿线 精致装修 园景单位,单价17858元/平米,75,| 2室1厅 | 42平米 | 西 | 其他,高楼层(共9层)  塔楼  -,
多宝华厦 中高层一房一厅 通风采光好,单价27500元/平米,110,| 1室1厅 | 40平米 | 西北 | 简装,低楼层(共33层)  2000年建塔楼  -,
芳邻美地 成熟地段 标准三房 有匙即睇,单价22858元/平米,240,| 3室2厅 | 105平米 | 北 | 精装,中楼层(共15层)  2008年建塔楼  -,
光雅里 简居投资笋盘,单价19445元/平米,70,| 1室1厅 | 36平米 | 东 | 简装,高楼层(共7层)  塔楼  -,
光复北路小区 环境好 入读省级学位,单价16072元/平米,45,| 1室1厅 | 28平米 | 东南 | 简装,高楼层(共8层)  1992年建塔楼  -,
和平西路 实用一房一厅 通风采光好,单价15910元/平米,55,| 1室1厅 | 34.57平米 | 南 | 其他,中楼层(共6层)  塔楼  -,
东鹏花园 通风明亮交通方便,单价20585元/平米,88,| 1室1厅 | 42.75平米 | 北 | 简装,中楼层(共6层)  塔楼  -,
洞企石路 低价两房 温馨之家,单价12500元/平米,60,| 2室1厅 | 48平米 | 南 | 其他,高楼层(共6层)  塔楼  -,
交通便利，而该单位楼新装修新,价格低，投,单价20690元/平米,120,| 2室1厅 | 58平米 | 南 | 其他,低楼层(共9层)  1995年建塔楼  -,
万科柏悦湾 房型正气 对流采光好,单价27084元/平米,260,| 3室2厅 | 96平米 | 北 | 其他,低楼层(共34层)  2005年建塔楼  -,
富力广场S区御花园  中层湖景大宅,单价37682元/平米,520,| 3室1厅 | 138平米 | 西北 | 简装,中楼层(共24层)  2005年建塔楼  -,
新丽苑  精致2房  交通方便,单价11608元/平米,65,| 2室1厅 | 56平米 | 南 | 其他,高楼层(共6层)  2000年建塔楼  -,
华福大厦 电梯两房 总价低,单价27344元/平米,175,| 2室1厅 | 64平米 | 西北 | 简装,中楼层(共28层)  2002年建塔楼  -,
沙涌新村 地铁沿线 间隔方正,单价15932元/平米,104,| 2室1厅 | 65.28平米 | 南 | 简装,低楼层(共7层)  1995年建塔楼  -,
桥东小区 三房 黄金楼层 装修好 保养新,单价16190元/平米,155,| 3室2厅 | 95.74平米 | 东北 | 其他,低楼层(共9层)  1995年建塔楼  -,
永安居 电梯高楼层3房 环市西路学位,单价22609元/平米,260,| 3室2厅 | 115平米 | 北 | 精装,高楼层(共13层)  塔楼  -,
加怡大厦 地铁沿线 精选电梯一房,单价21740元/平米,100,| 1室1厅 | 46平米 | 北 | 简装,中楼层(共22层)  1999年建塔楼  -,
福盛花苑 中层精装修两房 地铁鹤洞站,单价21274元/平米,128,| 2室1厅 | 60.17平米 | 东 | 简装,中楼层(共7层)  1998年建塔楼  -,
实用两房 装修保养新,单价32648元/平米,222,| 2室1厅 | 68平米 | 北 | 简装,高楼层(共25层)  2005年建塔楼  -,
瑞安花园 大三房带入户花园,单价22052元/平米,273,| 3室2厅 | 123.8平米 | 南 | 其他,中楼层(共31层)  2014年建塔楼  -,
多宝路 二楼 单边全明两房,单价21644元/平米,158,| 2室1厅 | 73平米 | 东北 | 其他,低楼层(共9层)  塔楼  -,
中山八路 实用二房,单价19017元/平米,116,| 2室2厅 | 61平米 | 南 | 其他,高楼层(共9层)  塔楼  -,
兰兴苑 一梯四户 低楼层 带学位,单价18631元/平米,136,| 2室1厅 | 73平米 | 南 | 简装,中楼层(共9层)  1990年建塔楼  -,
桥东万和苑 两房58方 低楼层,单价18104元/平米,105,| 2室1厅 | 58平米 | 东 | 其他,低楼层(共9层)  2000年建塔楼  -,
宝盛园 精装小户型 新婚首选,单价35715元/平米,300,| 2室2厅 | 84平米 | 东南 | 其他,高楼层(共30层)  2005年建塔楼  -,
全新装修 标准2房，价格合理,单价13889元/平米,100,| 2室1厅 | 72平米 | 东 | 简装,高楼层(共8层)  塔楼  -,
交通便利，而该单位楼新装修新,价格低，投,单价17416元/平米,155,| 2室2厅 | 89平米 | 北 | 精装,中楼层(共9层)  1991年建塔楼  -,
万科金色荔苑新领域 商住两用 干净舒适,单价25000元/平米,105,| 1室0厅 | 42平米 | 东 | 简装,中楼层(共32层)  2006年建塔楼  -,
地铁上盖物业，家私电器齐全看楼方便。,单价28049元/平米,115,| 2室1厅 | 41平米 | 西南 | 其他,低楼层(共33层)  2000年建塔楼  -,
红棉苑南区精装小两房,单价17215元/平米,90,| 2室1厅 | 52.28平米 | 东 | 简装,高楼层(共9层)  2000年建塔楼  -,
芳村大道西 交通方便 间隔方正 成熟小区,单价16072元/平米,90,| 2室1厅 | 56平米 | 东北 | 简装,中楼层(共9层)  1988年建塔楼  -,
文昌花园 高层实用两房 西南向采光好,单价27693元/平米,180,| 2室2厅 | 65平米 | 西 | 简装,高楼层(共32层)  2000年建塔楼  -,
龙津中路黄金地段的中层精装两房,单价28125元/平米,180,| 2室1厅 | 64平米 | 西北 | 简装,高楼层(共15层)  1997年建塔楼  -,
