name_of_community,layout_of_house,price_of_house,area_of_house,floor_of_house,time_of_construction
苏堤东里  私产满五唯一  南北通透  采光好,单价23826元/平米,173,| 2室1厅 | 72.61平米 | 南 北 | 简装,高楼层(共6层)  1996年建板楼  -,
兴泰西里 1室1厅 110万,单价24620元/平米,110,| 1室1厅 | 44.68平米 | 西 | 其他,中楼层(共7层)  1990年建板楼  -,
集园里 2室1厅 135万,单价24568元/平米,135,| 2室1厅 | 54.95平米 | 东 南 北 | 其他,低楼层(共5层)  1984年建板楼  -,
金平东里 1室1厅 85万,单价20109元/平米,85,| 1室1厅 | 42.27平米 | 南 | 其他,低楼层(共6层)  1998年建板楼  -,
艺术公寓 1室0厅 140万,单价29788元/平米,140,| 1室0厅 | 47平米 | 西北 | 其他,中楼层(共32层)  2011年建塔楼  -,
晋丰大厦 1室1厅 96万,单价22858元/平米,96,| 1室1厅 | 42平米 | 北 | 其他,中楼层(共16层)  2010年建塔楼  -,
昆裕里 1室1厅 190万,单价45046元/平米,190,| 1室1厅 | 42.18平米 | 东南 | 其他,中楼层(共7层)  2000年建板楼  -,
风荷东园 1室1厅 148万,单价21143元/平米,148,| 1室1厅 | 70平米 | 南 北 | 其他,中楼层(共9层)  1999年建板楼  -,
凌奥国际公寓 1室2厅 130万,单价16150元/平米,130,| 1室2厅 | 80.5平米 | 南 | 其他,低楼层(共24层)  2005年建板楼  -,
向阳小区 3室2厅 280万,单价22581元/平米,280,| 3室2厅 | 124平米 | 南 北 | 其他,高楼层(共6层)  1994年建板楼  -,
怡园里 1室1厅 190万,单价23276元/平米,190,| 1室1厅 | 81.63平米 | 南 | 其他,中楼层(共7层)  2003年建板楼  -,
龙凤里 1室0厅 115万,单价35385元/平米,115,| 1室0厅 | 32.5平米 | 南 | 其他,低楼层(共6层)  1989年建板楼  -,
宝利国际博朗园 1室1厅 95万,单价19270元/平米,95,| 1室1厅 | 49.3平米 | 南 | 其他,高楼层(共27层)  2013年建板楼  -,
尚佳新苑公寓 2室1厅 160万,单价28572元/平米,160,| 2室1厅 | 56平米 | 东 | 其他,高楼层(共20层)  2007年建塔楼  -,
江川北里 2室2厅 265万,单价30411元/平米,265,| 2室2厅 | 87.14平米 | 南 北 | 其他,中楼层(共6层)  2000年建板楼  -,
玉皇里 3室1厅 200万,单价25642元/平米,200,| 3室1厅 | 78平米 | 东 西 | 其他,高楼层(共6层)  1995年建板楼  -,
莲安里 2室1厅 220万,单价27923元/平米,220,| 2室1厅 | 78.79平米 | 南 北 | 其他,高楼层(共6层)  1999年建板楼  -,
世纪花园 3室1厅 400万,单价21575元/平米,400,| 3室1厅 | 185.4平米 | 西 | 其他,低楼层(共7层)  2001年建板楼  -,
金谷园 2室2厅 200万,单价17695元/平米,200,| 2室2厅 | 113.03平米 | 南 北 | 其他,高楼层(共6层)  1998年建板楼  -,
大园新居 2室2厅 265万,单价34416元/平米,265,| 2室2厅 | 77平米 | 南 北 | 其他,高楼层(共6层)  1999年建板楼  -,
延生里 1室1厅 85万,单价24286元/平米,85,| 1室1厅 | 35平米 | 东 | 简装,高楼层(共7层)  1990年建板楼  -,
宁乐里 1室1厅 120万,单价29485元/平米,120,| 1室1厅 | 40.7平米 | 南 北 | 其他,高楼层(共6层)  1990年建板楼  -,
仁恒海河广场 1室1厅 350万,单价67764元/平米,350,| 1室1厅 | 51.65平米 | 西 | 其他,低楼层(共23层)  2012年建板楼  -,
照湖里 1室1厅 110万,单价38502元/平米,110,| 1室1厅 | 28.57平米 | 东 南 | 其他,低楼层(共7层)  1990年建板楼  -,
弘祥家园 2室1厅 390万,单价40482元/平米,390,| 2室1厅 | 96.34平米 | 南 北 | 其他,低楼层(共6层)    -,
日华里 3室1厅 425万,单价32680元/平米,425,| 3室1厅 | 130.05平米 | 南 | 其他,中楼层(共6层)  1999年建板楼  -,
绮华里中心位置，黄金3楼，银角大三室。,单价34354元/平米,505,| 3室1厅 | 147平米 | 南 北 | 其他,中楼层(共6层)  2002年建板楼  -,
云阳西里 1室1厅 98万,单价21305元/平米,98,| 1室1厅 | 46平米 | 南 | 其他,低楼层(共6层)  1994年建板楼  -,
如意大厦 1室1厅 180万,单价31741元/平米,180,| 1室1厅 | 56.71平米 | 西 | 其他,低楼层(共40层)  2007年建板楼  -,
业主自改两室 满五年 中低楼层 房子保持好,单价48623元/平米,300,| 2室1厅 | 61.7平米 | 西北 | 其他,低楼层(共30层)  2008年建板楼  -,
卫津南路112号 两室 婚房首选 价格优势,单价18248元/平米,117,| 2室0厅 | 64.12平米 | 南 | 其他,高楼层(共5层)  1999年建板楼  -,
奥城公寓 民水民电 精装修 楼层好 投资首选,单价10012元/平米,68,| 1室0厅 | 67.92平米 | 西 | 其他,高楼层(共29层)  2008年建板楼  -,
临江里 中环以内 视野开阔 学区房,单价13685元/平米,52,| 1室1厅 | 38平米 | 南 | 其他,高楼层(共6层)  1985年建板楼  -,
奥城公寓 精装修 总价低 投资合适,单价10336元/平米,41,| 1室0厅 | 39.67平米 | 北 | 其他,中楼层(共29层)  2008年建板楼  -,
京燕大厦双阳两室 黄金楼层   格局不错,单价31859元/平米,360,| 2室1厅 | 113平米 | 南 西 | 其他,高楼层(共18层)  2000年建板楼  -,
康定里 1室1厅 57万,单价20593元/平米,57,| 1室1厅 | 27.68平米 | 南 北 | 其他,高楼层(共6层)  1984年建板楼  -,
翰园东里 2室1厅 160万,单价29315元/平米,160,| 2室1厅 | 54.58平米 | 南 北 | 其他,低楼层(共6层)  1989年建板楼  -,
后现代 中营学区房 小户型 近地铁,单价50796元/平米,265,| 1室1厅 | 52.17平米 | 西北 | 其他,低楼层(共25层)  2007年建板楼  -,
易川里 黄金楼层 采光良好 视野开阔,单价14063元/平米,90,| 2室1厅 | 64平米 | 东 西 北 | 其他,高楼层(共6层)  1990年建板楼  -,
金厦里 大两室 精装修 南北通透 重点学区房,单价20248元/平米,245,| 2室1厅 | 121平米 | 东 西 | 简装,高楼层(共10层)  1995年建板楼  -,
怀仁里 金角户型 临近地铁 交通便利,单价28800元/平米,90,| 1室1厅 | 31.25平米 | 东南 | 其他,高楼层(共7层)  1995年建板楼  -,
苏堤东里 南北2室 可做婚房 明厨明卫,单价22721元/平米,160,| 2室1厅 | 70.42平米 | 南 北 | 其他,高楼层(共6层)  1996年建板楼  -,
凌研里在售 生活便利 价格合适 成熟小区,单价20162元/平米,150,| 2室1厅 | 74.4平米 | 南 北 | 其他,高楼层(共7层)  1990年建板楼  -,
迎水南里小区  地铁房 学区房 看房方便,单价14000元/平米,56,| 1室1厅 | 40平米 | 西北 | 其他,高楼层(共7层)  2008年建板楼  -,
鹤园北里 交通便利 生活方便 临近地铁,单价13954元/平米,60,| 1室1厅 | 43平米 | 南 | 其他,高楼层(共6层)  1990年建板楼  -,
义兴南里 义兴里小学片 格局方正 采光充足,单价19608元/平米,100,| 2室1厅 | 51平米 | 东 | 简装,高楼层(共6层)  1995年建板楼  -,
近园里 水上公园对面 观景好 黄金地段,单价27197元/平米,130,| 2室1厅 | 47.8平米 | 东南 | 其他,高楼层(共20层)  1992年建板楼  -,
凤仪园 单价低 周边配套齐全 全明户型,单价28807元/平米,350,| 2室1厅 | 121.5平米 | 南 | 其他,高楼层(共16层)  2006年建板楼  -,
富力华庭 精装小两居 拎包即可入住 采光好,单价33767元/平米,260,| 2室1厅 | 77平米 | 西北 | 其他,高楼层(共30层)  2012年建板楼  -,
永信大厦 西南角地铁   写字楼  现房出售,单价12132元/平米,170,| 1室1厅 | 140.13平米 | 东北 | 毛坯,高楼层(共33层)  1997年建板楼  -,
沱江里 黄金一楼 刀把偏 南北通透,单价29055元/平米,165,| 2室1厅 | 56.79平米 | 东 西 | 简装,低楼层(共6层)  1993年建板楼  -,
三潭西里  学区房 交通便利 视野开阔,单价16556元/平米,99,| 2室1厅 | 59.8平米 | 南 西 北 | 简装,高楼层(共6层)  1990年建板楼  -,
凤园里 临近地铁 采光充足 配套实施齐全,单价14706元/平米,85,| 2室1厅 | 57.8平米 | 南 | 简装,高楼层(共6层)  1987年建板楼  -,
佳音里  采光好  南开中心小学片  南北通透,单价19492元/平米,115,| 2室1厅 | 59平米 | 南 北 | 其他,高楼层(共6层)  1997年建板楼  -,
紫云里 全阳一室 交通便利 采光良好,单价14865元/平米,55,| 1室1厅 | 37平米 | 南 | 其他,高楼层(共6层)  1984年建板楼  -,
玉鼎大厦 50年商住两用 海河河畔 采光好,单价21223元/平米,158,| 1室1厅 | 74.45平米 | 西 | 精装,中楼层(共27层)  2012年建塔楼  -,
卫安北里临近地铁交通便利户型采光好,单价14633元/平米,56,| 1室1厅 | 38.27平米 | 南 | 简装,高楼层(共7层)  1992年建板楼  -,
奥城公寓带租户出售 租金2500出行便利,单价10318元/平米,65,| 1室1厅 | 63平米 | 东南 | 精装,中楼层(共29层)  2008年建板楼  -,
长治里 学区房  私产房 采光好 南北通透,单价18571元/平米,120,| 2室1厅 | 64.62平米 | 南 北 | 简装,高楼层(共6层)  1986年建板楼  -,
颂禹西里学区精装修急售 看房很方便 朝向好,单价31997元/平米,150,| 2室1厅 | 46.88平米 | 南 北 | 精装,中楼层(共8层)  1994年建板楼  -,
春晖里 兴南街中心学区 黄金楼层 临地铁,单价34737元/平米,198,| 2室0厅 | 57平米 | 西 | 简装,中楼层(共7层)  1994年建板楼  -,
宁乐里 大平米两室 成熟小区 双阳卧室,单价15715元/平米,110,| 2室1厅 | 70平米 | 南 | 简装,高楼层(共6层)  1990年建板楼  -,
昔阳南里 金角朝向 南北通透 视野开阔,单价16667元/平米,190,| 2室1厅 | 114平米 | 南 北 | 精装,高楼层(共6层)  1986年建板楼  -,
太极园 2室1厅 240万,单价24779元/平米,240,| 2室1厅 | 96.86平米 | 东 | 其他,高楼层(共25层)    -,
盈江里 2室1厅 230万,单价24965元/平米,230,| 2室1厅 | 92.13平米 | 南 北 | 其他,低楼层(共6层)  1985年建板楼  -,
奥城公寓 2室1厅 250万,单价28364元/平米,250,| 2室1厅 | 88.14平米 | 南 | 其他,低楼层(共31层)  2013年建板楼  -,
玉皇里 2室1厅 150万,单价28302元/平米,150,| 2室1厅 | 53平米 | 南 | 其他,中楼层(共6层)  1995年建板楼  -,
阳光壹佰西园 2室1厅 260万,单价22808元/平米,260,| 2室1厅 | 114平米 | 东北 | 其他,高楼层(共22层)  2003年建板楼  -,
阳光壹佰东园 2室1厅 210万,单价16936元/平米,210,| 2室1厅 | 124平米 | 北 | 其他,高楼层(共18层)  2007年建板楼  -,
宜宾北里 2室1厅 120万,单价21950元/平米,120,| 2室1厅 | 54.67平米 | 西 北 | 其他,高楼层(共5层)  1983年建板楼  -,
雅安东里 2室1厅 171万,单价30000元/平米,171,| 2室1厅 | 57平米 | 东北 | 其他,低楼层(共6层)  1986年建板楼  -,
瑞德里 1室1厅 70万,单价22265元/平米,70,| 1室1厅 | 31.44平米 | 南 | 其他,高楼层(共7层)  1996年建板楼  -,
田川里 2室1厅 75万,单价17046元/平米,75,| 2室1厅 | 44平米 | 东 南 北 | 其他,高楼层(共6层)  1990年建板楼  -,
城南家园 2室1厅 480万,单价40364元/平米,480,| 2室1厅 | 118.92平米 | 南 北 | 其他,高楼层(共28层)  2006年建板楼  -,
凤仪园 2室0厅 243万,单价38130元/平米,243,| 2室0厅 | 63.73平米 | 东 西 | 其他,中楼层(共16层)  2006年建板楼  -,
俊城浅水湾 2室2厅 280万,单价30435元/平米,280,| 2室2厅 | 92平米 | 南 北 | 其他,高楼层(共5层)  2004年建板楼  -,
复康里 2室0厅 105万,单价22341元/平米,105,| 2室0厅 | 47平米 | 南 | 其他,低楼层(共5层)  1985年建板楼  -,
汇福华庭 2室2厅 580万,单价52253元/平米,580,| 2室2厅 | 111平米 | 南 西 北 | 其他,中楼层(共23层)  2006年建  -,
凌研里 2室1厅 190万,单价25334元/平米,190,| 2室1厅 | 75平米 | 南 北 | 其他,高楼层(共7层)  1990年建板楼  -,
世纪花园 南北通透 带电梯小高层 采光无挡,单价33505元/平米,430,| 5室0厅 | 128.34平米 | 南 北 | 其他,中楼层(共9层)  2001年建板楼  -,
仁恒海河广场 南北通透 金角三室 采光视野无遮挡,单价73747元/平米,1200,| 3室2厅 | 162.72平米 | 东南 | 其他,高楼层(共27层)  2012年建板楼  -,
南江东里 南江学区房 黄金楼层  婚房自住,单价18300元/平米,155,| 3室1厅 | 84.7平米 | 东 西 | 其他,中楼层(共6层)  1987年建板楼  -,
泊江东里 黄金3楼 双阳台 临中环线 交通便利 配套齐全,单价28847元/平米,150,| 2室1厅 | 52平米 | 南 | 其他,中楼层(共6层)  1987年建板楼  -,
时代奥城 通透三居室  临近公园 临近商业街,单价32785元/平米,500,| 3室2厅 | 152.51平米 | 西南 北 | 其他,低楼层(共24层)  2005年建板楼  -,
兴业家园  视野宽阔  学区房 周边配套齐全,单价38110元/平米,258,| 2室1厅 | 67.7平米 | 西南 | 其他,中楼层(共30层)  2011年建板楼  -,
超英家园 电梯房 精装三居 观景房 成熟地段,单价26896元/平米,410,| 3室1厅 | 152.44平米 | 南 北 | 精装,高楼层(共18层)  2000年建板楼  -,
居祥西里 1.6万 单价低  东西通透 私产可贷款 仅一套,单价16500元/平米,198,| 3室1厅 | 120平米 | 东 西 | 其他,高楼层(共7层)  1995年建板楼  -,
如意大厦 经典错跃 交通便捷 生活方便,单价38416元/平米,225,| 2室1厅 | 58.57平米 | 西 | 其他,中楼层(共23层)  2007年建板楼  -,
融汇北苑 精装修 紧邻地铁 后期税费低,单价49267元/平米,440,| 2室1厅 | 89.31平米 | 东 南 | 精装,中楼层(共37层)  2014年建板楼  -,
新庆里 五马路学区 私产房 采光好,单价34430元/平米,199,| 2室1厅 | 57.8平米 | 南 北 | 精装,高楼层(共6层)  1992年建板楼  -,
阳光晶典 精装修 临近大悦城地铁站 交通便利,单价49711元/平米,600,| 2室2厅 | 120.7平米 | 南 北 | 其他,低楼层(共33层)  2012年建板楼  -,
居祥西里 婚房装修 黄金5楼 随时看房,单价15095元/平米,80,| 1室1厅 | 53平米 | 东 | 其他,高楼层(共6层)  1995年建板楼  -,
风湖里 南北通透 过户费用低 风湖里学片,单价15323元/平米,95,| 2室1厅 | 62平米 | 东 南 北 | 其他,高楼层(共6层)  1993年建板楼  -,
龙亭家园 金角三室 黄金楼层 采光无遮,单价40589元/平米,690,| 4室1厅 | 170平米 | 东南 | 其他,高楼层(共27层)  2008年建板楼  -,
荣迁东里 南开学区房  单价低  投资稳定,单价22500元/平米,90,| 1室1厅 | 40平米 | 西北 | 其他,中楼层(共7层)  1987年建板楼  -,
凤园南里 交通便利 出行方便 采光好 配套成熟,单价28007元/平米,160,| 2室1厅 | 57.13平米 | 南 | 其他,中楼层(共6层)  1986年建板楼  -,
玉泉北里 紧邻地铁 出行方便 采光好,单价21784元/平米,138,| 1室1厅 | 63.35平米 | 东 | 其他,高楼层(共7层)  2000年建板楼  -,
龙亭家园精装一室 自住保持较好 拎包入住,单价45352元/平米,280,| 1室2厅 | 61.74平米 | 西北 | 其他,低楼层(共30层)  2008年建板楼  -,
中海御湖翰苑 复式 临近地铁 交通方便,单价18051元/平米,90,| 1室1厅 | 49.86平米 | 南 | 其他,高楼层(共20层)  2010年建板楼  -,
云栖里 一楼自带小院 学区房 门脸自住都可,单价46297元/平米,125,| 1室1厅 | 27平米 | 西 | 其他,低楼层(共6层)  1988年建板楼  -,
宁强里 双阳2室 黄金楼层 视野开阔,单价24176元/平米,110,| 2室1厅 | 45.5平米 | 南 | 其他,高楼层(共6层)  1990年建板楼  -,
盈江里 格局合理 交通便利 配套齐全,单价19022元/平米,70,| 1室1厅 | 36.8平米 | 南 北 | 其他,高楼层(共6层)  1985年建板楼  -,
世纪花园 户型方正 采光充足 视野开阔,单价41285元/平米,450,| 2室2厅 | 109平米 | 南 北 | 其他,中楼层(共9层)  2001年建板楼  -,
金福里 南北通透 双卫H户型 单价低,单价18111元/平米,230,| 2室1厅 | 127平米 | 南 北 | 其他,高楼层(共6层)  1988年建板楼  -,
奥城公寓17号楼 精装 拎包入住,单价11062元/平米,125,| 3室1厅 | 113平米 | 西南 | 其他,高楼层(共29层)  2005年建塔楼  -,
迎水西里 2室0厅 160万,单价22079元/平米,160,| 2室0厅 | 72.47平米 | 东 南 北 | 其他,高楼层(共6层)  1984年建板楼  -,
林苑北里 2室1厅 160万,单价29128元/平米,160,| 2室1厅 | 54.93平米 | 南 | 其他,低楼层(共6层)  1986年建板楼  -,
麦迪逊一室 低楼层 完美装修  居家之选,单价16460元/平米,122,| 1室1厅 | 74.12平米 | 南 | 其他,低楼层(共18层)  2005年建板楼  -,
中海御湖翰苑 电梯房 交通便利 视野开阔,单价13280元/平米,62,| 1室0厅 | 46.69平米 | 南 北 | 其他,高楼层(共31层)  2010年建板楼  -,
颂禹西里 1室1厅 136万,单价34000元/平米,136,| 1室1厅 | 40平米 | 南 | 其他,低楼层(共7层)  1994年建板楼  -,
钻石山别墅，小区新，税费少，毛坯房。,单价40084元/平米,1350,| 5室3厅 | 336.8平米 | 南 北 | 其他,低楼层(共3层)  板楼  -,
福利华庭 小两室 低楼层无遮挡 户型方正,单价32468元/平米,250,| 2室1厅 | 77平米 | 北 | 其他,低楼层(共30层)  2012年建板楼  -,
经典小区 经典户型 南北通透 配套齐全,单价17896元/平米,108,| 2室1厅 | 60.35平米 | 南 北 | 其他,高楼层(共6层)  1990年建板楼  -,
南大附近 精品1室  婚房首选 落户极佳,单价21773元/平米,86,| 1室1厅 | 39.5平米 | 北 | 其他,中楼层(共7层)  1990年建板楼  -,
江川北里带厅两室 精装修 婚房首选 采光好,单价10858元/平米,76,| 2室1厅 | 70平米 | 西南 | 简装,高楼层(共6层)  2000年建板楼  -,
荣迁里 通透四楼 精装修 投资自住首选 看房方便,单价30110元/平米,165,| 2室1厅 | 54.8平米 | 东 西 | 其他,中楼层(共6层)  1990年建板楼  -,
林苑东里 双阳台 黄金4楼 南北向,单价24753元/平米,100,| 2室1厅 | 40.4平米 | 南 北 | 其他,中楼层(共7层)  1999年建板楼  -,
白堤东里小区 学区房 通透户型 楼层低,单价22223元/平米,100,| 1室1厅 | 45平米 | 东 西 | 简装,低楼层(共6层)  1985年建板楼  -,
阳光晶典 婚房装修 全阳两室 采光无遮挡,单价45956元/平米,480,| 2室2厅 | 104.45平米 | 南 | 精装,中楼层(共33层)  2014年建板楼  -,
大悦公寓 1室0厅 110万,单价25265元/平米,110,| 1室0厅 | 43.54平米 | 西南 | 其他,低楼层(共28层)  2013年建板楼  -,
宁盛里 2室1厅 180万,单价24828元/平米,180,| 2室1厅 | 72.5平米 | 南 北 | 其他,高楼层(共6层)  1995年建板楼  -,
颂禹西里 五马路学区房 双阳两室 欲购从速,单价29252元/平米,140,| 2室0厅 | 47.86平米 | 南 | 简装,中楼层(共8层)  1994年建板楼  -,
幸福南里 企业产 两室改一室 房主诚售,单价20886元/平米,100,| 1室1厅 | 47.88平米 | 东 | 简装,中楼层(共7层)  1995年建板楼  -,
纽约公寓 全明户型 黄金楼段 采光很好,单价12600元/平米,160,| 2室1厅 | 126.99平米 | 东 北 | 其他,高楼层(共16层)  2013年建板楼  -,
金庄公寓，观水上  砖楼 小区物业棒棒哒！,单价23405元/平米,198,| 2室1厅 | 84.6平米 | 东 北 | 其他,高楼层(共5层)  2001年建板楼  -,
稚优里 黄金二楼 采光好 学区房,单价15477元/平米,65,| 1室1厅 | 42平米 | 南 | 简装,低楼层(共6层)  1990年建板楼  -,
天华里 婚房装修 学区片两室,单价31679元/平米,298,| 2室1厅 | 94.07平米 | 南 | 其他,中楼层(共25层)  1998年建板楼  -,
南门外大街  通透两室  大阳台  鞍山道片,单价36058元/平米,225,| 2室1厅 | 62.4平米 | 东 西 | 简装,中楼层(共6层)  1990年建板楼  -,
飞云里 私产过五年 南北通透 交通便利,单价30780元/平米,290,| 2室1厅 | 94.22平米 | 南 北 | 其他,高楼层(共6层)  1996年建板楼  -,
静德花园 中营学片 中低楼层 配套完善,单价43966元/平米,510,| 2室2厅 | 116平米 | 南 北 | 精装,低楼层(共26层)  2008年建板楼  -,
瑞德里 周边设施齐全  永基小学 菜市场,单价16667元/平米,110,| 2室1厅 | 66平米 | 东 西 | 简装,中楼层(共11层)  1996年建板楼  -,
海泰国际公寓 精装一室 采光不错 视野开阔,单价8696元/平米,40,| 1室1厅 | 46平米 | 南 | 其他,中楼层(共26层)  2010年建塔楼  -,
嘉陵南里 私产房 金角双阳户型  出行方便,单价27724元/平米,155,| 2室1厅 | 55.91平米 | 东南 | 其他,低楼层(共6层)  1985年建板楼  -,
协龙里 紧邻地铁 中心小学片  视野开阔,单价14524元/平米,122,| 2室1厅 | 84平米 | 南 | 其他,中楼层(共7层)  1996年建板楼  -,
卫安北里 交通便利 采光好 周围设施齐全,单价18334元/平米,55,| 2室0厅 | 30平米 | 北 | 其他,高楼层(共7层)  1992年建板楼  -,
金航大厦 两室带装修 采光霸道 私产满两年,单价25772元/平米,248,| 2室1厅 | 96.23平米 | 东南 | 其他,中楼层(共13层)  2000年建板楼  -,
保康里小区  位置优越  交通便利  配套成熟,单价28170元/平米,100,| 2室0厅 | 35.5平米 | 南 | 其他,低楼层(共6层)  1990年建板楼  -,
罗江西里 企业产 采光良好 全明户型,单价23612元/平米,85,| 2室1厅 | 36平米 | 南 北 | 其他,高楼层(共5层)  1999年建板楼  -,
欣苑公寓 交通便利 功能完善 黄金楼层,单价34365元/平米,350,| 2室2厅 | 101.85平米 | 南 北 | 其他,低楼层(共6层)  2000年建板楼  -,
临渭家园 临近中环线 靠近长虹公园 近地铁,单价27666元/平米,165,| 1室1厅 | 59.64平米 | 南 | 其他,高楼层(共26层)  2009年建板楼  -,
迎水东里 重点学区 采光好 业主诚意出售,单价18519元/平米,50,| 1室1厅 | 27平米 | 西 | 精装,高楼层(共6层)  1983年建板楼  -,
广林园学区房 通透一室 紧邻地铁 交通便利,单价27201元/平米,220,| 1室1厅 | 80.88平米 | 东 西 | 其他,高楼层(共7层)  1998年建板楼  -,
郁园里 地铁好房 落户首选 看房方便,单价17168元/平米,72,| 1室1厅 | 41.94平米 | 南 | 其他,高楼层(共6层)  1996年建板楼  -,
瑞德里正规一室一厅无敌采光黄金地段,单价15385元/平米,60,| 1室0厅 | 39平米 | 西 | 其他,高楼层(共7层)  1996年建板楼  -,
公寓精装两室 黄金地段 配套成熟 地铁公园,单价10295元/平米,70,| 2室1厅 | 68平米 | 南 | 其他,高楼层(共29层)  2008年建板楼  -,
泊江东里 临近地铁 黄金2楼 适合老人,单价23077元/平米,135,| 2室1厅 | 58.5平米 | 南 | 其他,低楼层(共6层)  1987年建板楼  -,
朝园里地铁房 全阳面 简单装修 黄金地段,单价24591元/平米,150,| 2室1厅 | 61平米 | 南 | 其他,高楼层(共6层)  1992年建板楼  -,
艺术公寓 中营学区 采光充足 配套成熟,单价24026元/平米,185,| 2室1厅 | 77平米 | 东北 | 其他,中楼层(共32层)  2011年建塔楼  -,
地铁沿线 学区房 采光充足 视野开阔,单价48612元/平米,350,| 2室1厅 | 72平米 | 南 | 精装,中楼层(共16层)  2010年建塔楼  -,
荣迁里 中间楼层 私产 银角,单价37736元/平米,200,| 2室1厅 | 53平米 | 南 | 其他,中楼层(共7层)  1990年建板楼  -,
龙井里 两室单价低 交通便利 周边配套齐全,单价20000元/平米,80,| 2室1厅 | 40平米 | 南 | 其他,高楼层(共6层)  1989年建板楼  -,
平湖东里 阳面一居 企业产 不到顶,单价16331元/平米,38,| 2室0厅 | 23.27平米 | 南 | 简装,高楼层(共5层)  1986年建板楼  -,
十华里  地铁房  通透户型   投资居住首选,单价14763元/平米,96,| 1室1厅 | 65.03平米 | 南 | 精装,高楼层(共18层)  2005年建板楼  -,
博朗园 黄金地段 临近地铁 户型好,单价21750元/平米,420,| 3室1厅 | 193.11平米 | 南 北 | 其他,高楼层(共27层)  2013年建板楼  -,
盈江西里 黄金楼层 一室户型 采光极佳,单价15938元/平米,51,| 1室1厅 | 32平米 | 西 | 其他,中楼层(共7层)  1999年建板楼  -,
凌研里，南北通透，生活设施完善，随时看房,单价20101元/平米,160,| 2室1厅 | 79.6平米 | 南 北 | 其他,高楼层(共7层)  1990年建板楼  -,
龙井里 黄金楼层 双阳户型 采光良好,单价33019元/平米,105,| 2室1厅 | 31.8平米 | 南 | 其他,低楼层(共6层)  1989年建板楼  -,
宁乐里 黄金楼层 前后无遮挡采光好 交通便利,单价20500元/平米,82,| 1室1厅 | 40平米 | 东南 | 其他,中楼层(共6层)  1990年建板楼  -,
凤园北里 视野开阔 紧邻地铁 精装修,单价32523元/平米,115,| 1室0厅 | 35.36平米 | 北 | 其他,高楼层(共6层)  1986年建板楼  -,
尚佳新苑公寓 精装2室 中间楼层 视野好,单价25000元/平米,140,| 2室1厅 | 56平米 | 北 | 其他,中楼层(共20层)  2007年建塔楼  -,
风范新苑 电梯洋房 送两个车位 观水上,单价37218元/平米,550,| 3室2厅 | 147.78平米 | 南 北 | 其他,中楼层(共8层)  2000年建板楼  -,
盈江西里 婚房精装 全明户型 婚房首选,单价12858元/平米,45,| 1室1厅 | 35平米 | 西 | 精装,高楼层(共6层)  1999年建板楼  -,
园荫北里 地铁房 学区房 交通便利,单价15834元/平米,95,| 2室1厅 | 60平米 | 南 北 | 其他,高楼层(共7层)  1986年建板楼  -,
宇正园 正规底商 人流量大 总价低,单价38000元/平米,589,| 1室1厅 | 155平米 | 南 北 | 其他,低楼层(共10层)  2004年建板楼  -,
奥城公寓 临近地铁 精装修 租金高,单价15045元/平米,85,| 1室0厅 | 56.5平米 | 东北 | 其他,低楼层(共29层)  2010年建板楼  -,
博雅轩人才公寓 南北通透  采光充足 电梯房,单价35157元/平米,450,| 2室2厅 | 128平米 | 南 北 | 其他,低楼层(共12层)  2006年建塔楼  -,
航天北里 低楼层3室 仅需185万 有钥匙,单价19563元/平米,210,| 3室1厅 | 107.35平米 | 西 西北 | 简装,中楼层(共6层)  1998年建板楼  -,
金平东里 采光好 南北通透 师大附小学区房,单价17767元/平米,70,| 2室1厅 | 39.4平米 | 南 北 | 其他,高楼层(共6层)  1998年建板楼  -,
九州国际 高楼层 无遮挡 采光好 单价合适,单价39845元/平米,348,| 2室1厅 | 87.34平米 | 西北 | 精装,高楼层(共34层)  2010年建板楼  -,
郁园里 黄金一楼 单价低 南北通透 交通便利,单价29941元/平米,120,| 2室1厅 | 40.08平米 | 南 北 | 其他,低楼层(共6层)  1996年建板楼  -,
卫安北里黄金楼层采光好交通便利,单价32533元/平米,88,| 1室1厅 | 27.05平米 | 西 | 其他,高楼层(共7层)  1992年建板楼  -,
江川北里   南北通透  双阳台  装修保持好,单价20572元/平米,90,| 2室2厅 | 43.75平米 | 南 北 | 简装,高楼层(共6层)  2000年建板楼  -,
宁乐里，总价低，看房方便，地段好 企业产,单价23696元/平米,109,| 1室1厅 | 46平米 | 南 | 其他,中楼层(共6层)  1990年建板楼  -,
十华里 地铁 出租2000元 投资首选房,单价13840元/平米,90,| 1室1厅 | 65.03平米 | 南 | 简装,高楼层(共18层)  2005年建板楼  -,
雅安东里　地铁房 有学区名额 黄金楼层,单价15556元/平米,42,| 1室1厅 | 27平米 | 南 北 | 简装,高楼层(共6层)  1986年建板楼  -,
怀仁里 五马路学区房 临近地铁 不到顶,单价20195元/平米,110,| 2室1厅 | 54.47平米 | 南 北 | 其他,高楼层(共7层)  1995年建板楼  -,
云龙里 全明户型 大型社区 文明小区,单价17413元/平米,140,| 2室1厅 | 80.4平米 | 东 西 | 其他,高楼层(共7层)  1995年建板楼  -,
红和里  标准老式两室  南北通透  明厨明卫,单价29060元/平米,170,| 2室1厅 | 58.5平米 | 南 北 | 简装,高楼层(共6层)  1987年建板楼  -,
