name_of_community,layout_of_house,price_of_house,area_of_house,floor_of_house,time_of_construction
翠湖山庄 实用三房 环境优美 配套成熟,单价32405元/平米,335,| 3室2厅 | 103.38平米 | 北 | 简装,中楼层(共31层)  1999年建塔楼  -,
天銮 不限购平层带私家泳豪宅 现代装修,单价93307元/平米,4600,| 4室3厅 | 493平米 | 暂无数据 | 精装,中楼层(共28层)  2013年建塔楼  -,
珠江新城 富力爱丁堡国际 1房1厅 出售,单价34021元/平米,330,| 1室1厅 | 97平米 | 西 | 简装,中楼层(共32层)  2007年建塔楼  -,
天誉花园一期 两房小户型 中高楼层,单价39099元/平米,430,| 2室2厅 | 109.98平米 | 北 | 简装,高楼层(共31层)  1998年建塔楼  -,
雅怡阁 实用两房 证满二年,单价21053元/平米,120,| 2室2厅 | 57平米 | 北 | 简装,中楼层(共23层)  2000年建塔楼  -,
东成花苑 实用三房 格局方正 证过五年,单价30000元/平米,276,| 3室2厅 | 92平米 | 南 | 毛坯,中楼层(共9层)  2007年建塔楼  -,
天銮 一线园林景观 豪华装修 可注册公司,单价65000元/平米,1690,| 5室2厅 | 260平米 | 暂无数据 | 精装,低楼层(共27层)  2013年建塔楼  -,
富力新村 重点学位 实用一房 安静温馨,单价12821元/平米,50,| 1室1厅 | 39平米 | 东 | 简装,高楼层(共9层)  1994年建塔楼  -,
文景阁 方正两房 格局舒适 自住出租皆可,单价24000元/平米,180,| 2室1厅 | 75平米 | 暂无数据 | 其他,低楼层(共9层)  2000年建塔楼  -,
德欣小区 华康学位房 两室一厅,单价25343元/平米,185,| 2室1厅 | 73平米 | 南 | 其他,中楼层(共9层)  1994年建塔楼  -,
中明大厦 龙口西学位 带装修 户型方正,单价35237元/平米,350,| 2室1厅 | 99.33平米 | 南 | 其他,高楼层(共16层)  2000年建塔楼  -,
格局方正 通风采光好 标准三房户型,单价22000元/平米,165,| 3室1厅 | 75平米 | 南 | 其他,中楼层(共9层)  1990年建塔楼  -,
锦明街 公园旁两房 精装修 黄金楼层,单价23973元/平米,175,| 2室1厅 | 73平米 | 北 | 简装,中楼层(共9层)  塔楼  -,
康湖山庄 大单间 采光极好,单价32433元/平米,120,| 1室0厅 | 37平米 | 南 | 其他,中楼层(共8层)  1998年建塔楼  -,
东方都会广场 时尚复式 带学位,单价41026元/平米,160,| 1室1厅 | 39平米 | 北 | 精装,中楼层(共23层)  2002年建塔楼  -,
南兴花园 三房两厅 实用方正,单价20931元/平米,180,| 3室2厅 | 86平米 | 东北 | 其他,高楼层(共7层)  2004年建塔楼  -,
方正实用，带龙口西学位,单价30000元/平米,432,| 3室1厅 | 144平米 | 北 | 其他,中楼层(共23层)  2002年建塔楼  -,
实用舒适单位 配套完善,单价27084元/平米,260,| 3室1厅 | 96平米 | 北 | 精装,高楼层(共29层)  1998年建塔楼  -,
东圃大马路 雅怡居 实用两房,单价18731元/平米,118,| 2室2厅 | 63平米 | 东 | 其他,高楼层(共9层)  2000年建塔楼  -,
远洋宿舍 精品两房,单价21775元/平米,135,| 2室1厅 | 62平米 | 南 | 其他,高楼层(共9层)  1998年建塔楼  -,
濂泉西路95号大院 实用两房,单价14234元/平米,90,| 2室2厅 | 63.23平米 | 东 | 简装,中楼层(共9层)  1990年建塔楼  -,
金坤花园 简装两房 户型方正,单价18750元/平米,135,| 2室1厅 | 72平米 | 南 | 简装,高楼层(共9层)  1998年建塔楼  -,
金穗大厦 华阳学位 电梯房,单价25548元/平米,350,| 4室2厅 | 137平米 | 东南 | 其他,中楼层(共33层)  1997年建塔楼  -,
汇友苑 精装两房 东南向 保养好,单价23288元/平米,170,| 2室2厅 | 73平米 | 东南 | 精装,低楼层(共19层)  1994年建塔楼  -,
商住两用 复式公寓 保养非常好 视野开阔,单价54795元/平米,400,| 1室1厅 | 73平米 | 东 | 精装,高楼层(共40层)  2011年建塔楼  -,
珠江太阳城广场裕景 3室2厅 570万,单价51819元/平米,570,| 3室2厅 | 110平米 | 北 | 其他,中楼层(共30层)  2009年建塔楼  -,
MBA国际公寓 精装修 装修漂亮,单价30000元/平米,159,| 1室0厅 | 53平米 | 西 | 精装,高楼层(共31层)  2007年建塔楼  -,
精装大2房安静南向看花园温馨舒适,单价17648元/平米,120,| 2室1厅 | 68平米 | 南 | 简装,高楼层(共9层)  2000年建塔楼  -,
远洋宿舍 南向厅直出三房 装修保养好,单价21266元/平米,168,| 3室2厅 | 79平米 | 南 | 其他,中楼层(共9层)  1997年建塔楼  -,
金湖雅苑 电梯高层 新装修 采光好,单价15000元/平米,198,| 4室2厅 | 132平米 | 北 | 简装,高楼层(共19层)  2000年建塔楼  -,
白水塘 金融城中 黄金地段 投资首选,单价19445元/平米,105,| 2室1厅 | 54平米 | 北 | 其他,高楼层(共7层)  1993年建塔楼  -,
鸿燕居 电梯三房 近地铁 产权清晰,单价25807元/平米,240,| 3室1厅 | 93平米 | 西南 | 其他,中楼层(共11层)  1998年建塔楼  -,
康湖山庄 一室一厅 户型方正 采光好,单价30770元/平米,160,| 1室1厅 | 52平米 | 南 | 其他,中楼层(共8层)  1998年建塔楼  -,
保利中汇广场 商住楼 近广州火车东站,单价36000元/平米,212.4,| 1室0厅 | 59平米 | 东 | 其他,中楼层(共30层)  2012年建塔楼  -,
沙河新二街 交通方便,单价16327元/平米,80,| 3室1厅 | 49平米 | 南 | 其他,中楼层(共9层)  塔楼  -,
高胜花园 住家装修 格局方正 采光好,单价20130元/平米,155,| 2室2厅 | 77平米 | 南 | 其他,高楼层(共9层)  2000年建塔楼  -,
龙珠楼 大三房 格局方正 采光一流,单价28182元/平米,310,| 3室1厅 | 110平米 | 南 | 简装,中楼层(共9层)  1992年建塔楼  -,
雅怡阁 两房改三房 装修保养好,单价18289元/平米,165,| 3室1厅 | 90.22平米 | 北 | 简装,高楼层(共23层)  2000年建塔楼  -,
都市华庭 超大四房 带精装修 看房方便,单价41060元/平米,620,| 4室1厅 | 151平米 | 南 | 其他,中楼层(共32层)  2001年建塔楼  -,
天河峰景 近地铁 近市场 南向精装三房,单价27723元/平米,280,| 3室2厅 | 101平米 | 南 | 简装,低楼层(共28层)  2008年建塔楼  -,
天河区中心，黄埔大道高档商住大厦,单价27473元/平米,250,| 2室2厅 | 91平米 | 西北 | 简装,中楼层(共17层)  2001年建塔楼  -,
侨兴苑 东向大三房 中层户型 出行方便,单价20000元/平米,244,| 4室2厅 | 122平米 | 南 | 简装,中楼层(共9层)  1993年建塔楼  -,
大三房 温馨装修 看房有钥匙 没按揭,单价23000元/平米,230,| 3室2厅 | 100平米 | 东南 | 简装,高楼层(共11层)  1999年建塔楼  -,
富力天朗明居 高层大两房,单价36066元/平米,220,| 2室1厅 | 61平米 | 西 | 简装,高楼层(共18层)  2001年建塔楼  -,
富力花园 近公园 生活方便 交通好,单价14000元/平米,70,| 2室1厅 | 50平米 | 暂无数据 | 精装,中楼层(共6层)  1999年建塔楼  -,
雅怡阁高层大两房 产权清晰 交易方便,单价19022元/平米,175,| 2室2厅 | 92平米 | 东 | 简装,高楼层(共23层)  2000年建塔楼  -,
珠江俊园 高层东南向三居室 视野好,单价48334元/平米,580,| 3室2厅 | 120平米 | 东 | 其他,高楼层(共28层)  2007年建塔楼  -,
广海花园 靠中山大道 天河公园 交通便利,单价18285元/平米,145,| 2室2厅 | 79.3平米 | 西南 | 其他,高楼层(共9层)  1998年建塔楼  -,
振东花园 精致两房 方正实用,单价15179元/平米,85,| 2室1厅 | 56平米 | 南 | 其他,中楼层(共7层)  1970年建塔楼  -,
该物业格局方正，环境清静。采光通风好,单价19403元/平米,130,| 2室1厅 | 67平米 | 南 | 其他,低楼层(共7层)  1992年建塔楼  -,
恒康阁 实用三房 带学位 地理位置好,单价30090元/平米,370.1,| 3室2厅 | 123平米 | 暂无数据 | 其他,中楼层(共24层)  2000年建塔楼  -,
北望公园 国际小区 每一次回家都是凯旋,单价50293元/平米,860,| 3室2厅 | 171平米 | 东北 | 简装,中楼层(共26层)  2005年建塔楼  -,
迎翠春庭 户型方正 视野广 随时看房,单价15625元/平米,125,| 2室2厅 | 80平米 | 南 | 简装,高楼层(共9层)  2000年建塔楼  -,
财富世纪广场 全新未入住 豪华一房一厅,单价37000元/平米,362.6,| 1室1厅 | 98平米 | 南 | 其他,高楼层(共28层)  2009年建塔楼  -,
棠德花园 低楼层  东南向两房,单价18889元/平米,102,| 2室1厅 | 54平米 | 东南 | 其他,低楼层(共9层)  1997年建塔楼  -,
雅怡阁  高层实用两房 性价比高,单价18824元/平米,128,| 2室1厅 | 68平米 | 西北 | 简装,中楼层(共23层)  2000年建塔楼  -,
嘉华楼，地铁旁物业，投资首选,单价16130元/平米,150,| 3室2厅 | 93平米 | 南 | 简装,中楼层(共9层)  2003年建塔楼  -,
东圃广场 大三房出售 学位房,单价22322元/平米,250,| 3室2厅 | 112平米 | 北 | 精装,中楼层(共11层)  1999年建塔楼  -,
豪华装修 南北通透 地铁上盖,单价45000元/平米,814.5,| 4室2厅 | 181平米 | 南 | 精装,低楼层(共32层)  2008年建塔楼  -,
金晖花园 精致南向三房 黄金楼层性价比高,单价20513元/平米,160,| 3室2厅 | 78平米 | 南 | 其他,中楼层(共9层)  1998年建塔楼  -,
中海观园国际大厦,单价58705元/平米,1450,| 4室2厅 | 247平米 | 暂无数据 | 简装,中楼层(共43层)  2009年建塔楼  -,
同乐花苑 精装修 实用大二房,单价15765元/平米,120,| 2室2厅 | 76.12平米 | 南 | 其他,高楼层(共7层)  1995年建塔楼  -,
天河北路方正两方单位,单价32468元/平米,250,| 2室2厅 | 77平米 | 南 | 其他,中楼层(共9层)  塔楼  -,
嘉华楼，地铁旁物业，投资首选,单价15385元/平米,90,| 2室1厅 | 58.5平米 | 南 | 简装,高楼层(共9层)  2003年建塔楼  -,
富力盈盛广场 豪华商住楼 可注册办公公寓,单价36643元/平米,550,| 3室2厅 | 150.1平米 | 暂无数据 | 简装,低楼层(共30层)  2013年建塔楼  -,
天河公园 总价最低正规一房一厅 带省级学,单价19792元/平米,95,| 1室1厅 | 48平米 | 西 | 其他,高楼层(共9层)  1996年建塔楼  -,
汇富花园 实用两房 紧邻地铁 投资笋房,单价23077元/平米,120,| 2室1厅 | 52平米 | 东 | 其他,高楼层(共9层)  1995年建塔楼  -,
百脑汇科技大厦 办公装修3房 投资首选,单价41238元/平米,400,| 3室1厅 | 97平米 | 北 | 其他,中楼层(共30层)  2004年建塔楼  -,
华天国际广场 大户型,单价41667元/平米,500,| 4室2厅 | 120平米 | 南 | 简装,中楼层(共30层)  2001年建塔楼  -,
惠苑楼 精装两房 采光好,单价24445元/平米,110,| 2室1厅 | 45平米 | 北 | 其他,高楼层(共9层)  1995年建塔楼  -,
汇景新城上城勋堡 5室2厅 2900万,单价79890元/平米,2900,| 5室2厅 | 363平米 | 南 | 其他,高楼层(共18层)  2011年建塔楼  -,
交通便利，周边设施完善,单价27704元/平米,290,| 3室2厅 | 104.68平米 | 南 | 其他,高楼层(共32层)  2008年建塔楼  -,
凯旋新世界枫丹丽舍复式468平方稀缺户型,单价96154元/平米,4500,| 5室4厅 | 468平米 | 东南 | 其他,高楼层(共18层)  2005年建塔楼  -,
员村公安宿舍 南向安静两房 格局方正实用,单价25715元/平米,180,| 2室2厅 | 70平米 | 南 | 简装,低楼层(共9层)  2000年建塔楼  -,
民政局大院三房 格局方正 使用率高,单价17693元/平米,115,| 3室1厅 | 65平米 | 东北 | 其他,高楼层(共9层)  塔楼  -,
四航局大院 户型方正 两房两厅修改房评,单价35715元/平米,200,| 2室2厅 | 56平米 | 南 | 其他,中楼层(共8层)  塔楼  -,
合景睿峰 商住两用 高档复式 装修豪华,单价42495元/平米,680,| 3室2厅 | 160.02平米 | 东南 | 简装,低楼层(共41层)  塔楼  -,
汇峰 省级学位 地铁上盖,单价64357元/平米,650,| 2室2厅 | 101平米 | 北 | 简装,高楼层(共48层)  2008年建塔楼  -,
富力盈盛广场 商住两用 望珠江公园,单价36522元/平米,420,| 2室2厅 | 115平米 | 暂无数据 | 精装,低楼层(共30层)  2013年建塔楼  -,
棠德花园 底层一房 带大阳台 望花园！,单价13699元/平米,100,| 2室1厅 | 73平米 | 东 | 简装,高楼层(共9层)  1997年建塔楼  -,
叠翠台四房方正实用,单价33334元/平米,420,| 4室2厅 | 126平米 | 东南 | 其他,低楼层(共12层)  1998年建塔楼  -,
富力花园 精装修 业主换房急卖 南向,单价15200元/平米,76,| 2室2厅 | 50平米 | 南 | 其他,高楼层(共6层)  1999年建塔楼  -,
天誉花园 双地铁上盖 商业旺区,单价33667元/平米,505,| 3室2厅 | 150平米 | 西 | 简装,高楼层(共31层)  1998年建塔楼  -,
成熟小区，地铁上盖，生活方便,单价20834元/平米,100,| 1室1厅 | 48平米 | 南 | 简装,高楼层(共6层)  1994年建塔楼  -,
龙口西小区 方正实用三房 学位房,单价23266元/平米,285,| 3室2厅 | 122.5平米 | 暂无数据 | 简装,高楼层(共9层)  1996年建塔楼  -,
富力公园28 全新豪装 业主有心出售急卖,单价35212元/平米,1000,| 3室2厅 | 284平米 | 暂无数据 | 毛坯,高楼层(共48层)  2012年建塔楼  -,
正佳万豪金殿 复式公寓 商住两用,单价47001元/平米,608.04,| 2室1厅 | 129.37平米 | 西北 | 其他,高楼层(共40层)  2011年建塔楼  -,
正佳万豪金殿 复式公寓 商住两用,单价46519元/平米,272.6,| 1室1厅 | 58.6平米 | 西南 | 其他,高楼层(共40层)  2011年建塔楼  -,
铂林国际公寓 东向明亮大单间 带省一级学,单价51516元/平米,170,| 1室0厅 | 33平米 | 东 | 简装,中楼层(共32层)  2005年建塔楼  -,
保利中达广场 方正复式 实用率高,单价62500元/平米,400,| 1室1厅 | 64平米 | 南 | 精装,高楼层(共25层)  塔楼  -,
富力天河华庭 高端豪宅 东南向,单价59783元/平米,1100,| 5室2厅 | 184平米 | 东南 | 精装,低楼层(共28层)  2005年建塔楼  -,
体育西天河南一路 安静三房 体育西学位,单价22106元/平米,210,| 4室2厅 | 95平米 | 南 | 其他,高楼层(共9层)  1993年建塔楼  -,
天雅阁 格局方正实用大两房 安静望校园,单价26177元/平米,178,| 2室1厅 | 68平米 | 东 | 简装,高楼层(共9层)  1998年建塔楼  -,
员村山顶，东成花园一房一厅，交通生活方便,单价21952元/平米,90,| 1室1厅 | 41平米 | 东 | 简装,高楼层(共9层)  2007年建塔楼  -,
富力花园 实用三房 采光好 户型方正,单价15577元/平米,162,| 3室2厅 | 104平米 | 南 | 其他,中楼层(共6层)  1999年建塔楼  -,
超高实用三房，安静舒适，适合居住,单价26191元/平米,220,| 3室2厅 | 84平米 | 南 | 简装,高楼层(共7层)  2000年建塔楼  -,
广氮新村 温馨两房 户型方正 居住率高,单价12858元/平米,63,| 2室1厅 | 49平米 | 东 | 简装,中楼层(共4层)  1980年建塔楼  -,
金穗大厦 格局方正 温馨两房,单价30108元/平米,280,| 2室1厅 | 93平米 | 南 | 其他,中楼层(共33层)  1997年建塔楼  -,
瘦狗岭 实用三房 房改房,单价20203元/平米,200,| 3室2厅 | 99平米 | 南 | 其他,高楼层(共8层)  塔楼  -,
华丽楼实用两房带精装,单价20455元/平米,90,| 2室1厅 | 44平米 | 北 | 简装,高楼层(共8层)  1995年建塔楼  -,
文化大院 环境优美 安静舒适 近东风公园,单价24000元/平米,88.8,| 1室1厅 | 37平米 | 东 | 其他,中楼层(共9层)  1986年建塔楼  -,
正规三房 诚心出售,单价23712元/平米,230,| 3室1厅 | 97平米 | 东南 | 简装,低楼层(共33层)  2002年建塔楼  -,
富力天朗明居 地铁BRT 高层采光好,单价32395元/平米,230,| 2室1厅 | 71平米 | 西 | 精装,中楼层(共26层)  2001年建塔楼  -,
方圆月岛 高档小区 正规大四房 带学位,单价50201元/平米,1250,| 4室2厅 | 249平米 | 东 | 其他,中楼层(共46层)  2009年建塔楼  -,
豪景花园 采光好 小区管理,单价23685元/平米,135,| 1室1厅 | 57平米 | 南 | 简装,中楼层(共19层)  2007年建塔楼  -,
东方之珠 地铁上盖 带平台花园,单价42544元/平米,485,| 3室2厅 | 114平米 | 西南 | 其他,中楼层(共28层)  2004年建塔楼  -,
文景阁电梯单间 学位房 可租2000元,单价36924元/平米,48,| 1室0厅 | 13平米 | 南 | 简装,中楼层(共19层)  2000年建塔楼  -,
海景中心 精装两房 电梯高层 视野好,单价33735元/平米,280,| 2室2厅 | 83平米 | 西南 | 精装,中楼层(共27层)  1998年建塔楼  -,
穗源阁小区 南向1房 户型方正,单价24082元/平米,118,| 1室1厅 | 49平米 | 南 | 简装,中楼层(共9层)  1996年建塔楼  -,
金湖雅苑 三房放卖 看房方便,单价13384元/平米,178,| 3室0厅 | 133平米 | 南 | 简装,高楼层(共19层)  2000年建塔楼  -,
广南公司宿舍 两房一厅 白云山脚下,单价18966元/平米,165,| 3室1厅 | 87平米 | 东南 | 其他,高楼层(共8层)  1992年建塔楼  -,
濂泉西路楼梯楼三房出售,单价16116元/平米,112,| 3室1厅 | 69.5平米 | 南 | 其他,中楼层(共9层)  塔楼  -,
富力新村 三房 南向 安静 采光好,单价18049元/平米,148,| 3室1厅 | 82平米 | 南 | 其他,高楼层(共9层)  1994年建塔楼  -,
华景新城 高达九成实用率的大三房 电梯,单价32531元/平米,270,| 3室2厅 | 83平米 | 南 | 其他,中楼层(共9层)  1997年建塔楼  -,
君华上域 地铁上盖 黄金楼层 精装三房,单价40451元/平米,460,| 3室1厅 | 113.72平米 | 东北 | 简装,高楼层(共23层)  塔楼  -,
福龙苑 超高性价比,单价20556元/平米,185,| 3室2厅 | 90平米 | 东 | 简装,高楼层(共9层)  1990年建塔楼  -,
高胜花园 环境舒适,单价17000元/平米,110.5,| 2室1厅 | 65平米 | 西北 | 其他,中楼层(共9层)  2000年建塔楼  -,
【富力新村】南向精装大两房 安静望花园,单价17483元/平米,125,| 2室1厅 | 71.5平米 | 南 | 其他,高楼层(共9层)  1994年建塔楼  -,
方圆月岛  稀缺单位出售 带财东位,单价60000元/平米,1590,| 4室2厅 | 265平米 | 东 | 其他,高楼层(共46层)  2009年建塔楼  -,
翠湖山庄精致两房学位房 交通便利,单价37334元/平米,280,| 2室1厅 | 75平米 | 北 | 简装,中楼层(共26层)  1999年建塔楼  -,
羊城花园 南向 位置安静 户型方正,单价22223元/平米,100,| 1室1厅 | 45平米 | 南 | 其他,中楼层(共6层)  1999年建塔楼  -,
益庭阁 南向景观洋房 两房两厅 13号线,单价13856元/平米,115,| 2室2厅 | 83平米 | 暂无数据 | 简装,高楼层(共9层)  塔楼  -,
超值方正3房1厅,低楼层,光线良好,单价21740元/平米,200,| 3室1厅 | 92平米 | 南 | 精装,中楼层(共5层)  塔楼  -,
实用2房,楼层好,光线良好,大院式管理,单价24194元/平米,150,| 2室1厅 | 62平米 | 南 | 其他,高楼层(共6层)  塔楼  -,
【满堂红链家】羊城南向单位 方正,单价27273元/平米,120,| 1室1厅 | 44平米 | 南 | 简装,中楼层(共6层)  1999年建塔楼  -,
富力花园 大三房,单价15729元/平米,162,| 3室2厅 | 103平米 | 暂无数据 | 其他,中楼层(共6层)  1999年建塔楼  -,
纵横白领公寓 户型方正 一房一厅,单价18182元/平米,80,| 1室1厅 | 44平米 | 南 | 其他,低楼层(共9层)  2002年建塔楼  -,
协和稀缺笋盘 北向望花园 通风采光极佳,单价42106元/平米,400,| 2室2厅 | 95平米 | 北 | 其他,中楼层(共33层)  2008年建塔楼  -,
华景新城五期 华门阁 精装大三房 保养好,单价29358元/平米,320,| 3室2厅 | 109平米 | 东北 | 简装,高楼层(共9层)  2009年建塔楼  -,
嘉华楼，地铁旁物业，只需75万，投资首选,单价15958元/平米,75,| 2室1厅 | 47平米 | 暂无数据 | 精装,高楼层(共9层)  2003年建塔楼  -,
文景阁 豪装三房还赠送大平台 过二年,单价38182元/平米,420,| 3室2厅 | 110平米 | 南 | 其他,低楼层(共19层)  2000年建塔楼  -,
嘉华楼 中层安静 三房93平方售140万,单价16130元/平米,150,| 3室1厅 | 93平米 | 北 | 其他,低楼层(共9层)  2003年建塔楼  -,
橡树园 正规2房 带入户花园可改3房,单价20934元/平米,175,| 2室2厅 | 83.6平米 | 西北 | 其他,低楼层(共9层)  2011年建塔楼  -,
碧海湾 临江大道豪宅 业主真心卖,单价39907元/平米,850,| 4室2厅 | 213平米 | 西南 | 精装,低楼层(共28层)  2003年建塔楼  -,
稀缺小一房 小区环境好 交通方便,单价18889元/平米,85,| 1室1厅 | 45平米 | 南 | 其他,低楼层(共12层)  1998年建塔楼  -,
远洋明珠 精装舒适三房 省一级学位,单价40817元/平米,600,| 4室2厅 | 147平米 | 西北 | 简装,中楼层(共25层)  1998年建塔楼  -,
华康名校 德埔小区实用2房，采光好得房高,单价23377元/平米,180,| 2室2厅 | 77平米 | 南 | 简装,高楼层(共8层)  1993年建塔楼  -,
地段繁华 南北对流 小区环境好 采光无敌,单价16579元/平米,63,| 1室1厅 | 38平米 | 北 | 简装,高楼层(共9层)  1994年建塔楼  -,
地铁楼王单位，黄金楼层，户型非常方正实用,单价29412元/平米,250,| 3室1厅 | 85平米 | 南 | 简装,中楼层(共10层)  1999年建塔楼  -,
黄埔大道西 三房一厅 新装修 南北对流,单价22676元/平米,178,| 3室2厅 | 78.5平米 | 南 | 简装,中楼层(共9层)  塔楼  -,
优美大学环境 农工商学院实用两房,单价19898元/平米,195,| 3室2厅 | 98平米 | 东南 | 其他,中楼层(共6层)  1996年建塔楼  -,
中海康城 实用三房 南北通透 赶快带走我,单价26316元/平米,300,| 3室2厅 | 114平米 | 东南 | 简装,高楼层(共7层)  2002年建塔楼  -,
棠德花园 正规南向三房,单价16439元/平米,120,| 3室1厅 | 73平米 | 东南 | 其他,高楼层(共10层)  1997年建塔楼  -,
员村四横路二号大院 户型方正 交通方便,单价19737元/平米,150,| 2室1厅 | 76平米 | 北 | 简装,高楼层(共9层)  塔楼  -,
美好居 3室2厅 230万,单价28049元/平米,230,| 3室2厅 | 82平米 | 西 | 简装,高楼层(共12层)  1998年建塔楼  -,
康湖山庄 实用三房 装修保养好 视野开阔,单价21448元/平米,163,| 3室2厅 | 76平米 | 南 | 简装,中楼层(共8层)  1998年建塔楼  -,
棠德花园 正规两房 采光充足,单价17593元/平米,95,| 2室2厅 | 54平米 | 东 | 简装,中楼层(共9层)  1997年建塔楼  -,
汇景新城 棕榈园 精致四房 稀缺户型！,单价41885元/平米,800,| 4室2厅 | 191平米 | 南 | 其他,高楼层(共25层)  2011年建塔楼  -,
侨林苑 三期 方正1房 厅出阳台,单价55556元/平米,300,| 1室1厅 | 54平米 | 西南 | 其他,低楼层(共31层)  2003年建塔楼  -,
六运小区 带花园小区 学位房,单价88889元/平米,1200,| 6室3厅 | 135平米 | 东 | 简装,低楼层(共8层)  1993年建塔楼  -,
边检大院 温馨三房 格局方正,单价33674元/平米,330,| 3室2厅 | 98平米 | 北 | 简装,低楼层(共9层)  2015年建塔楼  -,
易通大厦MBA公寓 精美南向大一房,单价30064元/平米,160,| 1室0厅 | 53.22平米 | 南 | 其他,高楼层(共29层)  2007年建塔楼  -,
林业局大院， 近广园东路濂泉路口最好小区,单价17600元/平米,88,| 2室1厅 | 50平米 | 东北 | 其他,高楼层(共6层)  塔楼  -,
棠德花园 大两房 望花园 通风采光及好,单价14844元/平米,95,| 2室1厅 | 64平米 | 北 | 毛坯,高楼层(共9层)  1997年建塔楼  -,
博雅御轩 大四房加工人房 南向,单价54286元/平米,950,| 5室2厅 | 175平米 | 南 | 精装,低楼层(共31层)  2008年建塔楼  -,
旺中带静市中心两房 超低市场价入市好盘,单价17461元/平米,110,| 2室1厅 | 63平米 | 南 | 简装,低楼层(共9层)  2000年建塔楼  -,
华颖花园 改3房 带大阳台 南北对流,单价26761元/平米,190,| 3室1厅 | 71平米 | 北 | 其他,中楼层(共9层)  1999年建塔楼  -,
金海花园 安静 小高层房 大两房,单价44445元/平米,320,| 2室1厅 | 72平米 | 南 | 简装,中楼层(共10层)  2002年建塔楼  -,
侨乐新村 实用两房出售,单价23130元/平米,170,| 2室1厅 | 73.5平米 | 东北 | 简装,低楼层(共11层)  1995年建塔楼  -,
华标广场 实用3房 带阳台 望花园,单价50000元/平米,490,| 3室2厅 | 98平米 | 北 | 简装,高楼层(共30层)  2003年建塔楼  -,
兰亭上东一室一厅 望 户型方正 交通便利,单价31667元/平米,190,| 1室1厅 | 60平米 | 北 | 简装,低楼层(共23层)  2006年建塔楼  -,
员村西街华荣楼 中层安静大两房,单价22000元/平米,215.6,| 2室2厅 | 98平米 | 东南 | 其他,中楼层(共9层)  1997年建塔楼  -,
中兴花园  大两房 中高楼层 采光好,单价21067元/平米,158,| 2室1厅 | 75平米 | 西 | 简装,高楼层(共12层)  1999年建塔楼  -,
纵横白领公寓 温馨两房 精装修,单价14584元/平米,105,| 2室2厅 | 72平米 | 北 | 简装,高楼层(共9层)  2002年建塔楼  -,
珠江俊园 实用四房 保养好 视野佳,单价43940元/平米,580,| 4室2厅 | 132平米 | 西南 | 其他,低楼层(共28层)  2007年建塔楼  -,
马赛国际公寓 户型方正 近地铁公交,单价27084元/平米,130,| 1室1厅 | 48平米 | 东 | 简装,中楼层(共33层)  2006年建塔楼  -,
宏景台 户型方正 居住舒适 大三房,单价40269元/平米,600,| 3室2厅 | 149平米 | 东南 | 其他,中楼层(共22层)  2005年建塔楼  -,
天河山庄 温馨两房,单价16667元/平米,125,| 2室1厅 | 75平米 | 南 | 其他,高楼层(共7层)  1996年建塔楼  -,
紧邻双地铁 超值大三房,单价14737元/平米,140,| 3室2厅 | 95平米 | 南 | 其他,高楼层(共9层)  1995年建塔楼  -,
大院两房 环境安静 住家首选,单价20613元/平米,175,| 2室2厅 | 84.9平米 | 南 | 其他,低楼层(共8层)  1986年建塔楼  -,
穗乐花园 交通便利购物方便 地铁上盖修改,单价19048元/平米,160,| 2室2厅 | 84平米 | 南 | 简装,高楼层(共9层)  1990年建塔楼  -,
天河员村 底层实用两房 地段优越,单价19492元/平米,115,| 2室1厅 | 59平米 | 南 | 其他,低楼层(共6层)  1994年建塔楼  -,
瑞安创逸 精装一房 楼龄新 近地铁,单价43479元/平米,200,| 1室1厅 | 46平米 | 西 | 其他,中楼层(共31层)  2009年建塔楼  -,
星汇云锦 精装2房 居家好选择,单价66165元/平米,650,| 2室2厅 | 98.24平米 | 西北 | 精装,中楼层(共45层)  2008年建塔楼  -,
财富世纪广场 豪华装修 商住两用,单价39683元/平米,500,| 2室1厅 | 126平米 | 暂无数据 | 精装,中楼层(共28层)  2009年建塔楼  -,
白马花园 两房一厅 实用温馨 配套成熟,单价18605元/平米,160,| 2室2厅 | 86平米 | 南 | 简装,高楼层(共7层)  1998年建塔楼  -,
棠德花园 高层电梯楼 采光通风好,单价20564元/平米,146,| 2室2厅 | 71平米 | 北 | 简装,中楼层(共29层)  1997年建塔楼  -,
昌乐园 实用两房 配套成熟,单价22457元/平米,128,| 2室1厅 | 57平米 | 北 | 其他,低楼层(共7层)  1994年建塔楼  -,
小区非常安静，楼距适中，南北对流三房,单价15579元/平米,148,| 3室2厅 | 95平米 | 北 | 简装,高楼层(共8层)  1995年建塔楼  -,
旭景家园 正规三房 看中价格可谈,单价13373元/平米,115,| 3室2厅 | 86平米 | 暂无数据 | 其他,高楼层(共9层)  1999年建塔楼  -,
安全封闭三房法院宿舍,单价20000元/平米,230,| 3室2厅 | 115平米 | 西北 | 简装,高楼层(共12层)  1980年建塔楼  -,
华景新城 超大豪宅 带省级学位,单价27514元/平米,520,| 4室2厅 | 189平米 | 北 | 其他,高楼层(共31层)  1998年建塔楼  -,
穗东花园 经典两房 天河公园旁 地铁即将,单价22500元/平米,135,| 2室1厅 | 60平米 | 北 | 简装,高楼层(共9层)  1997年建塔楼  -,
