name_of_community,layout_of_house,price_of_house,area_of_house,floor_of_house,time_of_construction
锦绣生态园春满园 大三房 送私人露台,单价12322元/平米,138,| 3室2厅 | 112平米 | 东北 | 精装,高楼层(共6层)  2001年建塔楼  -,
丹桂园 地铁上盖 省级名校 证过2年,单价10113元/平米,90,| 3室2厅 | 89平米 | 南 | 其他,中楼层(共8层)  2003年建塔楼  -,
番禺 市桥南 南郊大街 方正两房南北对流,单价7879元/平米,52,| 2室1厅 | 66平米 | 南 | 其他,中楼层(共7层)  塔楼  -,
旺达楼近地铁 采光好 通风好,单价13393元/平米,105,| 4室1厅 | 78.4平米 | 东 | 其他,高楼层(共8层)  1995年建塔楼  -,
金业别墅 独立别墅 南北对流 超大花园,单价28523元/平米,830,| 4室3厅 | 291平米 | 南 | 精装,低楼层(共1层)  1990年建  -,
祈福新村 希有户型 一楼加超大花园,单价18878元/平米,185,| 3室2厅 | 98平米 | 东北 | 简装,低楼层(共6层)  2004年建板楼  -,
自在城市花园 舒适三房带住套 拎包入住,单价15385元/平米,160,| 3室2厅 | 104平米 | 东北 | 简装,低楼层(共10层)  2004年建塔楼  -,
桥福园 地铁学位房 温馨3房 证过2年,单价10834元/平米,130,| 3室2厅 | 120平米 | 东南 | 简装,高楼层(共8层)  2000年建塔楼  -,
交通方便、周边生活配套完善、宜居住房。,单价24600元/平米,246,| 3室2厅 | 100平米 | 南 | 其他,低楼层(共6层)  2002年建塔楼  -,
菁华轩 三房,单价13693元/平米,178,| 4室2厅 | 130平米 | 南 | 精装,低楼层(共6层)  2001年建塔楼  -,
石桥新村 精装修 大2房 证过2年,单价8434元/平米,70,| 2室2厅 | 83平米 | 南 | 其他,高楼层(共7层)  1995年建塔楼  -,
水韵南湾 电梯两房 交通方便 视野好,单价11972元/平米,85,| 2室2厅 | 71平米 | 北 | 其他,高楼层(共17层)  2010年建塔楼  -,
水韵南湾两房毛坯出售,单价11845元/平米,91.2,| 2室1厅 | 77平米 | 南 | 其他,中楼层(共17层)  2010年建塔楼  -,
敏捷上城商务中心 毛坯复式公寓 商住两用,单价16667元/平米,95,| 1室2厅 | 57平米 | 南 | 其他,中楼层(共22层)  2013年建塔楼  -,
光明南路 成熟小区 省一级学位房,单价7010元/平米,75,| 3室1厅 | 107平米 | 南 | 其他,中楼层(共7层)  塔楼  -,
十年小雅 实用小三房,单价25000元/平米,225,| 3室2厅 | 90平米 | 东北 | 其他,中楼层(共33层)  2010年建塔楼  -,
空间布局有致和谐有序清新空气自由穿行,单价11077元/平米,72,| 2室1厅 | 65平米 | 西北 | 简装,低楼层(共4层)  2001年建塔楼  -,
敏捷上城国际优质商住公寓，黄金地段,单价13637元/平米,75,| 1室1厅 | 55平米 | 北 | 其他,中楼层(共22层)  2013年建塔楼  -,
敏捷上城国际优质商住公寓，黄金地段,单价13637元/平米,75,| 1室1厅 | 55平米 | 北 | 其他,中楼层(共22层)  2013年建塔楼  -,
星河湾逸心园250方中层东向保养新净大气,单价20144元/平米,280,| 3室2厅 | 139平米 | 北 | 精装,中楼层(共9层)  2001年建塔楼  -,
广州雅居乐花园 御景峰独立别墅 超大花园,单价43322元/平米,2400,| 6室3厅 | 554平米 | 南 | 毛坯,低楼层(共1层)  2010年建  -,
锦绣银湾 豪华别墅 豪华装修 进口家私,单价26263元/平米,520,| 4室2厅 | 198平米 | 南 | 其他,低楼层(共1层)  2007年建  -,
带装修复式公寓出售 商住两用 商圈中心,单价22697元/平米,202,| 2室2厅 | 89平米 | 南 | 其他,中楼层(共19层)  2012年建塔楼  -,
剑桥郡御郡 毛坯别墅 打造自己理想的家,单价36620元/平米,1300,| 5室2厅 | 355平米 | 南 | 毛坯,低楼层(共1层)  2010年建  -,
锦绣生态园北区大两房保养挺好的,单价12267元/平米,92,| 2室2厅 | 75平米 | 北 | 其他,高楼层(共6层)  1997年建塔楼  -,
锦绣银湾三层复式南北对流江景洋房单证过五,单价38334元/平米,460,| 6室2厅 | 120平米 | 南 | 其他,高楼层(共28层)  2007年建塔楼  -,
广州雅居乐花园 御景峰独立别墅 单边位,单价34352元/平米,1350,| 5室3厅 | 393平米 | 南 | 其他,低楼层(共1层)  2010年建  -,
广州雅居乐花园 御景峰独立别墅 超大花园,单价30686元/平米,1700,| 6室3厅 | 554平米 | 南 | 精装,低楼层(共1层)  2010年建  -,
广州雅居乐花园 御景峰独立别墅 超大花园,单价45455元/平米,2500,| 6室2厅 | 550平米 | 南 | 精装,低楼层(共1层)  2010年建  -,
好真是在售,单价11819元/平米,260,| 4室2厅 | 220平米 | 北 | 毛坯,高楼层(共11层)  2008年建塔楼  -,
精装二房，正南向户型,单价13794元/平米,80,| 2室1厅 | 58平米 | 南 | 简装,中楼层(共11层)  2008年建塔楼  -,
锦绣半岛 南北对流 格局方正 通风采光好,单价19500元/平米,175.5,| 4室2厅 | 90平米 | 南 | 其他,低楼层(共30层)  2009年建塔楼  -,
祈福新村晓峰园 少有南4房出售 空气清新,单价16084元/平米,230,| 4室2厅 | 143平米 | 南 | 其他,中楼层(共35层)  1995年建塔楼  -,
祈福新村湖景居 一楼两房单位 带精装修,单价16970元/平米,112,| 2室2厅 | 66平米 | 暂无数据 | 其他,低楼层(共4层)  1995年建塔楼  -,
繁华路 地铁上盖 新装3房 市桥中心,单价9028元/平米,65,| 3室2厅 | 72平米 | 北 | 其他,高楼层(共7层)  1995年建塔楼  -,
祈福新村倚云居 大夫山上复式传世大宅,单价19455元/平米,428,| 5室2厅 | 220平米 | 西 | 简装,高楼层(共35层)  2004年建塔楼  -,
广州碧桂园两房 装修保养好 景观优美,单价18519元/平米,150,| 2室1厅 | 81平米 | 南 | 精装,低楼层(共6层)  1998年建塔楼  -,
信基城花园 新装修四房 送超大入户花园,单价21591元/平米,380,| 4室2厅 | 176平米 | 暂无数据 | 其他,中楼层(共8层)  2013年建塔楼  -,
满堂红 链家地产市桥星海园 2房新装出售,单价12581元/平米,78,| 2室2厅 | 62平米 | 暂无数据 | 精装,低楼层(共7层)  1999年建塔楼  -,
锦绣花园 南向3房出售,单价13224元/平米,160,| 3室2厅 | 121平米 | 南 | 简装,中楼层(共7层)  1997年建塔楼  -,
温馨两房房子方正装修一般采光小两房,单价17648元/平米,90,| 2室2厅 | 51平米 | 西 | 其他,中楼层(共23层)  2004年建塔楼  -,
祈福新村 翠怡居 温馨两房 采光好,单价14656元/平米,85,| 2室2厅 | 58平米 | 北 | 精装,中楼层(共5层)  1995年建塔楼  -,
华南碧桂园 2房2厅21卫一阳台,单价22917元/平米,220,| 2室2厅 | 96平米 | 东 | 其他,中楼层(共18层)  2001年建塔楼  -,
靓装两房改三房 位置在洛溪中心位近地铁,单价15676元/平米,116,| 3室1厅 | 74平米 | 南 | 其他,高楼层(共7层)  2000年建塔楼  -,
富豪山庄精装三房出售,单价15000元/平米,120,| 3室2厅 | 80平米 | 南 | 其他,中楼层(共5层)  2013年建塔楼  -,
丹桂园 温馨三房 邻近地铁 可公积金,单价8772元/平米,100,| 3室2厅 | 114平米 | 西南 | 简装,中楼层(共7层)  2003年建塔楼  -,
怡乐园三房 市桥中心地带,单价9375元/平米,120,| 3室1厅 | 128平米 | 暂无数据 | 简装,高楼层(共7层)  1994年建塔楼  -,
祈福新村海晴居 难得南向大四房 卖少见少,单价14530元/平米,170,| 4室2厅 | 117平米 | 南 | 其他,高楼层(共6层)  1995年建塔楼  -,
海龙湾 东南单位 精致装修 地铁南浦站,单价17273元/平米,190,| 3室2厅 | 110平米 | 东南 | 简装,中楼层(共11层)  2004年建塔楼  -,
南国奥园 雅典楼王单位 王者路段,单价25264元/平米,480,| 5室2厅 | 190平米 | 南 | 简装,低楼层(共5层)  2006年建塔楼  -,
东怡新区 近地铁 学位房,单价11279元/平米,150,| 3室2厅 | 133平米 | 东 | 其他,高楼层(共7层)  2000年建塔楼  -,
东海花园 一线江景 大四房 地铁物业,单价26057元/平米,370,| 4室1厅 | 142平米 | 南 | 简装,中楼层(共19层)  2003年建塔楼  -,
番禺  绿庭雅苑 格局方正 南北对流,单价11843元/平米,135,| 3室2厅 | 114平米 | 南 | 其他,中楼层(共7层)  2005年建塔楼  -,
锦绣半岛 精装复式一楼带花园 清净惬意,单价32127元/平米,300,| 4室3厅 | 93.38平米 | 南 | 其他,低楼层(共23层)  2009年建塔楼  -,
南国奥园 悉尼区顶楼复式高层景观 采光佳,单价13480元/平米,430,| 6室2厅 | 319平米 | 东 | 其他,高楼层(共13层)  2006年建塔楼  -,
华丰大厦 3房 南向,单价9524元/平米,100,| 3室2厅 | 105平米 | 南 | 其他,高楼层(共9层)  1995年建塔楼  -,
景翠苑 南北对流大别墅 带游泳池,单价50562元/平米,1800,| 7室3厅 | 356平米 | 南 | 其他,低楼层(共1层)  2001年建  -,
祈福新村 绿怡花园 前后花园豪华别墅,单价25000元/平米,870,| 5室2厅 | 348平米 | 北 | 精装,低楼层(共1层)  1995年建  -,
锦绣玉兰园联排别墅 带前后花园 证过五,单价28071元/平米,480,| 5室2厅 | 171平米 | 暂无数据 | 简装,低楼层(共1层)  2004年建  -,
锦绣半岛 畅想真正的浪漫花园洋房生活，,单价20000元/平米,138,| 3室2厅 | 69平米 | 南 | 其他,高楼层(共26层)  2009年建塔楼  -,
荔芳园精装独栋别墅8房 环境好 交通方便,单价17205元/平米,480,| 8室2厅 | 279平米 | 南 | 其他,低楼层(共1层)  1997年建  -,
南国奥园 大三房15年新装修 带车位出售,单价16982元/平米,270,| 3室2厅 | 159平米 | 东南 | 简装,高楼层(共17层)  2006年建塔楼  -,
广州雅居乐花园一尺山居 豪装 复式 高层,单价23334元/平米,420,| 5室2厅 | 180平米 | 南 | 精装,高楼层(共23层)  2010年建塔楼  -,
锦绣生态园 南向146平4房,单价15247元/平米,220,| 4室2厅 | 144.3平米 | 南 | 简装,中楼层(共11层)  2001年建塔楼  -,
金城花园 学区房 动物园旁,单价12394元/平米,145,| 4室2厅 | 117平米 | 暂无数据 | 其他,高楼层(共9层)  2000年建塔楼  -,
中海蓝湾 业主急售 一线园景 南北对流,单价22603元/平米,330,| 3室2厅 | 146平米 | 南 | 简装,低楼层(共36层)  2003年建塔楼  -,
富花园 小区地铁上盖 周边生活配套成熟,单价12433元/平米,138,| 3室2厅 | 111平米 | 暂无数据 | 简装,中楼层(共8层)  2002年建塔楼  -,
尚东尚筑 精装两房 业主诚心放售 方便看,单价18293元/平米,150,| 2室2厅 | 82平米 | 北 | 精装,低楼层(共17层)  2011年建塔楼  -,
富力家园 交通方便 南北对流 豪华装修,单价12163元/平米,90,| 2室1厅 | 74平米 | 南 | 简装,中楼层(共8层)  1995年建塔楼  -,
交通便利 花园住宅 安静温馨,单价15316元/平米,170,| 3室2厅 | 111平米 | 南 | 简装,中楼层(共8层)  1998年建塔楼  -,
怡乐园 温馨小三房,单价8784元/平米,65,| 3室1厅 | 74平米 | 西北 | 其他,高楼层(共6层)  1999年建塔楼  -,
锦绣半岛 望花园又江景 豪华装修,单价18261元/平米,84,| 3室1厅 | 46平米 | 北 | 其他,低楼层(共26层)  2009年建塔楼  -,
永红大街 有学位 公园旁 证过2年修改房,单价7318元/平米,90,| 3室2厅 | 123平米 | 南 | 其他,中楼层(共7层)  塔楼  -,
南约惠廷楼 笋.盘出售 买一层送一层,单价15385元/平米,180,| 5室2厅 | 117平米 | 南 | 其他,低楼层(共7层)  塔楼  -,
满堂红链家 富庭东园精装两房,单价18818元/平米,105,| 2室1厅 | 55.8平米 | 北 | 其他,中楼层(共7层)  2003年建塔楼  -,
业主诚心出售，送30m平台,,单价11125元/平米,89,| 3室2厅 | 80平米 | 东 | 其他,低楼层(共8层)  1996年建塔楼  -,
市桥两房，双阳台，南北通风。,单价10417元/平米,75,| 2室1厅 | 72平米 | 南 | 其他,中楼层(共7层)  塔楼  -,
番禺区沙湾镇锦绣世家南向三房出售,单价16356元/平米,175,| 3室2厅 | 107平米 | 南 | 其他,中楼层(共18层)  塔楼  -,
富庭东园生活方便，市场就在家门口,单价16255元/平米,125,| 3室1厅 | 76.9平米 | 南 | 其他,高楼层(共5层)  塔楼  -,
祈福水城 复式四房 南北对流 即买即住,单价12624元/平米,255,| 4室2厅 | 202平米 | 东南 | 其他,高楼层(共11层)  2008年建塔楼  -,
华丰大厦 4房 北向 商住两用,单价7010元/平米,75,| 4室2厅 | 107平米 | 南 | 其他,低楼层(共2层)  1995年建塔楼  -,
海龙湾 舒适三房 装修保养好 电梯高层,单价18700元/平米,230,| 3室2厅 | 123平米 | 东南 | 简装,高楼层(共11层)  2004年建塔楼  -,
华侨城 性价比超高3房 过五年,单价7723元/平米,78,| 3室2厅 | 101平米 | 北 | 其他,高楼层(共9层)  1996年建塔楼  -,
锦绣半岛中高楼层大三房 精装修，高档小区,单价15518元/平米,90,| 3室2厅 | 58平米 | 南 | 其他,中楼层(共18层)  2009年建塔楼  -,
大石福泰园 全新装修 采光好 格局方正,单价13259元/平米,118,| 3室2厅 | 89平米 | 北 | 其他,高楼层(共8层)  1995年建塔楼  -,
海怡花园南向全新未住高层望园景,单价27174元/平米,251,| 2室2厅 | 92.37平米 | 南 | 精装,中楼层(共23层)  2009年建塔楼  -,
桥南街 水韵南湾 南北对流,单价13684元/平米,150,| 3室2厅 | 109.62平米 | 南 | 其他,高楼层(共17层)  2010年建塔楼  -,
金业别墅 独立别墅 南北对流 超大花园,单价25000元/平米,600,| 6室3厅 | 240平米 | 南 | 精装,低楼层(共1层)  1990年建  -,
海伦堡流金岁月 电梯黄金流层修改房评,单价21855元/平米,165,| 4室2厅 | 75.5平米 | 东南 | 其他,低楼层(共28层)  2009年建塔楼  -,
锦绣银湾 电梯高层 一线江景,单价20178元/平米,255,| 3室2厅 | 126.38平米 | 北 | 其他,高楼层(共31层)  2009年建塔楼  -,
市桥南 花样年华 园景单位 格局方正,单价16457元/平米,128.36,| 2室2厅 | 78平米 | 西北 | 简装,中楼层(共18层)  2005年建塔楼  -,
地铁上盖 交通便利,单价9341元/平米,85,| 3室1厅 | 91平米 | 东 | 其他,低楼层(共7层)  塔楼  -,
福泰园 证过两年 免税 置业首选,单价13889元/平米,125,| 3室1厅 | 90平米 | 南 | 简装,中楼层(共8层)  1995年建塔楼  -,
桥东大厦 地铁沿线 新装3房 证过2年,单价8736元/平米,76,| 3室1厅 | 87平米 | 西 | 简装,中楼层(共8层)  塔楼  -,
江南商业城 临近江边,单价10649元/平米,115,| 3室2厅 | 108平米 | 南 | 其他,高楼层(共8层)  2000年建塔楼  -,
南国奥园 正南向调高楼层大三房 装修新,单价20342元/平米,238,| 3室2厅 | 117平米 | 南 | 其他,中楼层(共5层)  2006年建塔楼  -,
奥园大厦 精装一房1厅 近地铁 证过两年,单价27500元/平米,110,| 1室1厅 | 40平米 | 南 | 简装,中楼层(共21层)  2002年建塔楼  -,
华侨城 实用三房 南北对流 业主诚售,单价9279元/平米,90,| 3室1厅 | 97平米 | 南 | 其他,高楼层(共8层)  1996年建塔楼  -,
流金岁月舒适4房 学位房 位置好,单价25676元/平米,190,| 3室2厅 | 74平米 | 南 | 其他,低楼层(共28层)  2009年建塔楼  -,
西城花园 3房2厅 过五年 唯一,单价8125元/平米,78,| 3室2厅 | 96平米 | 南 | 其他,高楼层(共8层)  1998年建塔楼  -,
广州奥林匹克花园 复式五房 南北对流,单价16347元/平米,255,| 5室2厅 | 156平米 | 南 | 简装,高楼层(共6层)  2002年建塔楼  -,
康富花园，邻地铁3房，配套设施齐全。,单价10770元/平米,98,| 2室2厅 | 91平米 | 南 | 其他,高楼层(共7层)  1998年建塔楼  -,
南向单位 精致装修 送全部家私家电,单价17392元/平米,160,| 3室2厅 | 92平米 | 南 | 其他,低楼层(共20层)  2009年建塔楼  -,
大南路 地铁沿线 学位房 新装4房,单价7927元/平米,65,| 4室1厅 | 82平米 | 西 | 其他,高楼层(共4层)  塔楼  -,
华南碧桂园 翠宏台 带上百平方的巨型花园,单价27500元/平米,330,| 3室2厅 | 120平米 | 西北 | 简装,低楼层(共6层)  2001年建塔楼  -,
锦绣生态园 园区中心3房99平出售,单价13132元/平米,130,| 3室2厅 | 99平米 | 北 | 简装,高楼层(共6层)  2001年建塔楼  -,
康信楼 精装实用2房 户型方正 采光好,单价13572元/平米,95,| 2室1厅 | 70平米 | 东 | 简装,高楼层(共9层)  1995年建塔楼  -,
大石百丰楼 全新装修 黄金楼层采光一流,单价12440元/平米,51,| 2室1厅 | 41平米 | 南 | 其他,高楼层(共8层)  1995年建塔楼  -,
富丽家园 百丰楼 繁华地段 居住投资首选,单价12766元/平米,60,| 2室1厅 | 47平米 | 东北 | 其他,高楼层(共8层)  1995年建塔楼  -,
康富花园精致三房   时尚的装修风格,单价8125元/平米,78,| 3室2厅 | 96平米 | 暂无数据 | 其他,高楼层(共8层)  1998年建塔楼  -,
无语伦比的地段电梯方正2室 绝版宜居,单价16824元/平米,143,| 2室2厅 | 85平米 | 北 | 简装,高楼层(共17层)  2006年建塔楼  -,
东方白云花园 豪华装修 成熟配套 学位房,单价19084元/平米,250,| 4室2厅 | 131平米 | 东南 | 精装,中楼层(共17层)  2002年建塔楼  -,
十年小雅 交楼标准，户型方正，保养不错,单价26316元/平米,200,| 2室2厅 | 76平米 | 西南 | 其他,中楼层(共33层)  2010年建塔楼  -,
山水华府一期大户型 环境好 采光佳,单价23707元/平米,550,| 4室2厅 | 232平米 | 南 | 精装,低楼层(共18层)  2004年建塔楼  -,
锦绣生态园 电梯楼,单价15069元/平米,220,| 4室2厅 | 146平米 | 东南 | 简装,低楼层(共11层)  2001年建塔楼  -,
祈福新村B区 连排别墅 二次装修,单价11459元/平米,220,| 5室2厅 | 192平米 | 北 | 简装,低楼层(共1层)  1995年建  -,
华侨城 生活便利 采光好,单价10000元/平米,87,| 3室2厅 | 87平米 | 南 | 其他,高楼层(共8层)  1996年建塔楼  -,
北丽园 地铁上盖 学位房,单价11733元/平米,130,| 4室2厅 | 110.8平米 | 南 | 其他,高楼层(共7层)  1995年建塔楼  -,
海滨花园 户型实用 采光好通风好,单价19350元/平米,238,| 3室2厅 | 123平米 | 南 | 其他,中楼层(共5层)  2002年建塔楼  -,
康乐园 地铁上盖 交通方便,单价11905元/平米,125,| 3室2厅 | 105平米 | 南 | 简装,高楼层(共7层)  1994年建塔楼  -,
番禺 海伦堡御院 精装修带花园,单价19842元/平米,500,| 4室2厅 | 252平米 | 北 | 毛坯,低楼层(共11层)  2005年建塔楼  -,
市桥南 城南源著 毛坯3房 随时约,单价15790元/平米,150,| 3室2厅 | 95平米 | 北 | 毛坯,低楼层(共12层)  2013年建塔楼  -,
南国奥园 稀有小型复式单位 业主诚售,单价18988元/平米,300,| 4室2厅 | 158平米 | 北 | 简装,高楼层(共5层)  2006年建塔楼  -,
锦绣生态园 精装修3房出售,单价20409元/平米,200,| 3室2厅 | 98平米 | 北 | 简装,低楼层(共6层)  2001年建塔楼  -,
祈福新村翠怡居 南向大三房 送大花园,单价16305元/平米,150,| 3室2厅 | 92平米 | 南 | 其他,低楼层(共5层)  1995年建塔楼  -,
市桥南 奥园养生广场 低价出售 随时约,单价12500元/平米,65,| 1室1厅 | 52平米 | 暂无数据 | 毛坯,低楼层(共29层)  2012年建塔楼  -,
锦绣银湾 豪华别墅 豪华装修 进口家私,单价29977元/平米,640,| 5室2厅 | 213.5平米 | 南 | 其他,低楼层(共1层)  2007年建  -,
华侨城 大型生活小区 业主急售,单价8944元/平米,110,| 4室2厅 | 123平米 | 东 | 简装,高楼层(共9层)  1996年建塔楼  -,
丽江花园左岸 电梯高层 南北对流,单价20968元/平米,195,| 2室2厅 | 93平米 | 北 | 简装,高楼层(共16层)  2008年建塔楼  -,
一品灏景 小区绿化高 学位房,单价18000元/平米,226.8,| 5室2厅 | 126平米 | 北 | 其他,高楼层(共22层)  2000年建塔楼  -,
金沙湾 精装刚需三房 豪华装修 直接入住,单价17500元/平米,210,| 3室2厅 | 120平米 | 北 | 其他,中楼层(共11层)  2007年建塔楼  -,
全新精装3房，安静，中层单位,单价11389元/平米,82,| 3室2厅 | 72平米 | 南 | 其他,中楼层(共7层)  塔楼  -,
大方数四房，性价比高，现出售,单价8414元/平米,175,| 4室2厅 | 208平米 | 南 | 其他,低楼层(共17层)  塔楼  -,
锦绣银湾一线江景房源 素质住户,单价22223元/平米,240,| 2室2厅 | 108平米 | 北 | 精装,低楼层(共28层)  2007年建塔楼  -,
十年小雅 大三房 保养好 带小露台,单价22223元/平米,300,| 3室2厅 | 135平米 | 北 | 其他,低楼层(共32层)  2010年建塔楼  -,
丽江花园德字楼 舒适大两房 带阳台,单价16667元/平米,130,| 2室2厅 | 78平米 | 西北 | 简装,高楼层(共20层)  1997年建塔楼  -,
荷景一区 豪华4房 南向物业 带独立车,单价10853元/平米,140,| 4室2厅 | 129平米 | 南 | 其他,中楼层(共7层)  1995年建塔楼  -,
敏捷上城国际 建筑户型可随意修改户型,单价16000元/平米,80,| 1室1厅 | 50平米 | 东 | 其他,中楼层(共22层)  2013年建塔楼  -,
广奥实用三房 南北对流单位 位置安静,单价23233元/平米,230,| 3室2厅 | 99平米 | 南 | 简装,高楼层(共6层)  2002年建塔楼  -,
长隆珑翠 临近地铁 视野开阔 拎包入住,单价22303元/平米,310,| 3室2厅 | 139平米 | 东南 | 其他,中楼层(共30层)  塔楼  -,
锦绣半岛 东区精装修大三房,单价18149元/平米,245,| 3室2厅 | 135平米 | 北 | 其他,高楼层(共28层)  2009年建塔楼  -,
华怡居花园 地铁上盖 温馨4房,单价10589元/平米,180,| 4室2厅 | 170平米 | 南 | 其他,高楼层(共7层)  2000年建塔楼  -,
精装两房靓楼层好学位 成就孩子未来,单价21930元/平米,125,| 2室1厅 | 57平米 | 南 | 其他,高楼层(共24层)  2009年建塔楼  -,
新光城市花园 少有放盘 毛坯独立别墅,单价45455元/平米,2000,| 5室3厅 | 440平米 | 南 | 其他,低楼层(共1层)  2012年建  -,
新光城市花园 毛坯独立别墅 少有放盘,单价42858元/平米,1500,| 5室3厅 | 350平米 | 南 | 其他,低楼层(共1层)  2012年建  -,
荟心园 小户型单位高层望泳池,单价25582元/平米,330,| 3室2厅 | 129平米 | 西北 | 精装,中楼层(共18层)  2001年建塔楼  -,
裕景花园西区别墅 南向 地铁旁 四房豪宅,单价21209元/平米,420,| 4室2厅 | 198.03平米 | 南 | 简装,低楼层(共1层)  1995年建  -,
星河湾星苑 高层南向 保养一流,单价25642元/平米,500,| 4室2厅 | 195平米 | 南 | 其他,中楼层(共17层)  2001年建塔楼  -,
绿庭雅苑 安静大3房 户型方正实用,单价12381元/平米,130,| 3室2厅 | 105平米 | 西南 | 其他,中楼层(共6层)  2005年建塔楼  -,
东怡新区 东信园 低楼层 少有放盘,单价15809元/平米,160,| 3室2厅 | 101.21平米 | 东 | 其他,中楼层(共7层)  2000年建塔楼  -,
华侨城 精致2房 采光好 业主诚售,单价9706元/平米,66,| 2室1厅 | 68平米 | 南 | 简装,高楼层(共8层)  1996年建塔楼  -,
洛溪地标 全江景房 豪华大宅,单价20861元/平米,315,| 3室2厅 | 151平米 | 北 | 简装,低楼层(共12层)  2003年建塔楼  -,
吉祥南街 配套成熟 交通方便,单价12478元/平米,136,| 3室2厅 | 109平米 | 南 | 其他,低楼层(共7层)  1993年建塔楼  -,
南奥大三房 学区房 配套成熟,单价20589元/平米,280,| 3室2厅 | 136平米 | 东北 | 简装,高楼层(共6层)  2006年建塔楼  -,
豪华电梯两房加六房 两间一起买385万,单价17600元/平米,132,| 6室2厅 | 75平米 | 北 | 精装,中楼层(共35层)  1995年建塔楼  -,
瑞和园 全明户型 南北通透 业主诚信出售,单价7891元/平米,95,| 3室2厅 | 120.4平米 | 南 | 其他,高楼层(共9层)  2002年建塔楼  -,
祈福新村 海晴居 南北通透临近学校,单价16230元/平米,99,| 2室2厅 | 61平米 | 北 | 其他,高楼层(共6层)  1995年建塔楼  -,
华侨城3房 楼梯高层 成熟小区,单价7143元/平米,80,| 3室2厅 | 112平米 | 东 | 其他,高楼层(共9层)  1993年建塔楼  -,
市桥街 实用三房 南北对流,单价8462元/平米,110,| 3室2厅 | 130平米 | 南 | 简装,中楼层(共5层)  塔楼  -,
雅澜苑 精装两房 地铁上盖,单价19673元/平米,120,| 2室1厅 | 61平米 | 东北 | 简装,低楼层(共6层)  2002年建塔楼  -,
锦绣生态园春满园，南向三房，黄金楼层,单价16146元/平米,155,| 3室1厅 | 96平米 | 南 | 其他,低楼层(共6层)  2001年建塔楼  -,
珠殿苑 小区绿化好，星海公园旁 环境舒适,单价10113元/平米,90,| 3室2厅 | 89平米 | 南 | 其他,高楼层(共7层)  1996年建塔楼  -,
祈福新村康怡居 一楼3房大花园,单价16130元/平米,150,| 3室2厅 | 93平米 | 北 | 简装,低楼层(共6层)  1995年建塔楼  -,
尚东尚筑 豪装四房 地铁上盖 南北对流,单价17731元/平米,250,| 4室2厅 | 141平米 | 东南 | 其他,高楼层(共18层)  2008年建塔楼  -,
装修保养还不错，房子设计布局好，适于居家,单价12143元/平米,85,| 3室1厅 | 70平米 | 南 | 简装,中楼层(共7层)  1995年建塔楼  -,
东怡新区 精装修 性价比高,单价12500元/平米,150,| 3室2厅 | 120平米 | 东 | 其他,高楼层(共7层)  2000年建塔楼  -,
金山谷 领仕  格局方正修 40万超豪华,单价20968元/平米,195,| 3室2厅 | 93平米 | 南 | 其他,低楼层(共25层)  2013年建塔楼  -,
星河湾星苑 珍贵难求的好房,单价24249元/平米,234,| 4室2厅 | 96.5平米 | 南 | 其他,低楼层(共15层)  2001年建塔楼  -,
美心花园 证过两年 位置安静 实用两房,单价8508元/平米,57,| 2室1厅 | 67平米 | 北 | 其他,中楼层(共7层)  1999年建塔楼  -,
祈福新村月明轩 半山复式洋房 南北对流,单价19513元/平米,320,| 5室2厅 | 164平米 | 南 | 其他,高楼层(共6层)  1995年建塔楼  -,
祈福新村蝶舞轩 保养好 采光充足,单价17612元/平米,118,| 2室2厅 | 67平米 | 南 | 其他,低楼层(共6层)  1995年建塔楼  -,
富庭花园 安静舒适 景观房,单价20482元/平米,170,| 5室1厅 | 83平米 | 南 | 其他,高楼层(共7层)  2002年建塔楼  -,
侨宫苑实用三房 实用率90% 南北对流,单价9874元/平米,86,| 2室2厅 | 87.1平米 | 南 | 其他,中楼层(共8层)  1996年建塔楼  -,
尚东尚筑 稀有靓盘 南北通透,单价22472元/平米,200,| 3室2厅 | 89平米 | 北 | 精装,中楼层(共18层)  2008年建塔楼  -,
自在城市花园 南向主套三房 望园林景观,单价17736元/平米,188,| 3室2厅 | 106平米 | 南 | 其他,低楼层(共11层)  2004年建塔楼  -,
精装三房 景观好 稀缺型抛 过五年,单价19627元/平米,210,| 3室2厅 | 107平米 | 西 | 简装,低楼层(共6层)  1998年建塔楼  -,
冠军城 安静小区 南向采光好,单价16030元/平米,218,| 3室2厅 | 136平米 | 南 | 其他,中楼层(共11层)  1990年建塔楼  -,
电梯房 南北对流 交通方便 配套齐全,单价25653元/平米,295,| 3室2厅 | 115平米 | 南 | 精装,高楼层(共10层)  2002年建塔楼  -,
十年小雅 豪华开发商装修,单价25334元/平米,190,| 4室2厅 | 75平米 | 东北 | 精装,低楼层(共31层)  2010年建塔楼  -,
水韵蓝湾 南向两房 格局方正,单价14103元/平米,110,| 2室2厅 | 78平米 | 南 | 其他,低楼层(共17层)  2010年建塔楼  -,
怡居新村 成熟小区 环境优美 温馨三房,单价8989元/平米,80,| 3室1厅 | 89平米 | 西 | 其他,高楼层(共7层)  1995年建塔楼  -,
市桥南 奥园广场 商住两用,单价17620元/平米,148,| 2室1厅 | 84平米 | 南 | 其他,高楼层(共22层)  2010年建塔楼  -,
