name_of_community,layout_of_house,price_of_house,area_of_house,floor_of_house,time_of_construction
卫生厅大院 大院管理 黄金楼层可改小三房,单价28338元/平米,190,| 2室2厅 | 67.05平米 | 东 | 精装,中楼层(共8层)  1985年建塔楼  -,
置地大厦 精装三房 证过2年,单价29412元/平米,300,| 3室2厅 | 102平米 | 暂无数据 | 简装,中楼层(共31层)  2000年建塔楼  -,
天伦花园 豪华四房 精装修 过两年,单价50000元/平米,745,| 4室2厅 | 149平米 | 西北 | 精装,高楼层(共24层)  2005年建塔楼  -,
米市路 实用三房 采光好,单价20431元/平米,190,| 3室2厅 | 93平米 | 暂无数据 | 其他,中楼层(共8层)  塔楼  -,
东湖新村 低层小三房 小区管理,单价29711元/平米,205,| 3室1厅 | 69平米 | 南 | 其他,中楼层(共6层)  1986年建塔楼  -,
小东园 中层方正四房 南北对流 带学位,单价51613元/平米,480,| 4室2厅 | 93平米 | 南 | 其他,中楼层(共7层)  1987年建塔楼  -,
水荫直街 豪华装修 配套完善 加装电梯,单价38096元/平米,320,| 3室1厅 | 84平米 | 南 | 其他,中楼层(共8层)  塔楼  -,
保利中环广场 东南向大三房 超大阳台,单价60000元/平米,882,| 3室1厅 | 147平米 | 东南 | 其他,高楼层(共36层)  2009年建塔楼  -,
文明路 中层两房 间隔方正实用,单价27442元/平米,118,| 2室1厅 | 43平米 | 北 | 简装,高楼层(共8层)  塔楼  -,
强烈推荐，金麓山庄，黄金楼层，户型方正，,单价27273元/平米,120,| 2室1厅 | 44平米 | 西南 | 其他,中楼层(共9层)  2005年建塔楼  -,
越秀南路 金湾畔大厦 1栋,单价41955元/平米,365,| 2室1厅 | 87平米 | 南 | 简装,中楼层(共41层)  2009年建塔楼  -,
临近地铁公交，周边配套齐全,单价36765元/平米,125,| 1室1厅 | 34平米 | 东南 | 其他,中楼层(共9层)  2000年建塔楼  -,
太和岗中星学位房笋价出售,单价28572元/平米,120,| 2室1厅 | 42平米 | 暂无数据 | 其他,低楼层(共7层)  1988年建塔楼  -,
恒福路两房出售,单价20834元/平米,125,| 2室1厅 | 60平米 | 暂无数据 | 其他,低楼层(共8层)  塔楼  -,
合群西路 房改三房 西南北三面单边,单价45455元/平米,500,| 3室2厅 | 110平米 | 南 | 简装,高楼层(共8层)  塔楼  -,
御东和府 间隔方正 环境舒适 交通方便,单价41667元/平米,450,| 3室2厅 | 108平米 | 北 | 其他,中楼层(共30层)  2008年建塔楼  -,
仁秀新街 复式实用安静三房 证过2年,单价25000元/平米,85,| 3室1厅 | 34平米 | 暂无数据 | 其他,低楼层(共8层)  塔楼  -,
越秀区 电梯洋房 过五年 采光好,单价39584元/平米,380,| 3室2厅 | 96平米 | 南 | 其他,中楼层(共6层)  塔楼  -,
庙前西街小三房入读名校署前小学学区房,单价40351元/平米,230,| 3室1厅 | 57平米 | 东南 | 其他,中楼层(共9层)  1990年建塔楼  -,
太和岗小户型学位房,单价20000元/平米,90,| 2室1厅 | 45平米 | 东南 | 简装,低楼层(共7层)  1988年建塔楼  -,
白云楼 电梯两房 入读培正,单价32465元/平米,248,| 2室2厅 | 76.39平米 | 暂无数据 | 其他,低楼层(共25层)  1996年建塔楼  -,
华友大厦 实用三房 精致装修 间隔方正,单价36894元/平米,380,| 2室2厅 | 103平米 | 东南 | 简装,高楼层(共30层)  2000年建塔楼  -,
惠福西路 实用两房 采光好 配套成熟,单价19595元/平米,145,| 2室1厅 | 74平米 | 南 | 简装,中楼层(共9层)  1995年建塔楼  -,
农林下路 环境舒适 交通方便 省级学位,单价38710元/平米,180,| 2室2厅 | 46.5平米 | 暂无数据 | 精装,高楼层(共10层)  1988年建塔楼  -,
黄华路 国投宿舍 大积三房 2+1阳台,单价29131元/平米,335,| 3室2厅 | 115平米 | 东南 | 其他,低楼层(共25层)  1990年建塔楼  -,
满堂红链家 建设新村 实用二房 带学位,单价26356元/平米,140,| 2室1厅 | 53.12平米 | 南 | 简装,中楼层(共9层)  塔楼  -,
省级学位电梯房 高层小面积适合投资,单价38889元/平米,210,| 1室1厅 | 54平米 | 东南 | 其他,高楼层(共21层)  塔楼  -,
文德广场 高层复式五房两厅 一线望江,单价25370元/平米,515,| 6室3厅 | 203平米 | 东南 | 简装,高楼层(共29层)  2000年建塔楼  -,
楼梯中层小两 总价低 框架结构 户型方正,单价23334元/平米,105,| 2室1厅 | 45平米 | 东 | 简装,中楼层(共9层)  1990年建塔楼  -,
景华大厦 新净三房 地铁沿线,单价26464元/平米,235,| 3室1厅 | 88.8平米 | 暂无数据 | 其他,低楼层(共19层)  1997年建塔楼  -,
深华大厦 精装两房 证过五年非唯一 西南,单价31250元/平米,250,| 2室2厅 | 80平米 | 西南 | 简装,中楼层(共26层)  1993年建塔楼  -,
龟岗大马路中层小户型学区房诚意出售,单价32533元/平米,130,| 1室1厅 | 39.96平米 | 东南 | 其他,中楼层(共6层)  1981年建塔楼  -,
华侨乐园入读中星小学电梯两房出售,单价30667元/平米,230,| 2室1厅 | 75平米 | 东北 | 其他,低楼层(共18层)  1995年建塔楼  -,
嘉骏苑 安静两房 温馨住家装修 新婚首选,单价29334元/平米,220,| 2室1厅 | 75平米 | 暂无数据 | 其他,低楼层(共32层)  2001年建塔楼  -,
中山一路 东方花苑 间隔方正 装修漂亮,单价23891元/平米,210,| 2室2厅 | 87.9平米 | 东北 | 其他,低楼层(共27层)  1994年建塔楼  -,
广怡大厦 精品单间 纯南向 带阳台,单价41510元/平米,220,| 1室1厅 | 53平米 | 南 | 简装,中楼层(共30层)  1998年建塔楼  -,
德意居方正三房笋价出售,单价34375元/平米,330,| 3室1厅 | 96平米 | 东南 | 简装,低楼层(共26层)  2008年建塔楼  -,
太和岗路大院 中星小学学位 旺中带静,单价27273元/平米,210,| 2室1厅 | 77平米 | 南 | 其他,中楼层(共9层)  1995年建塔楼  -,
电梯楼 朝东向 证满2年,单价24947元/平米,232,| 3室2厅 | 93平米 | 东北 | 其他,低楼层(共25层)  2000年建塔楼  -,
近地铁 带省级学位 环境优美,单价35715元/平米,350,| 3室2厅 | 98平米 | 东南 | 精装,高楼层(共6层)  1989年建塔楼  -,
荣庆大厦 电梯三房 间隔方正 少有放盘,单价30928元/平米,300,| 3室1厅 | 97平米 | 暂无数据 | 其他,高楼层(共15层)  1999年建塔楼  -,
黄华路实用小两房总价低看房方便,单价18750元/平米,90,| 2室1厅 | 48平米 | 暂无数据 | 其他,高楼层(共9层)  1990年建塔楼  -,
嘉诚国际公寓  配套完善  格局方正,单价35515元/平米,380,| 2室1厅 | 107平米 | 南 | 简装,中楼层(共29层)  2007年建塔楼  -,
海珠中路 实用舒适单位 配套完善,单价20887元/平米,165,| 3室2厅 | 79平米 | 南 | 其他,中楼层(共10层)  塔楼  -,
地铁沿线，使用率高。,单价40541元/平米,300,| 2室1厅 | 74平米 | 东北 | 其他,高楼层(共9层)  塔楼  -,
金润铂宫 商住两用 繁华路段 交通方便,单价30646元/平米,190,| 1室1厅 | 62平米 | 南 | 其他,中楼层(共31层)  1993年建塔楼  -,
金润铂宫 商住两用 北京路繁华地段,单价35976元/平米,295,| 2室1厅 | 82平米 | 北 | 精装,中楼层(共31层)  1993年建塔楼  -,
麓苑路 保利麓苑 投资自住首选,单价19513元/平米,80,| 1室0厅 | 41平米 | 东南 | 精装,低楼层(共3层)  塔楼  -,
文德南路 三层三房 证过两年 安静,单价29269元/平米,240,| 1室1厅 | 82平米 | 南 | 其他,中楼层(共4层)  塔楼  -,
长庚门前街 大开间 极少放盘,单价38096元/平米,80,| 1室1厅 | 21平米 | 南 | 其他,高楼层(共9层)  塔楼  -,
国际大厦 高层单位 精装一房一厅,单价18000元/平米,108,| 1室1厅 | 60平米 | 北 | 其他,高楼层(共35层)  1990年建塔楼  -,
金润铂宫 商住两用 北京路繁华地段,单价31507元/平米,230,| 1室1厅 | 73平米 | 南 | 其他,中楼层(共31层)  1993年建塔楼  -,
锦绣联合商务大厦 可商可住户型 标杆建筑,单价28170元/平米,200,| 1室0厅 | 71平米 | 西南 | 精装,高楼层(共30层)  1999年建塔楼  -,
时代YOU公寓 商住两用 近地铁 地段好,单价30000元/平米,150,| 1室0厅 | 50平米 | 南 | 简装,高楼层(共21层)  2006年建塔楼  -,
省级学位 地铁上盖 南北对流,单价30000元/平米,120,| 1室1厅 | 40平米 | 南 | 其他,高楼层(共9层)  1986年建塔楼  -,
时代YOU公寓 商住两用 近地铁 地段好,单价25000元/平米,105,| 1室0厅 | 42平米 | 东 | 其他,中楼层(共21层)  2006年建塔楼  -,
东川元运街 低层一房 少有放首,单价26786元/平米,75,| 1室1厅 | 28平米 | 南 | 其他,低楼层(共8层)  塔楼  -,
大德路濠畔街一房一厅出售,单价21053元/平米,80,| 1室1厅 | 38平米 | 东 | 简装,高楼层(共9层)  塔楼  -,
力迅商务大厦 复式二层公寓 精装小户型,单价28182元/平米,62,| 1室1厅 | 22平米 | 西 | 其他,低楼层(共2层)  塔楼  -,
东华西路 中层两房 南北对流,单价25000元/平米,190,| 2室1厅 | 76平米 | 南 | 其他,中楼层(共9层)  塔楼  -,
富力御龙庭西南向三房 景观一流稀缺楼王,单价46875元/平米,600,| 3室2厅 | 128平米 | 西南 | 其他,中楼层(共28层)  2004年建塔楼  -,
应元路 十九洞 低层 新装修,单价35556元/平米,160,| 3室1厅 | 45平米 | 东北 | 其他,低楼层(共3层)  塔楼  -,
文德南路 低层三房,单价21918元/平米,160,| 3室1厅 | 73平米 | 南 | 其他,中楼层(共8层)  1990年建塔楼  -,
惠福西路小区 低层单位 间隔方正,单价20000元/平米,168,| 3室1厅 | 84平米 | 东 | 简装,低楼层(共9层)  塔楼  -,
东船上街 临近地铁 通透采光 中层两房,单价24194元/平米,150,| 2室2厅 | 62平米 | 暂无数据 | 简装,高楼层(共9层)  塔楼  -,
地铁沿线，中心地段，商业旺地,单价35594元/平米,210,| 1室1厅 | 59平米 | 西 | 其他,中楼层(共36层)  2009年建塔楼  -,
中山三路 精致两房 低层单位,单价30646元/平米,130,| 2室1厅 | 42.42平米 | 南 | 其他,低楼层(共9层)  塔楼  -,
先烈中路 先烈中路 永泰西约82号,单价25715元/平米,180,| 2室1厅 | 70平米 | 东南 | 简装,低楼层(共12层)  塔楼  -,
低层单位 南北朝向,单价23535元/平米,165,| 2室1厅 | 70.11平米 | 南 | 其他,中楼层(共9层)  塔楼  -,
永胜上沙 方正小两房 温馨住家装修,单价26137元/平米,115,| 2室1厅 | 44平米 | 东 | 其他,高楼层(共9层)  1990年建塔楼  -,
启明三马路 黄金楼层 署前学位,单价60000元/平米,486,| 3室2厅 | 81平米 | 南 | 简装,中楼层(共5层)  塔楼  -,
泰峰大厦，成熟小区，人气旺，交通便利,单价35730元/平米,343,| 3室1厅 | 96平米 | 东北 | 简装,中楼层(共19层)  1998年建塔楼  -,
联发名阁 电梯两房 证过五年唯一物业,单价36076元/平米,285,| 2室1厅 | 79平米 | 北 | 其他,中楼层(共19层)  2001年建塔楼  -,
电梯中层 精致装修 南向望江望湖,单价31112元/平米,140,| 1室1厅 | 45平米 | 南 | 其他,高楼层(共16层)  塔楼  -,
海珠中路 马塞克外墙 大户型单位,单价15448元/平米,190,| 3室2厅 | 123平米 | 南 | 精装,高楼层(共10层)  塔楼  -,
实用温馨单位 配套完善,单价21875元/平米,210,| 3室1厅 | 96平米 | 南 | 简装,中楼层(共29层)  1995年建塔楼  -,
中山一路电梯房 地铁上盖 标准两房,单价43324元/平米,280,| 2室1厅 | 64.63平米 | 东南 | 简装,低楼层(共9层)  塔楼  -,
实用温馨单位 配套完善,单价23016元/平米,145,| 3室1厅 | 63平米 | 南 | 其他,中楼层(共7层)  塔楼  -,
保利中环 东南向 单间带阳台,单价57392元/平米,264,| 4室2厅 | 46平米 | 东南 | 精装,中楼层(共36层)  2009年建塔楼  -,
先烈中路 先烈中路 永泰东约49号,单价21795元/平米,170,| 2室2厅 | 78平米 | 东 | 简装,低楼层(共8层)  1990年建塔楼  -,
云鹤南街 二房一厅 方正实用,单价23077元/平米,180,| 2室1厅 | 78平米 | 南 | 其他,低楼层(共9层)  塔楼  -,
桂花岗 黄金楼层交通方便拎包入住,单价15295元/平米,130,| 3室1厅 | 85平米 | 南 | 其他,高楼层(共9层)  1990年建塔楼  -,
学位房 投资首选,单价39286元/平米,165,| 2室1厅 | 42平米 | 南 | 其他,中楼层(共8层)  1988年建塔楼  -,
韫祥楼高层2房仅售220万,单价24445元/平米,220,| 2室1厅 | 90平米 | 暂无数据 | 其他,中楼层(共9层)  2000年建塔楼  -,
环市中路南坑东楼梯两房出售,单价21699元/平米,115,| 2室1厅 | 53平米 | 暂无数据 | 其他,中楼层(共9层)  塔楼  -,
东川路 青龙里 中层舒适三房,单价40000元/平米,280,| 3室1厅 | 70平米 | 西南 | 其他,中楼层(共9层)  塔楼  -,
实用靓两房 安静舒适,单价31250元/平米,150,| 2室1厅 | 48平米 | 西 | 其他,中楼层(共9层)  塔楼  -,
意达大厦 精装两房 环境安静 保安管理,单价22979元/平米,108,| 2室1厅 | 47平米 | 北 | 其他,高楼层(共9层)  2000年建塔楼  -,
越秀南 地铁沿线 成熟小区,单价27858元/平米,156,| 3室1厅 | 56平米 | 北 | 简装,中楼层(共9层)  塔楼  -,
明月小区 实用三房一厅 入读名校,单价23244元/平米,258,| 3室2厅 | 111平米 | 东北 | 简装,高楼层(共9层)  塔楼  -,
大沙头三马路9号大院笋盘出售,单价36793元/平米,390,| 3室2厅 | 106平米 | 南 | 其他,高楼层(共9层)  塔楼  -,
东山铭泰公馆 中层精装单身公寓 地铁上盖,单价34419元/平米,148,| 1室1厅 | 43平米 | 南 | 简装,中楼层(共25层)  塔楼  -,
光塔路环保大厦 省级学位房 温馨两房,单价36364元/平米,320,| 2室1厅 | 88平米 | 南 | 其他,中楼层(共22层)  2000年建塔楼  -,
大沙头三马路 湖滨苑 水仙楼,单价25000元/平米,195,| 3室1厅 | 78平米 | 南 | 简装,中楼层(共7层)  1993年建塔楼  -,
淘金大厦 证过5年 有学位,单价22094元/平米,190,| 4室2厅 | 86平米 | 北 | 其他,中楼层(共14层)  1993年建塔楼  -,
淘金大厦 采光一流 靠近汽配城,单价21979元/平米,200,| 2室2厅 | 91平米 | 北 | 其他,中楼层(共14层)  1993年建塔楼  -,
嘉和苑6座,单价35000元/平米,255.5,| 3室2厅 | 73平米 | 东 | 精装,低楼层(共21层)  1999年建塔楼  -,
麓湖阁 豪华装修 宁包入住,单价31141元/平米,355,| 3室2厅 | 114平米 | 北 | 简装,低楼层(共30层)  1995年建塔楼  -,
署前路小学学位房,单价40910元/平米,450,| 3室1厅 | 110平米 | 东北 | 简装,中楼层(共21层)  塔楼  -,
东华西路楼梯楼低层一房一厅出售,单价22858元/平米,80,| 1室1厅 | 35平米 | 西南 | 简装,低楼层(共9层)  塔楼  -,
麓景路中层单价房改三房,单价16667元/平米,165,| 3室2厅 | 99平米 | 暂无数据 | 其他,中楼层(共7层)  塔楼  -,
辉煌大厦 写字楼首选 即买即用,单价20000元/平米,164,| 2室2厅 | 82平米 | 西北 | 简装,中楼层(共31层)  2004年建塔楼  -,
淘金路 实用温馨单位 配套完善,单价36471元/平米,310,| 3室1厅 | 85平米 | 南 | 其他,高楼层(共15层)  1990年建塔楼  -,
青龙坊 精致一房一厅 临商加学位 回报高,单价39131元/平米,180,| 1室0厅 | 46平米 | 北 | 其他,低楼层(共8层)  塔楼  -,
地铁上盖，优质学位，周边生活配套实施齐全,单价50000元/平米,250,| 2室1厅 | 50平米 | 东南 | 简装,中楼层(共7层)  塔楼  -,
一德东路 一德花园 A座,单价25000元/平米,400,| 4室2厅 | 160平米 | 东南 | 简装,中楼层(共25层)  1996年建塔楼  -,
白云一街 方正两房 极少放盘,单价36000元/平米,180,| 2室1厅 | 50平米 | 南 | 其他,低楼层(共6层)  1993年建塔楼  -,
嘉和苑6座,单价35000元/平米,224,| 2室2厅 | 64平米 | 东 | 精装,低楼层(共21层)  1999年建塔楼  -,
低层两房，方正实用，住家装修，旺中带静。,单价23493元/平米,148,| 2室1厅 | 63平米 | 北 | 简装,低楼层(共9层)  塔楼  -,
福今路 高层三房 采光一流,单价34667元/平米,260,| 3室1厅 | 75平米 | 暂无数据 | 其他,高楼层(共9层)  1988年建塔楼  -,
北较场路 两房出售,单价24648元/平米,175,| 2室1厅 | 71平米 | 东北 | 其他,中楼层(共9层)  塔楼  -,
置地大厦三房,单价30000元/平米,312,| 3室1厅 | 104平米 | 西南 | 其他,低楼层(共31层)  2000年建塔楼  -,
光孝路中层两房厅出阳台 楼龄新净,单价22795元/平米,155,| 2室1厅 | 68平米 | 北 | 简装,中楼层(共9层)  塔楼  -,
实用温馨单位 配套完善,单价24000元/平米,120,| 1室1厅 | 50平米 | 东 | 其他,高楼层(共7层)  塔楼  -,
德政中路 实用一房一厅 房出阳台,单价22094元/平米,95,| 1室1厅 | 43平米 | 东 | 其他,低楼层(共9层)  2000年建塔楼  -,
麓雅居 交通方便 靠近公园,单价21552元/平米,125,| 2室1厅 | 58平米 | 西北 | 其他,高楼层(共16层)  1996年建塔楼  -,
宜安小区 黄金楼层 采光通风一流,单价32693元/平米,170,| 2室1厅 | 52平米 | 南 | 其他,中楼层(共8层)  1980年建塔楼  -,
水荫路楼梯楼两房出售,单价25532元/平米,120,| 2室1厅 | 47平米 | 南 | 其他,中楼层(共9层)  塔楼  -,
麓景路 坐南向北 幽静小区 自住首选,单价19532元/平米,125,| 2室1厅 | 64平米 | 南 | 其他,中楼层(共9层)  塔楼  -,
家电齐全 豪华装修 地铁上盖,单价50000元/平米,465,| 3室2厅 | 93平米 | 东北 | 其他,高楼层(共9层)  2000年建塔楼  -,
越华路 交通方便 实用一房,单价19550元/平米,53,| 1室1厅 | 27.11平米 | 北 | 简装,高楼层(共9层)  塔楼  -,
近地铁 新装修 周边环境幽静,单价18090元/平米,97.9754,| 1室1厅 | 54.16平米 | 暂无数据 | 其他,高楼层(共8层)  塔楼  -,
御景花园 精致两房 格局方正 出行便利,单价13334元/平米,80,| 2室1厅 | 60平米 | 南 | 其他,高楼层(共9层)  2009年建塔楼  -,
实用温馨三房 配套完善,单价23735元/平米,197,| 2室2厅 | 83平米 | 南 | 简装,低楼层(共5层)  塔楼  -,
北较场横路 大院管理 证过两年,单价52000元/平米,338,| 2室1厅 | 65平米 | 南 | 其他,低楼层(共7层)  1988年建塔楼  -,
达道路小区 实用三房 带省一级学位,单价25770元/平米,268,| 3室2厅 | 104平米 | 南 | 其他,高楼层(共8层)  塔楼  -,
东川路 实用三房 格局方正 送天台花园,单价23250元/平米,186,| 3室1厅 | 80平米 | 南 | 简装,高楼层(共9层)  塔楼  -,
西华路中层两房笋租 部分家私电器,单价19000元/平米,153.71,| 2室1厅 | 80.9平米 | 东 | 简装,中楼层(共9层)  塔楼  -,
梅花路57号 东风东学位 低价笋盘,单价36112元/平米,65,| 1室1厅 | 18平米 | 东北 | 其他,高楼层(共6层)  塔楼  -,
东风西路半毛坯笋盘出售不对马路有钥匙即看,单价24194元/平米,75,| 1室1厅 | 31平米 | 暂无数据 | 其他,中楼层(共9层)  1987年建塔楼  -,
德政中路 中层南北向两房 间隔方正,单价22922元/平米,204,| 3室1厅 | 89平米 | 南 | 其他,高楼层(共8层)  塔楼  -,
海月街 两房两厅 厅出大阳台 采光好,单价21649元/平米,209.99,| 2室2厅 | 97平米 | 东 | 其他,高楼层(共9层)  1999年建塔楼  -,
农林上路 地铁上盖 省级学位,单价28361元/平米,173,| 2室1厅 | 61平米 | 暂无数据 | 其他,高楼层(共9层)  塔楼  -,
粮油宿舍 温馨两房 送平台 性价比超高,单价11611元/平米,78,| 2室1厅 | 67.18平米 | 暂无数据 | 简装,高楼层(共9层)  1996年建塔楼  -,
低层 老人首选 证满2年,单价24746元/平米,170,| 3室1厅 | 68.7平米 | 东南 | 其他,低楼层(共9层)  1990年建塔楼  -,
署前路 大二房 带省一级署前路小学学,单价34921元/平米,220,| 2室1厅 | 63平米 | 东北 | 其他,高楼层(共7层)  1990年建塔楼  -,
利福大厦 旺中带静 电梯楼龄新,单价28500元/平米,228,| 3室2厅 | 80平米 | 北 | 其他,高楼层(共24层)  1992年建塔楼  -,
天字广场 黄金楼层 黄金地段 大户首选,单价23517元/平米,350,| 2室1厅 | 148.83平米 | 西北 | 其他,高楼层(共29层)  2001年建塔楼  -,
东风东路小学 实用三房 低层三楼,单价32529元/平米,283,| 3室1厅 | 87平米 | 西南 | 其他,低楼层(共10层)  1988年建塔楼  -,
省级学位房，难得放盘，环境优美。,单价49451元/平米,450,| 2室2厅 | 91平米 | 东南 | 其他,低楼层(共9层)  塔楼  -,
云鹤北街中层楼梯楼两房出售,单价23771元/平米,145,| 2室1厅 | 61平米 | 暂无数据 | 其他,低楼层(共8层)  塔楼  -,
西华路司马街  南北对流 越秀省级学位,单价18750元/平米,210,| 4室2厅 | 112平米 | 南 | 其他,中楼层(共9层)  塔楼  -,
大沙头 低层两房 全新装修 大院管理,单价25472元/平米,135,| 2室2厅 | 53平米 | 南 | 简装,低楼层(共9层)  塔楼  -,
省级学位房 间隔方正 地段成熟,单价39394元/平米,130,| 1室1厅 | 33平米 | 暂无数据 | 其他,低楼层(共9层)  塔楼  -,
东方花苑 装修精致，户型方正，采光良好,单价27000元/平米,286.2,| 3室2厅 | 106平米 | 西 | 其他,中楼层(共27层)    -,
东华东小区 证过2年 有学位,单价40790元/平米,465,| 3室2厅 | 114平米 | 暂无数据 | 简装,低楼层(共19层)  2001年建塔楼  -,
淘金北路大两房 中星学位 花园小区,单价28750元/平米,230,| 2室2厅 | 80平米 | 东 | 其他,中楼层(共9层)  塔楼  -,
省级学位 地铁上盖 格局方正,单价32308元/平米,210,| 2室1厅 | 65平米 | 南 | 精装,低楼层(共9层)  1986年建塔楼  -,
天河路 省级东风东学位 精装三房 南向,单价37621元/平米,270,| 3室1厅 | 71.77平米 | 南 | 其他,高楼层(共9层)  塔楼  -,
东兴大厦 两套打通 办公装修,单价24706元/平米,252,| 3室2厅 | 102平米 | 南 | 简装,中楼层(共25层)  1990年建塔楼  -,
水荫直街 中层两房 环境舒适,单价23256元/平米,170,| 2室1厅 | 73.1平米 | 东 | 其他,中楼层(共8层)  1990年建塔楼  -,
庙前西街 德心轩 电梯三房 入读名校,单价56187元/平米,663,| 3室1厅 | 118平米 | 西北 | 其他,高楼层(共9层)  塔楼  -,
华逸锦轩 正规两房两厅 采光通风一,单价46022元/平米,428,| 2室2厅 | 93平米 | 西北 | 其他,中楼层(共27层)  2004年建塔楼  -,
大沙头路 海印花园 4房2厅 带车位,单价42075元/平米,568,| 4室2厅 | 135平米 | 东北 | 简装,中楼层(共29层)  2000年建塔楼  -,
卫生厅大院 大院管理 框架结构,单价22389元/平米,150,| 2室1厅 | 67平米 | 南 | 其他,高楼层(共9层)  1985年建塔楼  -,
东华东路 黄金楼层 入读名校,单价40000元/平米,160,| 1室1厅 | 40平米 | 东南 | 其他,中楼层(共9层)  塔楼  -,
东湖西路 东湖西路 60号,单价25385元/平米,165,| 2室1厅 | 65平米 | 东南 | 简装,高楼层(共8层)  塔楼  -,
君汇世家 精装四房 学位无占用,单价54055元/平米,1000,| 4室2厅 | 185平米 | 西南 | 其他,中楼层(共30层)  2008年建塔楼  -,
建设三马路低层一房一厅 实用 即睇,单价22433元/平米,83,| 1室1厅 | 37平米 | 北 | 其他,中楼层(共8层)  1990年建塔楼  -,
东山雅筑 省级学位 格局方正 南北对流,单价60345元/平米,700,| 3室2厅 | 116平米 | 南 | 其他,高楼层(共33层)  2000年建塔楼  -,
实用两房 黄金楼层 执信南学位,单价40518元/平米,235,| 2室1厅 | 58平米 | 南 | 简装,中楼层(共7层)  1993年建塔楼  -,
淘金路低层两房 南北向华侨学位,单价32500元/平米,208,| 2室1厅 | 64平米 | 南 | 简装,低楼层(共8层)  塔楼  -,
御景花园 中层两房 精致装修 出行便利,单价14822元/平米,83,| 2室1厅 | 56平米 | 南 | 其他,中楼层(共9层)  2009年建塔楼  -,
竹丝岗大马路 学位四房 闹中取静 双地铁,单价39667元/平米,238,| 3室1厅 | 60平米 | 南 | 简装,低楼层(共5层)  塔楼  -,
建设大马路 3房靓向 大院管理 环境安静,单价30000元/平米,252,| 3室1厅 | 84平米 | 南 | 其他,中楼层(共9层)  塔楼  -,
实用温馨单位 配套完善,单价30556元/平米,330,| 2室1厅 | 108平米 | 南 | 简装,中楼层(共29层)  2005年建塔楼  -,
东山领汇 采光一流 交通便利 稀少南向,单价62265元/平米,660,| 3室2厅 | 106平米 | 南 | 其他,高楼层(共35层)  2011年建塔楼  -,
实用温馨单位 配套完善,单价32693元/平米,170,| 2室1厅 | 52平米 | 东 | 简装,低楼层(共29层)  2000年建塔楼  -,
东兴大厦 中层精装三房 方正实用 带省级,单价24272元/平米,250,| 3室2厅 | 103平米 | 西北 | 简装,中楼层(共25层)  1990年建塔楼  -,
嘉和苑 封闭式花园小区 三期楼王,单价27612元/平米,370,| 3室2厅 | 134平米 | 北 | 其他,低楼层(共22层)  2003年建塔楼  -,
中层南向 精装安静舒适 入读名校,单价25504元/平米,100,| 1室1厅 | 39.21平米 | 南 | 其他,中楼层(共9层)  塔楼  -,
天字广场 黄金楼层  大户首选,单价19315元/平米,330,| 2室1厅 | 170.86平米 | 西北 | 其他,高楼层(共29层)  2001年建塔楼  -,
大沙头三马路 近地铁 黄金楼层 安静一房,单价25111元/平米,85,| 1室1厅 | 33.85平米 | 暂无数据 | 其他,低楼层(共9层)  塔楼  -,
东园新村楼梯楼两房出售,单价37500元/平米,195,| 2室1厅 | 52平米 | 东南 | 其他,中楼层(共7层)  1980年建塔楼  -,
豪贤路 旺钟带静 房改房高使用率,单价27862元/平米,185,| 3室1厅 | 66.4平米 | 东 | 其他,低楼层(共9层)  1995年建塔楼  -,
东风东社区学位房 电梯南北向 东风东学位,单价37255元/平米,380,| 3室2厅 | 102平米 | 暂无数据 | 简装,高楼层(共12层)  1988年建塔楼  -,
富力御龙庭 高层 四房 朝向东南稀有放盘,单价42802元/平米,550,| 4室2厅 | 128.5平米 | 东 | 简装,中楼层(共27层)  2004年建塔楼  -,
启明路别墅 古色古香 旧东山富贵象征,单价56000元/平米,425.6,| 3室2厅 | 76平米 | 暂无数据 | 简装,低楼层(共1层)  塔楼  -,
学位房,复式一房,单价38252元/平米,126,| 1室1厅 | 32.94平米 | 东南 | 其他,低楼层(共9层)  塔楼  -,
东华西路 旺中带静 交通方便,单价25000元/平米,150,| 1室1厅 | 60平米 | 南 | 其他,中楼层(共9层)  塔楼  -,
时代YOU公寓 精美单间 回报率客观,单价23973元/平米,140,| 1室0厅 | 58.4平米 | 东 | 其他,中楼层(共21层)  2006年建塔楼  -,
正佳东方国际 中高层南向大面积公寓,单价40000元/平米,260,| 1室0厅 | 65平米 | 南 | 其他,低楼层(共51层)  1998年建塔楼  -,
保利中环 商住两用 单间公寓,单价35000元/平米,206.5,| 1室0厅 | 59平米 | 西 | 其他,高楼层(共36层)  2009年建塔楼  -,
公园前地铁站 府前铭泰 看房方便,单价36000元/平米,162,| 1室1厅 | 45平米 | 东 | 其他,高楼层(共25层)  塔楼  -,
北京路 金润铂宫 豪华复式公寓,单价39835元/平米,250,| 1室1厅 | 62.76平米 | 南 | 其他,中楼层(共31层)  1993年建塔楼  -,
东山铭泰公馆 1室0厅 138万,单价31364元/平米,138,| 1室0厅 | 44平米 | 南 | 其他,低楼层(共25层)  塔楼  -,
水荫路水荫西约 1室1厅 135万,单价32927元/平米,135,| 1室1厅 | 41平米 | 西南 | 简装,高楼层(共9层)  1990年建塔楼  -,
保利中环 商住两用 单间公寓,单价28104元/平米,163,| 1室0厅 | 58平米 | 西 | 精装,中楼层(共36层)  2009年建塔楼  -,
