name_of_community,layout_of_house,price_of_house,area_of_house,floor_of_house,time_of_construction
万科金域蓝湾 近地铁 中高楼层,单价25000元/平米,260,| 3室2厅 | 104平米 | 西南 | 其他,中楼层(共25层)  2008年建塔楼  -,
金域蓝湾 高层东南向 无敌江景户户望江,单价34760元/平米,650,| 4室2厅 | 187平米 | 东南 | 其他,高楼层(共25层)  2008年建塔楼  -,
机场路 云顶花园 中间楼层 实用面积超高,单价15000元/平米,105,| 2室2厅 | 70平米 | 西北 | 其他,中楼层(共9层)  1998年建塔楼  -,
保利西海岸 中层西南向 精装三房,单价21591元/平米,190,| 3室2厅 | 88平米 | 西南 | 其他,低楼层(共26层)  2010年建塔楼  -,
百荣园 低层三房,单价16950元/平米,200,| 3室1厅 | 118平米 | 东北 | 其他,低楼层(共6层)  2000年建塔楼  -,
同德花园 舒适温馨2房  采光通风,单价16334元/平米,98,| 2室1厅 | 60平米 | 西 | 其他,中楼层(共9层)  1998年建塔楼  -,
侨爱苑 三房一厅 配套成熟 采光一流,单价16667元/平米,150,| 3室1厅 | 90平米 | 北 | 其他,中楼层(共9层)  1995年建塔楼  -,
清华居 实用两房 格局方正 光线靓丽,单价10639元/平米,50,| 2室1厅 | 47平米 | 暂无数据 | 其他,高楼层(共9层)  2000年建塔楼  -,
远景路 中意花园 电梯三房,单价16087元/平米,185,| 3室2厅 | 115平米 | 暂无数据 | 其他,高楼层(共15层)  1998年建塔楼  -,
广州富力城 南向望花园单位,单价15585元/平米,120,| 2室1厅 | 77平米 | 南 | 其他,低楼层(共18层)  2009年建塔楼  -,
汇侨新城南区 2室1厅 100万,单价16667元/平米,100,| 2室1厅 | 60平米 | 南 | 其他,中楼层(共9层)  2000年建塔楼  -,
汇侨新城 中高层2室 视野好,单价16154元/平米,105,| 2室1厅 | 65平米 | 北 | 其他,低楼层(共16层)  2000年建塔楼  -,
高层三房带 主套,单价29474元/平米,280,| 3室2厅 | 95平米 | 东北 | 其他,高楼层(共15层)  2008年建塔楼  -,
广州富力城 望湖南向稀缺单位,单价17242元/平米,150,| 3室2厅 | 87平米 | 南 | 其他,中楼层(共17层)  2008年建塔楼  -,
三元里大道 白沙新村 实用三房,单价13954元/平米,120,| 3室1厅 | 86平米 | 东 | 简装,中楼层(共9层)  1998年建塔楼  -,
机场路 民航东门小区 2房实用,单价21831元/平米,155,| 2室1厅 | 71平米 | 南 | 简装,低楼层(共10层)  1995年建塔楼  -,
新兴白云花园 简装三房 高层采光好,单价16217元/平米,120,| 3室1厅 | 74平米 | 西南 | 其他,高楼层(共9层)  1999年建塔楼  -,
花园小区 绿化面积高 握山学位,单价18182元/平米,140,| 2室2厅 | 77平米 | 南 | 其他,低楼层(共6层)  2000年建塔楼  -,
保利西海岸 温馨两房 望江单位 通风对流,单价24000元/平米,180,| 2室2厅 | 75平米 | 东北 | 其他,高楼层(共26层)  2010年建塔楼  -,
机场路 香江苑 实用两房 交通方便,单价11047元/平米,95,| 2室2厅 | 86平米 | 南 | 其他,高楼层(共9层)  1995年建塔楼  -,
新市京华雅居温馨一房 地段繁华 随时入户,单价9348元/平米,43,| 1室1厅 | 46平米 | 南 | 其他,高楼层(共9层)  1999年建塔楼  -,
黄石花园 三房两厅 黄金楼层,单价13764元/平米,128,| 3室2厅 | 93平米 | 北 | 简装,中楼层(共8层)  1997年建塔楼  -,
城西花园 1室1厅 60万,单价18073元/平米,60,| 1室1厅 | 33.2平米 | 西北 | 其他,高楼层(共7层)  1999年建塔楼  -,
云苑新村 中层两房 通风采光好 入读名,单价15574元/平米,95,| 2室1厅 | 61平米 | 北 | 其他,高楼层(共9层)  1999年建塔楼  -,
机场路地铁口 小三房 通风采光好,单价15323元/平米,95,| 3室1厅 | 62平米 | 东南 | 简装,高楼层(共9层)  1995年建塔楼  -,
白云山制药厂前山宿舍 精装实用三房 中层,单价17533元/平米,135,| 3室2厅 | 77平米 | 东 | 其他,中楼层(共9层)  1995年建塔楼  -,
岭南新世界映悦园三房两厅两卫,单价29788元/平米,280,| 3室2厅 | 94平米 | 南 | 其他,高楼层(共17层)  2008年建塔楼  -,
金域蓝湾 温馨两房 证满两年,单价24972元/平米,222,| 2室1厅 | 88.9平米 | 西南 | 其他,高楼层(共25层)  2008年建塔楼  -,
富力半岛花园 二房一厅 格局方正 户型靓,单价22000元/平米,143,| 2室1厅 | 65平米 | 东北 | 简装,中楼层(共18层)  2002年建塔楼  -,
田心花园 环境幽静 中层两房 采光好,单价16232元/平米,112,| 2室1厅 | 69平米 | 西 | 其他,中楼层(共9层)  1998年建塔楼  -,
云苑新村 三房二厅 格局方正 居家适宜,单价23334元/平米,280,| 6室3厅 | 120平米 | 暂无数据 | 其他,低楼层(共9层)  1999年建塔楼  -,
万科金域蓝湾 近地铁 保养新净,单价28986元/平米,200,| 2室1厅 | 69平米 | 西北 | 其他,中楼层(共25层)  2008年建塔楼  -,
祥景花园 实用两房 视野开阔 采光明亮,单价14957元/平米,80,| 2室1厅 | 53.49平米 | 南 | 其他,高楼层(共9层)  2000年建塔楼  -,
康盈雅苑  学位房 电梯舒适2房,单价17969元/平米,115,| 2室1厅 | 64平米 | 西 | 其他,高楼层(共9层)  2000年建塔楼  -,
广州富力城 视野开阔 装修气派,单价13373元/平米,115,| 2室2厅 | 86平米 | 西北 | 其他,低楼层(共17层)  2008年建塔楼  -,
三元里  华园新村 南向两房,单价14340元/平米,76,| 2室1厅 | 53平米 | 南 | 其他,高楼层(共9层)  1995年建塔楼  -,
机场路 春暖花园 东南向两房 户型方正,单价18905元/平米,138,| 2室2厅 | 73平米 | 暂无数据 | 简装,高楼层(共9层)  1995年建塔楼  -,
天河御品 大四房豪宅,单价26786元/平米,450,| 3室2厅 | 168平米 | 东南 | 毛坯,中楼层(共18层)  2010年建塔楼  -,
侨德花园 精致三房 低层南北对流,单价17764元/平米,135,| 3室2厅 | 76平米 | 南 | 精装,中楼层(共9层)  1998年建塔楼  -,
新市 白云花园 格局方正 南北对流,单价12866元/平米,88,| 3室1厅 | 68.4平米 | 北 | 其他,中楼层(共9层)  1993年建塔楼  -,
远景新城 中层一居 有钥匙随时看,单价15500元/平米,62,| 1室1厅 | 40平米 | 暂无数据 | 简装,高楼层(共6层)  1998年建塔楼  -,
心谊路 楼梯两房 一梯两户 间隔方正实用,单价13494元/平米,112,| 2室2厅 | 83平米 | 东南 | 简装,高楼层(共9层)  1995年建塔楼  -,
中海金沙湾,大四房,单价18276元/平米,265,| 4室2厅 | 145平米 | 东南 | 精装,高楼层(共33层)  2007年建塔楼  -,
上步花园 交通方便 配套成熟 间隔方正,单价11843元/平米,90,| 3室1厅 | 76平米 | 暂无数据 | 简装,高楼层(共9层)  1998年建塔楼  -,
尚境雅筑 东南向 楼龄新 小区安静,单价17606元/平米,125,| 2室1厅 | 71平米 | 东南 | 精装,低楼层(共10层)  2012年建塔楼  -,
云苑新村 采光通风 精致装修 入读名校,单价15347元/平米,98,| 2室1厅 | 63.86平米 | 东 | 简装,高楼层(共9层)  1999年建塔楼  -,
南航新村 电梯楼中高层  居住环境舒适,单价14564元/平米,150,| 3室2厅 | 103平米 | 东 | 其他,中楼层(共17层)  1997年建塔楼  -,
成丰大厦 电梯高层 采光通风好,单价12725元/平米,92,| 2室2厅 | 72.3平米 | 北 | 简装,高楼层(共13层)  1999年建塔楼  -,
岗贝北街 正规两房 层高3米 可改3房,单价8667元/平米,65,| 2室1厅 | 75平米 | 东南 | 其他,中楼层(共8层)  塔楼  -,
花园小区三居实 握山学位,单价18397元/平米,195,| 3室2厅 | 106平米 | 西 | 精装,中楼层(共6层)  2000年建塔楼  -,
【满堂红链家】 万方园 高层一房 全明屋,单价22273元/平米,98,| 1室1厅 | 44平米 | 东 | 简装,中楼层(共18层)  1999年建塔楼  -,
金迪城市花园 温馨两房 拎包入住,单价17858元/平米,100,| 2室1厅 | 56平米 | 东 | 简装,高楼层(共15层)  1995年建塔楼  -,
云天翠庭 东向复式单位 精装修四房三卫,单价17910元/平米,280,| 4室2厅 | 156.34平米 | 暂无数据 | 其他,高楼层(共11层)  2004年建塔楼  -,
逸景居小区 电梯两房 格局方正,单价18494元/平米,135,| 2室1厅 | 73平米 | 暂无数据 | 其他,中楼层(共11层)  2001年建塔楼  -,
新市新街 中楼层 实用两房 随时入住,单价11185元/平米,85,| 2室1厅 | 76平米 | 南 | 简装,中楼层(共9层)  塔楼  -,
景泰新村 格局方正 配套齐全,单价14151元/平米,75,| 2室1厅 | 53平米 | 东南 | 简装,高楼层(共8层)  1990年建塔楼  -,
远景路 南向一房一厅 厅出阳台 采光好,单价13542元/平米,65,| 1室1厅 | 48平米 | 南 | 其他,高楼层(共9层)  1999年建塔楼  -,
地铁口附近 祥港花园 低层3房,单价16540元/平米,180,| 3室1厅 | 108.83平米 | 西南 | 其他,中楼层(共7层)  1994年建塔楼  -,
广州富力城 精装三房,单价16667元/平米,155,| 3室2厅 | 93平米 | 北 | 其他,中楼层(共12层)  2008年建塔楼  -,
精装两房、性价比高、业主急售,单价6154元/平米,40,| 2室1厅 | 65平米 | 南 | 其他,高楼层(共6层)  塔楼  -,
白沙小区 间隔方正 实用三房 采光充足,单价7334元/平米,55,| 3室1厅 | 75平米 | 暂无数据 | 其他,高楼层(共9层)  1998年建塔楼  -,
三元里大道 晓翠苑两房 送平台,单价14182元/平米,78,| 2室1厅 | 55平米 | 暂无数据 | 其他,低楼层(共15层)  1999年建塔楼  -,
三元里棠下 地铁口 吉兴大厦 实用三房,单价16316元/平米,155,| 3室1厅 | 95平米 | 暂无数据 | 其他,低楼层(共12层)  1997年建塔楼  -,
云苑新村 精致两房 采光一流,单价16000元/平米,48,| 1室1厅 | 30平米 | 西 | 其他,中楼层(共9层)  1999年建塔楼  -,
云顶花园 82房两房 东向 采光好,单价13655元/平米,110,| 2室1厅 | 80.56平米 | 东 | 简装,中楼层(共9层)  1998年建塔楼  -,
三元里大道 晓翠苑 温馨两房 住家首选,单价14036元/平米,80,| 2室1厅 | 57平米 | 暂无数据 | 简装,低楼层(共8层)  1999年建塔楼  -,
同德花园 实用三房 间隔采光好 有匙即看,单价15074元/平米,123.6,| 3室2厅 | 82平米 | 暂无数据 | 其他,低楼层(共8层)  1998年建塔楼  -,
飞翔公园地铁站 金迪城市花园 南向两房南,单价16364元/平米,108,| 2室1厅 | 66平米 | 南 | 其他,高楼层(共15层)  1995年建塔楼  -,
御鹿华轩 格局好 精装两房 随时约看,单价22124元/平米,250,| 3室2厅 | 113平米 | 东南 | 简装,中楼层(共9层)  2000年建塔楼  -,
瑞晖花园 安静位置 舒适两房,单价12644元/平米,110,| 2室2厅 | 87平米 | 西北 | 简装,高楼层(共9层)  1990年建塔楼  -,
中意花园 西南向三房 双阳台,单价16977元/平米,146,| 3室1厅 | 86平米 | 西南 | 其他,中楼层(共15层)  1998年建塔楼  -,
晓翠苑 东向气派大三房 双厅 光通风好,单价14545元/平米,180,| 3室2厅 | 123.76平米 | 东北 | 简装,低楼层(共15层)  1999年建塔楼  -,
飞行小区 电梯黄金11楼 装修温馨可入住,单价17500元/平米,210,| 3室2厅 | 120平米 | 暂无数据 | 其他,中楼层(共16层)  2000年建塔楼  -,
万科云山花园 精装三房二厅,单价22152元/平米,210,| 3室2厅 | 94.8平米 | 南 | 其他,低楼层(共18层)  2009年建塔楼  -,
岭南新世界 园区中心 环境优良,单价24265元/平米,198,| 2室2厅 | 81.6平米 | 北 | 其他,低楼层(共11层)  2003年建塔楼  -,
恒大金名都 望江舒适三房 证过两年,单价20086元/平米,235,| 3室2厅 | 117平米 | 东北 | 其他,中楼层(共45层)  2008年建塔楼  -,
交通便利  配套齐全 生活便捷,单价24706元/平米,168,| 2室2厅 | 68平米 | 东 | 简装,高楼层(共18层)  2004年建塔楼  -,
贝丽花园 厅出阳台 采光充足,单价21177元/平米,180,| 3室2厅 | 85平米 | 北 | 简装,中楼层(共15层)  2000年建塔楼  -,
云山雅苑 精致两房 入读名校,单价33572元/平米,235,| 2室2厅 | 70平米 | 西 | 其他,低楼层(共18层)  2008年建塔楼  -,
盈翠华庭 楼梯三房 装修精良,单价24737元/平米,235,| 3室2厅 | 95平米 | 北 | 其他,中楼层(共7层)  2001年建塔楼  -,
云山居 精装两房 稀缺户型 格局好,单价16250元/平米,130,| 2室2厅 | 80平米 | 暂无数据 | 其他,高楼层(共6层)  2000年建塔楼  -,
云苑直街 精装两房 拎包入住 采光通风,单价12581元/平米,78,| 2室1厅 | 62平米 | 南 | 其他,高楼层(共9层)  1999年建塔楼  -,
岗贝北街 实用两房 总价低 首次置业推荐,单价9616元/平米,50,| 2室2厅 | 52平米 | 暂无数据 | 其他,低楼层(共8层)  塔楼  -,
云泉居 精简小3房,单价17858元/平米,150,| 3室1厅 | 84平米 | 西 | 精装,低楼层(共12层)  1999年建塔楼  -,
机场路 又一居花园 全明屋两房高素质小区,单价20316元/平米,125,| 2室2厅 | 61.53平米 | 南 | 简装,中楼层(共9层)  2001年建塔楼  -,
中海金沙湾 4室2厅 300万,单价21127元/平米,300,| 4室2厅 | 142平米 | 东南 | 简装,低楼层(共33层)  2007年建塔楼  -,
景泰名苑 地段成熟 交通方便 东南靓向,单价25000元/平米,245,| 3室2厅 | 98平米 | 东南 | 其他,中楼层(共11层)  2001年建塔楼  -,
广州富力城 南向望湖单位 安静舒适,单价17935元/平米,165,| 3室2厅 | 92平米 | 南 | 其他,中楼层(共17层)  2007年建塔楼  -,
时代玫瑰园 豪装三房 安静,单价25288元/平米,220,| 3室2厅 | 87平米 | 东南 | 其他,高楼层(共13层)  2001年建塔楼  -,
时代玫瑰园 精装三房 安静 带平台,单价22989元/平米,200,| 3室2厅 | 87平米 | 西北 | 其他,低楼层(共13层)  2001年建塔楼  -,
恒大御景湾 精装2房 全新未住 看房方便,单价20990元/平米,191,| 2室2厅 | 91平米 | 东北 | 其他,高楼层(共32层)  2013年建塔楼  -,
纵横缤城 跃式3房 稀缺东南向,单价21667元/平米,260,| 3室2厅 | 120平米 | 东南 | 其他,低楼层(共18层)  2009年建塔楼  -,
天河御品 钻石品位 地铁学位房,单价33446元/平米,398,| 3室2厅 | 119平米 | 东北 | 其他,低楼层(共25层)  2010年建塔楼  -,
星海三房. 南向,单价23470元/平米,230,| 3室2厅 | 98平米 | 东南 | 其他,高楼层(共27层)  2010年建塔楼  -,
黄石怡桂苑 高层两房 采光极佳 户型靓,单价14286元/平米,100,| 2室2厅 | 70平米 | 北 | 其他,高楼层(共11层)  2001年建塔楼  -,
梅苑小区 方正实用三房 入读名校,单价18864元/平米,166,| 4室2厅 | 88平米 | 南 | 精装,低楼层(共9层)  1999年建塔楼  -,
心谊路 交警宿舍 电梯三房,单价17453元/平米,185,| 3室2厅 | 106平米 | 北 | 其他,低楼层(共15层)  1997年建塔楼  -,
金兰花园 两房一厅 格局方正,单价20770元/平米,135,| 2室1厅 | 65平米 | 西北 | 其他,中楼层(共9层)  1998年建塔楼  -,
逸景居小区 三房一厅 白云山脚下 配套完,单价17465元/平米,135,| 3室1厅 | 77.3平米 | 北 | 其他,中楼层(共11层)  2001年建塔楼  -,
广信春兰花园 精装三房 楼王看白云山,单价17033元/平米,155,| 3室2厅 | 91平米 | 西北 | 简装,高楼层(共9层)  1995年建塔楼  -,
中海金沙湾 C区江景5房 包家私电器,单价22116元/平米,460,| 5室2厅 | 208平米 | 东南 | 其他,低楼层(共33层)  2012年建塔楼  -,
泽德花园 两房一厅 间隔采光好 满五年,单价14167元/平米,85,| 2室1厅 | 60平米 | 北 | 其他,中楼层(共9层)  1998年建塔楼  -,
新市花园二区 高层电梯精美三房 即买即住,单价14471元/平米,123,| 3室2厅 | 85平米 | 南 | 其他,高楼层(共15层)  1998年建塔楼  -,
逸景居 装修精良 四室两厅 家电齐全,单价18000元/平米,302.4,| 4室2厅 | 168平米 | 南 | 简装,高楼层(共11层)  2001年建塔楼  -,
江悦湾 三房一厅 朝向好 交通方便,单价22683元/平米,186,| 3室1厅 | 82平米 | 东南 | 其他,中楼层(共28层)  2012年建塔楼  -,
中海金沙湾 B区中层2房 保养新净,单价22024元/平米,185,| 2室2厅 | 84平米 | 东北 | 其他,中楼层(共33层)  2012年建塔楼  -,
松涛北苑 精致三房 采光通透 刚需首选,单价13254元/平米,110,| 3室2厅 | 83平米 | 北 | 其他,中楼层(共9层)  1998年建塔楼  -,
白云大道北 托斯卡纳 舒适3房,单价18519元/平米,250,| 3室2厅 | 135平米 | 东 | 其他,中楼层(共12层)  2009年建塔楼  -,
尚境雅筑 底层2房 精装,单价18157元/平米,130,| 2室1厅 | 71.6平米 | 南 | 其他,低楼层(共10层)  2012年建塔楼  -,
富力桃园 南向望花园 黄金楼层 视野好,单价26924元/平米,245,| 3室2厅 | 91平米 | 南 | 其他,高楼层(共30层)  2004年建塔楼  -,
金域蓝湾 高层东南向 无敌江景 全新,单价37635元/平米,700,| 4室2厅 | 186平米 | 东南 | 其他,高楼层(共25层)  2008年建塔楼  -,
时代花园 南北对流 精致装修,单价26507元/平米,220,| 3室1厅 | 83平米 | 南 | 精装,中楼层(共15层)  1999年建塔楼  -,
江悦湾 三房两厅两卫望花园 毛坯房,单价20527元/平米,195,| 3室2厅 | 95平米 | 东北 | 其他,中楼层(共26层)  塔楼  -,
保利西海岸 精装三房 实用率高 户型方正,单价22000元/平米,220,| 3室2厅 | 100平米 | 南 | 其他,高楼层(共11层)  2010年建塔楼  -,
保利西海岸 大面积四房 东南向望花园,单价21429元/平米,330,| 4室2厅 | 154平米 | 东北 | 其他,中楼层(共26层)  2010年建塔楼  -,
白云高尔夫西区 电梯中层三房 送大平台,单价18056元/平米,195,| 3室2厅 | 108平米 | 北 | 其他,低楼层(共11层)  1999年建塔楼  -,
金域蓝湾 地铁旁 望花园温馨三房,单价27326元/平米,235,| 3室2厅 | 86平米 | 东北 | 其他,低楼层(共25层)  2008年建塔楼  -,
南北对流 采光通风 精装三房 省一级,单价16634元/平米,168,| 3室1厅 | 101平米 | 南 | 其他,低楼层(共7层)  塔楼  -,
正升雅境 电梯高层 采光一流 地段优越,单价27084元/平米,195,| 2室1厅 | 72平米 | 南 | 其他,中楼层(共19层)  2012年建塔楼  -,
祥景花园 温馨两房 格局方正 干净安静,单价14286元/平米,100,| 2室1厅 | 70平米 | 北 | 其他,中楼层(共9层)  2000年建塔楼  -,
云锦阁 精致两房 随时看房,单价13453元/平米,113,| 2室1厅 | 84平米 | 南 | 简装,高楼层(共9层)  1998年建塔楼  -,
飞翔公园地铁站 金迪城市花园 小三房,单价16706元/平米,142,| 3室1厅 | 85平米 | 东 | 其他,低楼层(共15层)  1995年建塔楼  -,
纵横缤城 方正两房 干净舒适 厅出阳台,单价17250元/平米,138,| 2室1厅 | 80平米 | 东 | 其他,低楼层(共18层)  2009年建塔楼  -,
康雅花园 2房2厅 户型方正 可以改3房,单价13415元/平米,110,| 3室1厅 | 82平米 | 南 | 其他,低楼层(共9层)  1999年建塔楼  -,
三元里大道 岗贝北街 精装修2房,单价10834元/平米,65,| 2室1厅 | 60平米 | 东 | 简装,高楼层(共8层)  塔楼  -,
恒大御景湾 豪华装修两房 全新没住,单价17935元/平米,165,| 2室2厅 | 92平米 | 东南 | 其他,低楼层(共33层)  2013年建塔楼  -,
岭南雅苑 大宅靓装 一大家子 其乐融融,单价22609元/平米,260,| 3室2厅 | 115平米 | 北 | 其他,低楼层(共14层)  2006年建塔楼  -,
金名都 实用三房,单价22000元/平米,202.4,| 3室2厅 | 92平米 | 南 | 其他,低楼层(共45层)  2008年建塔楼  -,
汇侨新城南区 楼梯低层看花园 送大平台,单价15295元/平米,130,| 3室2厅 | 85平米 | 东北 | 其他,低楼层(共9层)  2000年建塔楼  -,
恒大金名都 精装修 望江舒适三房 近公交,单价20000元/平米,234,| 3室2厅 | 117平米 | 东 | 其他,高楼层(共45层)  2008年建塔楼  -,
云山居 三房两厅 靠山位置安静,单价20389元/平米,210,| 3室2厅 | 103平米 | 东 | 其他,中楼层(共5层)  2000年建塔楼  -,
万科爱地 实用2房 临近地铁 西南,单价18334元/平米,110,| 2室1厅 | 60平米 | 西南 | 其他,中楼层(共13层)  2000年建塔楼  -,
高尔夫花园 安静不吵 东南向四房,单价20203元/平米,300,| 4室2厅 | 148.5平米 | 东南 | 简装,高楼层(共6层)  1999年建塔楼  -,
黄石花园 南向两房 单边位户型,单价14822元/平米,83,| 2室1厅 | 56平米 | 南 | 简装,高楼层(共8层)  1997年建塔楼  -,
盈翠华庭 格局方正 采光通风 带省级学位,单价20239元/平米,170,| 2室2厅 | 84平米 | 北 | 简装,中楼层(共7层)  2001年建塔楼  -,
【富力碧涛湾】 时尚设计户型 精致三房,单价20000元/平米,180,| 3室2厅 | 90平米 | 西南 | 简装,高楼层(共22层)  2000年建塔楼  -,
阳光美居 电梯中层 装修保养好,单价20708元/平米,205,| 3室2厅 | 99平米 | 北 | 其他,中楼层(共15层)  2001年建塔楼  -,
云景花园 云桦苑 复式 户型方正,单价25317元/平米,400,| 5室2厅 | 158平米 | 南 | 其他,高楼层(共10层)  2002年建塔楼  -,
金域蓝湾 东南望江 全新毛坯 户型大气,单价21277元/平米,500,| 4室2厅 | 235平米 | 东南 | 其他,低楼层(共23层)  2008年建塔楼  -,
纵横缤城两房 采光好格局佳厅出阳台望花园,单价19513元/平米,160,| 2室2厅 | 82平米 | 暂无数据 | 其他,低楼层(共23层)  2009年建塔楼  -,
东方明珠花园 南向望花园 电梯楼宇,单价25676元/平米,190,| 2室1厅 | 74平米 | 暂无数据 | 其他,中楼层(共9层)  1999年建塔楼  -,
白云雅苑 中层两房 双阳台 景观好,单价15599元/平米,110,| 2室1厅 | 70.52平米 | 南 | 其他,中楼层(共9层)  2006年建塔楼  -,
松涛北苑 实用三房 南北通透 性价比高,单价12720元/平米,145,| 3室2厅 | 114平米 | 北 | 其他,高楼层(共10层)  1999年建塔楼  -,
岭南D区最大复式 南向高层 只此一套,单价47771元/平米,750,| 5室2厅 | 157平米 | 南 | 简装,高楼层(共18层)  2008年建塔楼  -,
云苑新村 东南靓向 格局方正 采光通风,单价13016元/平米,82,| 2室1厅 | 63平米 | 东南 | 简装,高楼层(共9层)  1999年建塔楼  -,
广园中路 南向两房 学位房 交通方便,单价16250元/平米,130,| 2室1厅 | 80平米 | 南 | 简装,高楼层(共9层)  1990年建塔楼  -,
景云路小区 电梯高层两房 东南靓向,单价21952元/平米,180,| 2室1厅 | 82平米 | 东南 | 简装,高楼层(共9层)  塔楼  -,
公安宿舍 低层两房 白云山下 环境很好,单价22223元/平米,160,| 2室1厅 | 72平米 | 西南 | 精装,中楼层(共5层)  1998年建塔楼  -,
上步花园 舒适两房 间隔方正实用,单价11334元/平米,85,| 2室1厅 | 75平米 | 暂无数据 | 简装,高楼层(共9层)  1998年建塔楼  -,
晋福阁 交通便利 温馨三房二厅,单价14022元/平米,129,| 3室2厅 | 92平米 | 暂无数据 | 其他,中楼层(共9层)  2003年建塔楼  -,
竹园小区 家私家电齐全 采光通风,单价20000元/平米,130,| 2室1厅 | 65平米 | 东 | 简装,中楼层(共9层)  1995年建塔楼  -,
中海金沙湾 一线江景东南向豪华大三房,单价25000元/平米,382.5,| 3室2厅 | 153平米 | 南 | 其他,中楼层(共33层)  2010年建塔楼  -,
时代玫瑰园 3室2厅 300万,单价26087元/平米,300,| 3室2厅 | 115平米 | 南 | 其他,低楼层(共18层)  2006年建塔楼  -,
纵横宾城 正南向 望小区,单价16460元/平米,265,| 4室2厅 | 161平米 | 南 | 其他,中楼层(共18层)  2009年建塔楼  -,
汇侨新城 电梯楼实用三房 位置安静,单价15329元/平米,210,| 3室1厅 | 137平米 | 东 | 其他,中楼层(共17层)  2000年建塔楼  -,
汇侨新城 豪华装修 大四房,单价17290元/平米,250,| 4室2厅 | 144.6平米 | 北 | 其他,中楼层(共17层)  2000年建塔楼  -,
业主诚心放卖，难得一遇的好房,单价20313元/平米,195,| 3室1厅 | 96平米 | 东 | 精装,低楼层(共9层)  2001年建塔楼  -,
云景花园 黄金楼层 户型方正 采光好,单价25743元/平米,260,| 3室2厅 | 101平米 | 东北 | 其他,高楼层(共6层)  2002年建塔楼  -,
汇侨新城 实用三房 间隔方正,单价11265元/平米,98,| 3室1厅 | 87平米 | 西 | 其他,高楼层(共9层)  2000年建塔楼  -,
豪华大四房出售,单价18000元/平米,288,| 5室2厅 | 160平米 | 东 | 其他,中楼层(共31层)  2007年建塔楼  -,
御鹿华轩 豪华装修 空气超好,单价24243元/平米,400,| 4室2厅 | 165平米 | 南 | 简装,中楼层(共5层)  1998年建塔楼  -,
百事佳新村 温馨南向两房 入读名校,单价17500元/平米,105,| 2室1厅 | 60平米 | 南 | 其他,高楼层(共9层)  2006年建塔楼  -,
机场西汇美苑 近地铁 实用三房 采光好,单价14584元/平米,140,| 3室2厅 | 96平米 | 北 | 简装,中楼层(共9层)  1995年建塔楼  -,
景泰新村 三房一厅,单价23572元/平米,165,| 3室1厅 | 70平米 | 东南 | 简装,中楼层(共8层)  2008年建塔楼  -,
云山诗意 棋乐居 大五房出售,单价26487元/平米,490,| 4室2厅 | 185平米 | 东 | 其他,低楼层(共18层)  2008年建塔楼  -,
大金钟路 中层正规大三房 南北通透无遮挡,单价15024元/平米,135,| 3室2厅 | 89.86平米 | 南 | 其他,高楼层(共5层)  1996年建塔楼  -,
白云高尔夫 复式五房 送小花园 随时看房,单价19205元/平米,338,| 5室2厅 | 176平米 | 西 | 其他,高楼层(共13层)  2002年建塔楼  -,
云山锦绣 低层小三房 带私人小露台,单价28838元/平米,248,| 3室2厅 | 86平米 | 南 | 简装,低楼层(共12层)  2002年建塔楼  -,
同德花园 新装两房 采光好 价格超笋,单价13220元/平米,62,| 2室1厅 | 46.9平米 | 东南 | 简装,高楼层(共8层)  1998年建塔楼  -,
别墅私密性高 高档小区 舒适安逸,单价33899元/平米,800,| 4室3厅 | 236平米 | 暂无数据 | 其他,低楼层(共1层)  2008年建  -,
云东花园 装修新净 采光通风 不靠路,单价15574元/平米,95,| 2室1厅 | 61平米 | 暂无数据 | 其他,中楼层(共9层)  1998年建塔楼  -,
汇侨新城 东向三房 楼梯中层 光线好,单价13883元/平米,118,| 3室1厅 | 85平米 | 东 | 简装,中楼层(共9层)  2000年建塔楼  -,
润祥大厦：高楼层看白云山 采光足视野开阔,单价15738元/平米,96,| 2室1厅 | 61平米 | 北 | 精装,高楼层(共13层)  2000年建塔楼  -,
春鸿居 南向两房 望陈田花园 新装修,单价14167元/平米,85,| 2室1厅 | 60平米 | 东南 | 其他,中楼层(共9层)  1997年建塔楼  -,
(出售)同德围同德花园：惊爆价税费少,单价12766元/平米,60,| 1室1厅 | 47平米 | 暂无数据 | 其他,中楼层(共8层)  1998年建塔楼  -,
金桂园 精装一居室 安静望泳池,单价27250元/平米,109,| 1室1厅 | 40平米 | 东 | 其他,中楼层(共15层)  2000年建塔楼  -,
白云大道北 托斯卡纳 舒适3房,单价18000元/平米,261,| 3室2厅 | 145平米 | 西 | 其他,低楼层(共12层)  2009年建塔楼  -,
远景路 银苑大厦 大三房 性价比超高,单价14082元/平米,138,| 3室2厅 | 98平米 | 西北 | 其他,中楼层(共13层)  1998年建塔楼  -,
侨德花园 温馨两房 间隔方正,单价15268元/平米,80,| 2室1厅 | 52.4平米 | 南 | 其他,高楼层(共9层)  1998年建塔楼  -,
富力半岛 时尚设计户型 精致两房,单价17722元/平米,140,| 2室1厅 | 79平米 | 东北 | 简装,中楼层(共33层)  2005年建塔楼  -,
南航新村 103方大三房两厅,单价12136元/平米,125,| 3室2厅 | 103平米 | 南 | 简装,低楼层(共17层)  1997年建塔楼  -,
