name_of_community,layout_of_house,price_of_house,area_of_house,floor_of_house,time_of_construction
玉雅居，两房，近仙桐公园空气好,单价48953元/平米,285,| 2室2厅 | 58.22平米 | 东南 北 | 其他,低楼层(共10层)  1998年建板塔结合  -,
深中锦田双学位 翠竹地铁口 成熟社区配套好,单价68293元/平米,560,| 3室2厅 | 82平米 | 东南 | 简装,高楼层(共28层)  1998年建板塔结合  -,
东门168经典小户型地铁口物业学位房，业主急售！,单价62069元/平米,180,| 1室0厅 | 29平米 | 东 | 其他,中楼层(共29层)  2004年建板塔结合  -,
金色年华家园三房，岁宝楼上，厅出阳台朝南，交通便利,单价64667元/平米,485,| 3室2厅 | 75平米 | 北 | 简装,高楼层(共27层)  2005年建板塔结合  -,
东门罗湖春风路人民南国贸精装一房满2年无抵押无贷款,单价26674元/平米,110,| 1室0厅 | 41.24平米 | 北 | 精装,高楼层(共18层)  2000年建塔楼  -,
华都园大厦 4室1厅 400万,单价22223元/平米,400,| 4室1厅 | 180平米 | 东 南 西 | 精装,高楼层(共29层)  塔楼  -,
鸿隆世纪广场 户型方正使用率高 高层视野好,单价39216元/平米,600,| 2室1厅 | 153平米 | 西北 | 精装,高楼层(共32层)  2009年建板塔结合  -,
红桂皇冠不限购租客多地段好，业主诚心出售,单价44595元/平米,165,| 1室0厅 | 37平米 | 东 | 简装,高楼层(共26层)  2006年建板塔结合  -,
黄金地段，以租抵供，小投资，大回报。,单价44457元/平米,160,| 1室0厅 | 35.99平米 | 东 | 精装,高楼层(共26层)  2006年建板塔结合  -,
鹏兴花园二期高楼层朝北带双学位精装两房,单价50834元/平米,305,| 2室2厅 | 60平米 | 北 | 其他,高楼层(共16层)  板塔结合  -,
主卧室朝东南 客卧朝南 阳台朝东 东南金角,单价51725元/平米,300,| 2室2厅 | 58平米 | 东南 | 其他,低楼层(共24层)  2001年建塔楼  -,
稀缺户型 厅出阳台 满五年红本在手,单价47931元/平米,220,| 1室1厅 | 45.9平米 | 东北 | 其他,中楼层(共26层)  2009年建板塔结合  -,
地铁物业 户型方正 免增值税 大两房适合住家,单价44595元/平米,330,| 2室1厅 | 74平米 | 南 | 其他,低楼层(共31层)  2001年建板塔结合  -,
楼王位置 南北通透 两卧室看整个围岭山窗,单价51924元/平米,270,| 2室1厅 | 52平米 | 东 | 其他,高楼层(共35层)  2003年建板塔结合  -,
旺业豪苑双阳台正规两房，利用率高。,单价52550元/平米,268,| 2室1厅 | 51平米 | 东南 | 其他,低楼层(共33层)  板塔结合  -,
京基东方都会超值一居室，精装朝南投资过渡首选,单价46924元/平米,122,| 1室0厅 | 26平米 | 南 | 其他,低楼层(共32层)  2004年建塔楼  -,
百仕达二期 全新装修两房朝南向,单价61644元/平米,450,| 2室1厅 | 73平米 | 南 | 其他,低楼层(共18层)  1999年建板塔结合  -,
碧岭华庭 靠山花园 正规刚需两房 红本满二,单价53031元/平米,350,| 2室1厅 | 66平米 | 北 | 精装,低楼层(共34层)  2002年建塔楼  -,
云景豪园 118平大两房 格局通透 红本满五,单价46611元/平米,550,| 2室1厅 | 118平米 | 东 | 精装,高楼层(共29层)  2002年建板塔结合  -,
东门168 精装近地铁大标间,单价61886元/平米,170,| 1室0厅 | 27.47平米 | 东南 | 其他,高楼层(共29层)  2004年建板塔结合  -,
全新精装，送全新家私电器，随时看房。,单价44325元/平米,328,| 2室2厅 | 74平米 | 东南 | 其他,中楼层(共31层)  2001年建板塔结合  -,
百仕达二期朝南两房，满五年精装拎包入住！,单价63014元/平米,460,| 2室1厅 | 73平米 | 东南 | 精装,高楼层(共18层)  1999年建板塔结合  -,
旭飞华达园 精致一房一厅 中间楼层 客厅出阳台,单价64359元/平米,251,| 1室1厅 | 39平米 | 东北 | 简装,高楼层(共21层)  2001年建塔楼  -,
龙园山庄电梯高层满二年格局方正,单价36875元/平米,295,| 2室1厅 | 80平米 | 西南 | 简装,低楼层(共30层)  2000年建板塔结合  -,
旺业豪苑双学位地铁房 满两年 精装修,单价54147元/平米,222,| 1室1厅 | 41平米 | 西南 | 精装,中楼层(共33层)  板塔结合  -,
合正荣悦66平大两房，豪华装修。,单价77273元/平米,510,| 2室2厅 | 66平米 | 东南 | 精装,中楼层(共32层)  2013年建板塔结合  -,
华隆园双学位未用 朝向好 业主诚心卖一房,单价52187元/平米,210,| 1室1厅 | 40.24平米 | 南 | 简装,高楼层(共24层)  板塔结合  -,
水贝地铁口旁 1房1厅 精装修 采光视野好,单价51283元/平米,200,| 1室1厅 | 39平米 | 东南 | 简装,高楼层(共21层)  2001年建塔楼  -,
温馨社区，东湖水库学位，税少居家精品房,单价46667元/平米,210,| 1室1厅 | 45平米 | 西 | 精装,低楼层(共18层)  2000年建板塔结合  -,
小户型不限购，装修好，满五年住宅，环境好,单价45122元/平米,185,| 1室1厅 | 41平米 | 北 | 精装,高楼层(共29层)  2006年建板塔结合  -,
中航凯特公寓 不限购不限贷 租金高,单价37143元/平米,130,| 1室0厅 | 35平米 | 东南 | 其他,低楼层(共27层)  2008年建塔楼  -,
百仕达清爽敞亮两房  安静位置,单价62163元/平米,460,| 2室2厅 | 74平米 | 南 | 其他,中楼层(共18层)  1999年建板塔结合  -,
雍翠华府 精装修两居室 户型方正,单价55883元/平米,380,| 2室1厅 | 68平米 | 东南 | 其他,高楼层(共35层)  2003年建板塔结合  -,
花园小区 厅出阳台 精装两房 无营业税 诚售,单价54412元/平米,370,| 2室2厅 | 68平米 | 东南 | 其他,低楼层(共18层)  2002年建板塔结合  -,
阳光新干线 1居室39.29平米 精装修 高楼层 采光好,单价48594元/平米,190,| 1室1厅 | 39.1平米 | 西 | 精装,中楼层(共33层)  2005年建塔楼  -,
凯悦华庭2房全新装修红本满2年,单价48169元/平米,330,| 2室1厅 | 68.51平米 | 西南 | 其他,中楼层(共29层)  2002年建塔楼  -,
东门168学位未用正规一房  业主诚心放卖,单价57852元/平米,245,| 1室1厅 | 42.35平米 | 东南 | 其他,低楼层(共29层)  2004年建板塔结合  -,
松泉公寓  精装大两房  可改三房 翠园学位,单价45206元/平米,330,| 3室2厅 | 73平米 | 南 | 其他,高楼层(共8层)  1988年建板塔结合  -,
雍翠华府两房东南朝向 视野好满五年,单价57353元/平米,390,| 2室2厅 | 68平米 | 东南 | 其他,高楼层(共35层)  2004年建板塔结合  -,
金鼎大厦 红本在手 高楼层 采光好,单价49524元/平米,312,| 2室1厅 | 63平米 | 北 | 简装,高楼层(共28层)  2003年建板塔结合  -,
凯悦华庭 厅出阳台 精装两房 地铁口物业,单价48551元/平米,335,| 2室1厅 | 69平米 | 南 | 精装,高楼层(共29层)  2002年建塔楼  -,
君逸华府 百仕达三期 精装修，名校学位,单价63637元/平米,420,| 2室1厅 | 66平米 | 南 | 其他,高楼层(共32层)  2001年建板楼  -,
文华花园  三居室  朝南,单价39656元/平米,345,| 2室2厅 | 87平米 | 东南 | 简装,低楼层(共30层)  板塔结合  -,
鸿园居 68m²金典两房 中间楼层 没增值税,单价48236元/平米,328,| 2室2厅 | 68平米 | 北 | 精装,低楼层(共18层)  2000年建板塔结合  -,
黄金楼层，双地铁口物业。,单价55422元/平米,460,| 2室2厅 | 83平米 | 南 | 其他,低楼层(共9层)  1998年建板塔结合  -,
凯悦华庭 精装两房 格局方正 业主诚心卖,单价46709元/平米,320,| 2室1厅 | 68.51平米 | 西南 | 其他,高楼层(共29层)  2002年建塔楼  -,
百仕达二期   朝南大两房在卖,单价62500元/平米,550,| 2室2厅 | 88平米 | 西南 | 其他,低楼层(共17层)  1999年建板塔结合  -,
雍翠华府朝南带阳台两房 满五年,单价58824元/平米,400,| 2室1厅 | 68平米 | 南 | 其他,高楼层(共35层)  2004年建板塔结合  -,
地铁口小高层花园小区 户型方正带大阳台,单价51220元/平米,420,| 2室2厅 | 82平米 | 南 | 精装,中楼层(共11层)  2002年建板塔结合  -,
城市东座一房，带学位，满两年，诚心卖,单价56803元/平米,210,| 1室1厅 | 36.97平米 | 北 | 其他,高楼层(共26层)  2005年建塔楼  -,
高楼层，采光通风好，居家两房户型。,单价51725元/平米,300,| 2室1厅 | 58平米 | 南 | 简装,高楼层(共23层)  2001年建塔楼  -,
新港鸿二居室 满二年 高楼层 视野采光佳,单价48438元/平米,310,| 2室1厅 | 64平米 | 东 | 简装,高楼层(共28层)  1998年建板塔结合  -,
阳光新干线家园小区一房一厅 住家单位 诚售,单价53334元/平米,208,| 1室1厅 | 39平米 | 西北 | 精装,高楼层(共33层)  2005年建塔楼  -,
2013年社区 翠竹小学学位房 诚信出售,单价85883元/平米,730,| 3室2厅 | 85平米 | 西北 | 毛坯,低楼层(共31层)  2013年建板塔结合  -,
旭飞华达园 朝南一房一厅 舒适安静,单价47620元/平米,200,| 1室1厅 | 42平米 | 东南 南 | 精装,低楼层(共21层)  2001年建塔楼  -,
精装两房 黄金楼层 满两年 品质小区！,单价68056元/平米,490,| 2室1厅 | 72平米 | 西南 | 其他,中楼层(共18层)  1999年建板塔结合  -,
云景豪园  楼王三房 满两年 临地铁 近口岸,单价51667元/平米,620,| 3室1厅 | 120平米 | 西北 | 精装,中楼层(共29层)  2002年建板塔结合  -,
聚龙大厦，正规两房采光好，重点学位，交通便利,单价61444元/平米,400,| 2室1厅 | 65.1平米 | 东南 | 其他,高楼层(共32层)  板塔结合  -,
金鼎大厦 两房一厅 高楼层,单价48438元/平米,310,| 2室1厅 | 64平米 | 南 | 精装,中楼层(共28层)  2003年建板塔结合  -,
深圳中学学位翠北小学田贝地铁站翠竹商圈,单价69492元/平米,410,| 2室2厅 | 59平米 | 北 | 其他,中楼层(共34层)  2000年建板塔结合  -,
金鼎大厦 两房一厅 全新装修 诚心卖,单价50000元/平米,320,| 2室1厅 | 64平米 | 东南 南 | 精装,低楼层(共28层)  2003年建板塔结合  -,
雍翠华府精装两房 客厅带阳台  看山景,单价53226元/平米,330,| 2室1厅 | 62平米 | 北 | 简装,中楼层(共33层)  2004年建板塔结合  -,
学区房 地铁房 红本在手 单价低总价低,单价55349元/平米,238,| 1室1厅 | 43平米 | 西北 | 其他,低楼层(共29层)  2004年建板塔结合  -,
愉天小区正规一房，带名校学位,单价81633元/平米,400,| 2室1厅 | 49平米 | 北 | 简装,中楼层(共8层)  1992年建板塔结合  -,
东门168学位一房一厅,单价60000元/平米,240,| 1室0厅 | 40平米 | 南 | 其他,中楼层(共24层)  2004年建板塔结合  -,
双地铁口物业 翠北实验小学学位 超大使用面积,单价51258元/平米,530,| 3室2厅 | 103.4平米 | 南 | 简装,高楼层(共8层)  板塔结合  -,
翠园中学东晓小区学位房 满两年无增值税 精装修诚售,单价65823元/平米,520,| 2室1厅 | 79平米 | 东南 | 其他,中楼层(共32层)  2001年建塔楼  -,
联城美园 一房一厅 无增值税 高楼层,单价57353元/平米,195,| 1室1厅 | 34平米 | 东 | 精装,中楼层(共35层)  2006年建板塔结合  -,
东乐南北通透大三房 精装修 红本在手,单价51649元/平米,470,| 3室1厅 | 91平米 | 南 | 精装,中楼层(共7层)  1988年建板塔结合  -,
汇鑫花园65平北向两房，满二精装370万诚售,单价56924元/平米,370,| 2室2厅 | 65平米 | 北 | 精装,中楼层(共26层)  2000年建板塔结合  -,
万象城 双城世纪 精装二居 急出售,单价50725元/平米,350,| 2室1厅 | 69平米 | 北 | 其他,中楼层(共29层)  2005年建板塔结合  -,
居家精装房，全面朝南，满五唯一减少购房成本！,单价52942元/平米,360,| 2室2厅 | 68平米 | 东北 | 精装,低楼层(共31层)  2000年建板塔结合  -,
金色都汇 一房一厅 满二免增 诚心放卖,单价51087元/平米,235,| 1室1厅 | 46平米 | 北 | 简装,中楼层(共25层)  2004年建塔楼  -,
金鼎大厦  一房一厅  高层户型方正,单价54765元/平米,250,| 1室1厅 | 45.65平米 | 南 | 精装,中楼层(共28层)  2003年建板塔结合  -,
凯悦华庭 精装两居室 满两年 红本在手 西南银角,单价56667元/平米,408,| 2室2厅 | 72平米 | 西南 | 精装,高楼层(共29层)  2002年建塔楼  -,
雍翠华府 精装修一房 拎包入住,单价54055元/平米,200,| 1室1厅 | 37平米 | 西 | 其他,中楼层(共33层)  2004年建板塔结合  -,
鹏瑞仙桐雅轩 86平东南向三居 电梯小高层 采光视野好,单价64253元/平米,550,| 3室2厅 | 85.6平米 | 东南 | 简装,高楼层(共11层)  板塔结合  -,
东乐花园全新精装3房，朝南，带学位，双地铁！,单价49774元/平米,385,| 3室2厅 | 77.35平米 | 南 | 精装,高楼层(共7层)  1988年建板塔结合  -,
百仕达乐湖 精装三房 中间楼层 户型方正,单价66116元/平米,800,| 3室2厅 | 121平米 | 东北 | 其他,中楼层(共32层)  2009年建板塔结合  -,
龙园山庄，两房一厅，朝南，投资过渡首选,单价36429元/平米,255,| 2室1厅 | 70平米 | 南 | 其他,高楼层(共8层)  1997年建板塔结合  -,
碧岭华庭 畔山物业 安静 一手业主 红本 精装两房,单价48029元/平米,352,| 2室2厅 | 73.29平米 | 东北 | 精装,低楼层(共34层)  2002年建塔楼  -,
满五年  红本在手  南向朝小区 学位未用  随时看房,单价63115元/平米,385,| 2室1厅 | 61平米 | 东南 | 精装,低楼层(共33层)  2003年建板塔结合  -,
百仕达花园 三居室 东南朝向 中间楼层 安静舒适,单价57720元/平米,658,| 3室2厅 | 114平米 | 南 | 精装,中楼层(共9层)  1997年建板塔结合  -,
楼层好采光足 精装大3房 南北通透 厅出阳台 安静舒适,单价57018元/平米,650,| 3室2厅 | 114平米 | 南 | 其他,高楼层(共9层)  1997年建板塔结合  -,
嘉宝田花园  全名格局  看花园  视野好  厅出阳台,单价66667元/平米,560,| 3室2厅 | 84平米 | 北 | 其他,低楼层(共25层)  2002年建板塔结合  -,
峰度天下 五房大户型 红本在手 诚心出售,单价51462元/平米,880,| 4室2厅 | 171平米 | 南 | 简装,中楼层(共29层)  2010年建板塔结合  -,
翠竹小学学区南北通透两房！还可能旧改拆迁,单价63000元/平米,315,| 2室1厅 | 50平米 | 南 | 简装,中楼层(共6层)  1983年建塔楼  -,
百仕达四期 精装修3房  稀缺在售,单价94203元/平米,1300,| 3室2厅 | 138平米 | 东北 | 精装,中楼层(共31层)  2005年建板塔结合  -,
大户型，豪华装修，带学位,单价89141元/平米,1860,| 5室2厅 | 208.66平米 | 南 北 | 其他,高楼层(共51层)  2013年建板塔结合  -,
豪宅物业 楼王位置 看水库全景 高楼层 红本在手,单价82395元/平米,1170,| 3室1厅 | 142平米 | 东北 | 简装,中楼层(共34层)  2009年建板塔结合  -,
文锦广场 商住两用楼 单价低看房方便,单价21591元/平米,190,| 2室1厅 | 88平米 | 东南 | 简装,中楼层(共31层)  塔楼  -,
田贝+洪湖双地铁口 首付68万深圳中学 可租3000元每月,单价70938元/平米,227,| 1室1厅 | 32平米 | 北 | 简装,中楼层(共25层)  2001年建板塔结合  -,
雍翠华府 2室2厅 318万,单价50040元/平米,318,| 2室2厅 | 63.55平米 | 东北 | 简装,低楼层(共33层)  2004年建板塔结合  -,
小高层带电梯 全新装修 一梯二户 拎包即可入住,单价57523元/平米,650,| 3室2厅 | 113平米 | 东南 | 其他,低楼层(共9层)  1999年建板塔结合  -,
合正锦园 南北通透大三房 黄金楼层 红本在手,单价60838元/平米,750,| 3室2厅 | 123.28平米 | 南 北 | 精装,中楼层(共11层)  2005年建板塔结合  -,
华丽花园 新装修 实用大3房 螺岭学位空置 拎包入住,单价52476元/平米,530,| 3室2厅 | 101平米 | 东 | 其他,中楼层(共28层)  板塔结合  -,
蔡屋围 桂花大厦 大3房 格局方正大气,单价45844元/平米,450,| 3室2厅 | 98.16平米 | 西北 | 简装,中楼层(共24层)  1995年建板塔结合  -,
置地逸轩，一房一厅，北向，采光佳。,单价53192元/平米,250,| 1室1厅 | 47平米 | 北 | 精装,低楼层(共33层)  2004年建板塔结合  -,
公安局宿舍待拆迁物业，重点前三甲学区房,单价50758元/平米,335,| 4室0厅 | 66平米 | 南 | 精装,高楼层(共6层)    -,
翡翠公寓 精装两房 不限购不限贷,单价71112元/平米,320,| 3室2厅 | 45平米 | 东南 | 精装,中楼层(共32层)  2014年建板塔结合  -,
金鼎大厦 1室1厅 235万,单价45193元/平米,235,| 1室1厅 | 52平米 | 西北 | 其他,高楼层(共28层)  2003年建板塔结合  -,
四季御园 复式三房 看房方便 诚意出售,单价64103元/平米,800,| 4室1厅 | 124.8平米 | 东南 | 毛坯,低楼层(共47层)  板塔结合  -,
星级物业 居家+学位首选 单价低 名校学位,单价42674元/平米,798,| 4室2厅 | 187平米 | 西南 | 其他,中楼层(共43层)  2009年建板塔结合  -,
碧湖花园 精装修两房 业主诚心出售 看房方便,单价42651元/平米,390,| 4室2厅 | 91.44平米 | 东南 | 其他,高楼层(共33层)  1995年建塔楼  -,
梧桐山新居正规一房一厅 满两年红本,单价64616元/平米,252,| 1室1厅 | 39平米 | 西 | 其他,高楼层(共9层)  2002年建塔楼  -,
电梯小高层，不临街，大阳台，业主特别诚心卖,单价50000元/平米,540,| 3室2厅 | 108平米 | 北 | 其他,低楼层(共12层)  1998年建板塔结合  -,
罗湖豪宅典范 乐湖楼王 壮阔山水景观 百万豪装 港真！,单价87629元/平米,1700,| 4室2厅 | 194平米 | 南 北 | 精装,中楼层(共34层)  2009年建板塔结合  -,
鸿景翠峰南北三房满5年无遮挡随时看房厅出阳台带赠送,单价75758元/平米,1250,| 5室2厅 | 165平米 | 南 北 | 其他,中楼层(共9层)  2006年建板塔结合  -,
合正锦湖魅力城精装超大三房，装修保养好,单价62500元/平米,700,| 3室2厅 | 112平米 | 南 北 | 精装,中楼层(共32层)  2008年建板塔结合  -,
港岛银座大一房，无增值税，精装修，双地铁口物业,单价45814元/平米,290,| 1室1厅 | 63.3平米 | 西南 | 精装,中楼层(共32层)  2003年建板塔结合  -,
首付60万41平一房厅出阳台 免增值税 租金高达83元/平,单价47074元/平米,193,| 1室1厅 | 41平米 | 东 | 精装,高楼层(共21层)  2001年建塔楼  -,
罗湖朗钜御风庭 一室一厅 精致装修拎包入住 红本无税,单价52182元/平米,232,| 1室1厅 | 44.46平米 | 西北 | 精装,低楼层(共28层)  2004年建板塔结合  -,
银晖名居 一房 学区地铁房 诚心出售,单价48980元/平米,120,| 1室0厅 | 24.5平米 | 北 | 简装,低楼层(共19层)  2005年建塔楼  -,
鹏兴花园二期 顶楼复式带花园 罗外名校学位 看房方便,单价80953元/平米,1700,| 5室2厅 | 210平米 | 南 北 | 精装,高楼层(共10层)  板塔结合  -,
看翠竹山全景，东南向，住家or投资都可以，随时看房,单价55326元/平米,400,| 2室1厅 | 72.3平米 | 东南 | 其他,低楼层(共31层)  2000年建板塔结合  -,
长丰苑单身公寓才36000每平米,单价36164元/平米,158,| 1室0厅 | 43.69平米 | 西北 | 简装,中楼层(共29层)  2000年建板塔结合  -,
湖景花园稀缺大两房，地铁+学位,单价38637元/平米,340,| 2室1厅 | 88平米 | 西南 | 精装,低楼层(共32层)  1995年建板塔结合  -,
京基东方颐园重点学位无营业税,单价64712元/平米,278,| 2室1厅 | 42.96平米 | 北 | 精装,低楼层(共33层)  2010年建板塔结合  -,
丰湖花园一居室，学位房，升值空间大。,单价42196元/平米,173,| 1室1厅 | 41平米 | 南 | 简装,中楼层(共26层)  2009年建板塔结合  -,
俊园优质五房大客厅 视野开阔 居家首选,单价45431元/平米,850,| 5室2厅 | 187.1平米 | 西南 | 简装,低楼层(共43层)  2009年建板塔结合  -,
淘金山 楼王视野 全景无遮挡  南北五房,单价66667元/平米,1280,| 5室2厅 | 192平米 | 东南 | 简装,中楼层(共32层)  2006年建板塔结合  -,
鸿翔花园 红本无税 朝南 高楼层 品味装修,单价81160元/平米,1120,| 3室2厅 | 138平米 | 西南 | 精装,高楼层(共29层)  2006年建板塔结合  -,
钻石时代 户型方正 明厨明卫 带阳台 近地铁,单价44445元/平米,120,| 1室0厅 | 27平米 | 南 | 简装,低楼层(共20层)  2008年建板塔结合  -,
京基东方都会 全新装修 单身公寓,单价49739元/平米,152,| 1室0厅 | 30.56平米 | 西 | 简装,低楼层(共32层)  2004年建塔楼  -,
翠园中学重点学位 免增值税  大两房拎包即住,单价58334元/平米,420,| 2室1厅 | 72平米 | 西南 | 其他,低楼层(共32层)  2001年建塔楼  -,
锦上花家园一房 高层 红本 满两年 租金高 关口物业,单价51283元/平米,200,| 1室1厅 | 39平米 | 北 | 其他,中楼层(共33层)  2003年建板塔结合  -,
兴业大厦 2室1厅 188万,单价37155元/平米,188,| 2室1厅 | 50.6平米 | 南 | 其他,中楼层(共19层)  1991年建塔楼  -,
京基东方都会 1居室 东南朝向 精装修 诚心出售,单价47778元/平米,172,| 1室1厅 | 36平米 | 东 | 其他,中楼层(共32层)  2004年建塔楼  -,
金鼎大厦完美户型一房一厅43平208万随时看房,单价48838元/平米,210,| 1室1厅 | 43平米 | 西南 | 精装,中楼层(共28层)  2003年建板塔结合  -,
庐峰翠苑大气正规四房，业主诚心出售,单价59091元/平米,780,| 4室2厅 | 132平米 | 西北 | 简装,高楼层(共16层)  1999年建板塔结合  -,
红桂皇冠不限购不限贷高层一房一厅南向光线好，高租金,单价58334元/平米,245,| 1室1厅 | 42平米 | 南 | 精装,高楼层(共26层)  2006年建板塔结合  -,
深圳中学学位未用 3加1房 南北通透,单价85965元/平米,980,| 3室2厅 | 114平米 | 南 北 | 其他,高楼层(共25层)  2001年建板塔结合  -,
培森大厦 5室1厅 588万,单价81713元/平米,588,| 5室1厅 | 71.96平米 | 南 | 精装,低楼层(共19层)  1996年建板塔结合  -,
金城华庭优质朝南两房  高楼层采光好户型方正,单价67863元/平米,420,| 2室2厅 | 61.89平米 | 南 | 其他,高楼层(共24层)  2003年建板塔结合  -,
诚心出售，新装修，学位未用过，满五年！无增值税！,单价60656元/平米,370,| 2室2厅 | 61平米 | 西北 | 其他,低楼层(共28层)  2005年建板塔结合  -,
幸福里 高品质户型 无限景观  一手业主 装饰温馨,单价90278元/平米,1300,| 3室2厅 | 144平米 | 东 | 精装,中楼层(共49层)  塔楼  -,
都市名园 地铁口物业 万象城高端商圈 看房方便,单价57500元/平米,690,| 4室1厅 | 120平米 | 东北 | 其他,中楼层(共32层)  1990年建板塔结合  -,
楼层好采光棒深圳中学附近 临洪湖公园 诚意出售,单价68966元/平米,400,| 2室1厅 | 58平米 | 北 | 简装,中楼层(共25层)  2001年建板塔结合  -,
此房是一手业主 有学位，户型方正 使用率高,单价53536元/平米,530,| 3室1厅 | 99平米 | 西北 | 其他,中楼层(共40层)  1998年建板塔结合  -,
翠珠小区 大三房 深中翠北大三房再也找不到这个价了,单价62069元/平米,540,| 3室1厅 | 87平米 | 北 | 简装,中楼层(共8层)  板塔结合  -,
龙凤雅居朝南大二房，满二年税费少,单价44403元/平米,330,| 2室2厅 | 74.32平米 | 南 | 精装,低楼层(共25层)  2006年建塔楼  -,
鸿翠苑 精装两房 无增值税 厅出阳台，东向看山景,单价48764元/平米,355,| 2室2厅 | 72.8平米 | 东 | 精装,高楼层(共33层)  2009年建板塔结合  -,
此房位置优越，是投资，住家的首选。,单价58188元/平米,420,| 2室2厅 | 72.18平米 | 南 | 其他,低楼层(共12层)  1998年建板塔结合  -,
金泰名苑 三房精装修 户型方正 安静舒适 适合居家,单价52885元/平米,550,| 3室2厅 | 104平米 | 南 | 精装,中楼层(共15层)  2001年建板塔结合  -,
畔山花园    税费少  精装修  适合住家,单价41837元/平米,410,| 3室2厅 | 98平米 | 北 | 其他,中楼层(共8层)  1998年建板塔结合  -,
仙桐御景，精装修朝南大三房，带双学位.,单价55841元/平米,545,| 3室2厅 | 97.6平米 | 西南 | 精装,中楼层(共17层)  2004年建板塔结合  -,
丰湖大厦精装修两房  客厅出阳台  电梯房,单价48167元/平米,289,| 2室2厅 | 60平米 | 东南 | 其他,低楼层(共26层)  2009年建板塔结合  -,
卧龙阁   南向两房   采光通风佳  居家首选,单价50000元/平米,280,| 2室1厅 | 56平米 | 东南 | 其他,高楼层(共33层)  2000年建板塔结合  -,
低单价深中学位房 满两年 红本在手,单价53098元/平米,600,| 3室2厅 | 113平米 | 东南 | 精装,高楼层(共25层)  1995年建塔楼  -,
地铁口 中庭2房  红本在手 居家好房,单价47827元/平米,330,| 2室1厅 | 69平米 | 南 | 简装,中楼层(共7层)  1988年建板塔结合  -,
华丽花园螺岭小学学位房 东向看梧桐山景观视野好,单价48606元/平米,488,| 3室1厅 | 100.4平米 | 东 | 简装,中楼层(共29层)  塔楼  -,
老街地王旁 三阳台四房 户型方正 地铁老街 统一装修,单价40770元/平米,530,| 4室2厅 | 130平米 | 北 | 其他,中楼层(共35层)  1999年建板塔结合  -,
户型方正，总价低，居住舒适，阳台落地窗,单价45455元/平米,150,| 1室1厅 | 33平米 | 北 | 其他,低楼层(共33层)  2008年建板塔结合  -,
湖滨新村靠怡景地铁口 红本在手 双重点学位,单价51640元/平米,315,| 3室2厅 | 61平米 | 南 北 | 简装,高楼层(共6层)  1982年建板塔结合  -,
东乐花园 中间位置 红本满五 户型方正,单价48276元/平米,420,| 3室1厅 | 87平米 | 北 | 简装,中楼层(共7层)  1988年建板塔结合  -,
百仕达乐湖 4室2厅 1200万,单价74075元/平米,1200,| 4室2厅 | 162平米 | 北 | 简装,中楼层(共34层)  2009年建板塔结合  -,
豪华装修大四居，楼王位置，前后观景，学区房,单价75758元/平米,1450,| 4室2厅 | 191.4平米 | 西南 | 精装,低楼层(共31层)  2006年建板塔结合  -,
乐湖豪宅精装出售，黄金楼层全面朝南，红本在手！,单价80986元/平米,1150,| 3室2厅 | 142平米 | 南 | 简装,中楼层(共34层)  2009年建板塔结合  -,
深中、翠北学位房 愉天小区 满五年 红本在手 学位未用,单价79118元/平米,269,| 1室1厅 | 34平米 | 南 | 简装,低楼层(共7层)  1992年建板塔结合  -,
乐湖朝南三房，高楼层，好装修好景观,单价74381元/平米,900,| 3室2厅 | 121平米 | 南 | 精装,高楼层(共32层)  2009年建板塔结合  -,
云景豪园两室一厅  地铁口物业  投资房,单价53106元/平米,360,| 2室1厅 | 67.79平米 | 东北 | 精装,低楼层(共31层)  2002年建板塔结合  -,
一梯两户南北通透 舒适经典两房,单价52152元/平米,412,| 2室2厅 | 79平米 | 东南 | 其他,低楼层(共7层)  1988年建板塔结合  -,
碧湖花园近公园近超市看湖看游泳池标准3房着急出售。,单价40146元/平米,430,| 3室2厅 | 107.11平米 | 北 | 精装,低楼层(共33层)  1995年建塔楼  -,
246万高层，香港山，精装修，正规1居室！,单价52341元/平米,246,| 1室1厅 | 47平米 | 南 | 精装,高楼层(共33层)  2004年建板塔结合  -,
二期标准三房 餐厅正出阳台 实用性超高 业主非常诚卖,单价61865元/平米,730,| 3室2厅 | 118平米 | 南 | 其他,中楼层(共18层)  1999年建板塔结合  -,
合正荣悦经典大两房 豪华装修 带停车位,单价87963元/平米,950,| 2室1厅 | 108平米 | 南 | 精装,高楼层(共32层)  2013年建板塔结合  -,
翠竹地铁口  电梯房 带大平台  精装两房,单价59007元/平米,380,| 2室1厅 | 64.4平米 | 东 | 精装,低楼层(共17层)  1995年建塔楼  -,
国贸地铁口 湖心大厦 两房一厅 户型方正,单价38750元/平米,155,| 2室1厅 | 40平米 | 北 | 简装,低楼层(共24层)  1983年建板塔结合  -,
免增中间楼层采光很好珠宝基地以及水贝地铁口潜力巨大,单价37963元/平米,190,| 1室1厅 | 50.05平米 | 西南 | 简装,中楼层(共26层)  1996年建板塔结合  -,
电器公司精装修 户型方正  业主诚意出售,单价64000元/平米,480,| 2室2厅 | 75平米 | 南 | 其他,低楼层(共16层)  板楼  -,
集浩花园优质户型，稀缺售卖。中楼层视野采光好。,单价50360元/平米,700,| 4室2厅 | 139平米 | 东南 | 精装,中楼层(共24层)  1991年建板塔结合  -,
